,,,,-SAVOIE,,,
29437,73,73131,73600,Hautecour,hautecour,45.511855585586,6.5426790990991
29438,73,73132,73620,Hauteluce,hauteluce,45.760878869863,6.6007775
29439,73,73133,73390,Hauteville,hauteville,45.528608117647,6.1658632941177
29440,73,73135,73300,Hermillon,hermillon,45.306888469945,6.3912008196721
29441,73,73137,73000,Jacob-Bellecombette,jacob bellecombette,45.551336842105,5.9160369736842
29442,73,73138,73300,Jarrier,jarrier,45.283069349593,6.3034075609756
29443,73,73139,73630,Jarsy,jarsy,45.665651581395,6.2162108837209
29444,73,73140,73170,Jongieux,jongieux,45.737544193548,5.7939890322581
29445,73,73141,73800,Laissaud,laissaud,45.453899148936,6.044374893617
29446,73,73142,73210,Landry,landry,45.562184305556,6.7577498611111
29447,73,73145,73610,Lépin-le-Lac,lepin le lac,45.538239,5.779942
29448,73,73146,73340,Lescheraines,lescheraines,45.714118662791,6.1078140116279
29449,73,73147,73170,Loisieux,loisieux,45.648814193548,5.7319641935484
29450,73,73149,73170,Lucey,lucey,45.760850163934,5.7970280327869
29451,73,73150,73210,La Plagne Tarentaise,la plagne tarentaise,45.558061294964,6.6982759952038
29452,73,73151,73800,Les Marches,les marches,45.487753925234,5.9967602803738
29453,73,73152,73470,Marcieux,marcieux,45.616766040609,5.7764772588832
29454,73,73153,73400,Marthod,marthod,45.731254952381,6.3944809523809
29455,73,73154,73200,Mercury,mercury,45.687467135417,6.34687234375
29456,73,73155,73420,Méry,mery,45.636571162791,5.9359397674419
29457,73,73156,73170,Meyrieux-Trouet,meyrieux trouet,45.639058823529,5.7705745882353
29458,73,73157,73500,Modane,modane,45.190428591549,6.6490873521127
29459,73,73159,73800,Les Mollettes,les mollettes,45.466547956989,6.0616877419355
29460,73,73160,73000,Montagnole,montagnole,45.528654460432,5.9114501438849
29461,73,73161,73350,Montagny,montagny,45.462159096386,6.5938036144578
29462,73,73162,73460,Montailleur,montailleur,45.623203135593,6.2653215254237
29463,73,73164,73100,Montcel,montcel,45.716262564103,5.9903493846154
29464,73,73166,73390,Montendry,montendry,45.526493043478,6.2381038043478
29465,73,73168,73220,Montgilbert,montgilbert,45.539261648352,6.2738072527473
29466,73,73170,73200,Monthion,monthion,45.625425857143,6.3615175714286
29467,73,73171,73800,Montmélian,montmelian,45.50991893617,6.0590055319149
29468,73,73173,73870,Montricher-Albanne,montricher albanne,45.213781446541,6.4109018867925
29469,73,73175,73220,Montsapey,montsapey,45.534441478873,6.3658552816901
29470,73,73176,73700,Montvalezan,montvalezan,45.634748632479,6.8660499145299
29471,73,73177,73300,Montvernier,montvernier,45.334802,6.3414254545455
29472,73,73178,73340,La Motte-en-Bauges,la motte en bauges,45.713333660714,6.1267072321429
29473,73,73179,73290,La Motte-Servolex,la motte servolex,45.606808826816,5.8595315083799
29474,73,73180,73310,Motz,motz,45.921461276596,5.8438610638298
29475,73,73181,73600,Moûtiers,moutiers,45.49051038961,6.5383346753247
29476,73,73182,73100,Mouxy,mouxy,45.681071590909,5.94440375
29477,73,73183,73800,Myans,myans,45.524480549451,5.9754481318681
29478,73,73184,73470,Nances,nances,45.587775064935,5.7930837662338
29479,73,73186,73590,Notre-Dame-de-Bellecombe,notre dame de bellecombe,45.79496744186,6.5449661046512
29480,73,73187,73260,La Léchère,la lechere,45.520928415094,6.4604697924528
29481,73,73188,73460,Notre-Dame-des-Millières,notre dame des millieres,45.615839883721,6.3590287209302
29482,73,73189,73130,Notre-Dame-du-Cruet,notre dame du cruet,45.376846969697,6.3118393939394
29483,73,73190,73600,Notre-Dame-du-Pré,notre dame du pre,45.50445,6.5935738848921
29484,73,73191,73470,Novalaise,novalaise,45.592678443396,5.7730733962264
29485,73,73192,73340,Le Noyer,le noyer,45.677336938776,6.0576348979592
29486,73,73193,73310,Ontex,ontex,45.755252372881,5.822026779661
29487,73,73194,73140,Orelle,orelle,45.197882914798,6.562872735426
29488,73,73196,73200,Pallud,pallud,45.689194736842,6.3860114473684
29489,73,73197,73210,Peisey-Nancroix,peisey nancroix,45.505232361111,6.8163660185185
29490,73,73200,73800,Planaise,planaise,45.506951111111,6.0997827777778
29491,73,73201,73350,Planay,planay,45.426564834437,6.7119938410596
29492,73,73202,73200,Plancherine,plancherine,45.675383515625,6.298049296875
29493,73,73203,73300,Pontamafrey-Montpascal,pontamafrey montpascal,45.328826,6.3535826666667
