,,,,-INDRE-ET-LOIRE,,,
14267,37,37224,37380,Saint-Laurent-en-Gâtines,saint laurent en gatines,47.58701875,0.7697426
14268,37,37225,37270,Saint-Martin-le-Beau,saint martin le beau,47.360338505747,0.90479195402299
14269,37,37226,37800,Sainte-Maure-de-Touraine,sainte maure de touraine,47.119008648649,0.63215031531532
14270,37,37228,37140,Saint-Nicolas-de-Bourgueil,saint nicolas de bourgueil,47.292228039216,0.13340647058824
14271,37,37229,37110,Saint-Nicolas-des-Motets,saint nicolas des motets,47.580566041667,1.0296904166667
14272,37,37230,37530,Saint-Ouen-les-Vignes,saint ouen les vignes,47.480714504504,0.99882585585586
14273,37,37231,37370,Saint-Paterne-Racan,saint paterne racan,47.58092875,0.47814014423077
14274,37,37232,37130,Coteaux-sur-Loire,coteaux sur loire,47.286229,0.306683
14275,37,37232,37140,Coteaux-sur-Loire,coteaux sur loire,47.286229,0.306683
14276,37,37233,37700,Saint-Pierre-des-Corps,saint pierre des corps,47.386191212121,0.74287909090909
14277,37,37234,37310,Saint-Quentin-sur-Indrois,saint quentin sur indrois,47.209188642857,1.0357052857143
14278,37,37236,37530,Saint-Règle,saint regle,47.407192769231,1.0357601538462
14279,37,37237,37390,Saint-Roch,saint roch,47.443166060606,0.57215075757576
14280,37,37238,37600,Saint-Senoch,saint senoch,47.05994625,0.94734285714286
14281,37,37240,37110,Saunay,saunay,47.595590223881,0.95838791044776
14282,37,37241,37340,Savigné-sur-Lathan,savigne sur lathan,47.443071785714,0.32959521428571
14283,37,37242,37420,Savigny-en-Véron,savigny en veron,47.208847765957,0.13018542553191
14284,37,37243,37510,Savonnières,savonnieres,47.340694719101,0.55950662921348
14285,37,37244,37220,Sazilly,sazilly,47.123687936508,0.35116936507937
14286,37,37245,37360,Semblançay,semblancay,47.507082564103,0.56706814102564
14287,37,37246,37600,Sennevières,sennevieres,47.11230247191,1.1006108988764
14288,37,37247,37800,Sepmes,sepmes,47.072836363636,0.68360748251748
14289,37,37248,37500,Seuilly,seuilly,47.129989811321,0.16042509433962
14290,37,37249,37360,Sonzay,sonzay,47.513032826087,0.48277875
14291,37,37250,37250,Sorigny,sorigny,47.236105309278,0.69049943298969
14292,37,37251,37330,Souvigné,souvigne,47.523055027933,0.4071048603352
14293,37,37252,37530,Souvigny-de-Touraine,souvigny de touraine,47.400024963504,1.0843090510949
14294,37,37253,37310,Sublaines,sublaines,47.270300447761,0.99252791044776
14295,37,37254,37310,Tauxigny-Saint-Bauld,tauxigny saint bauld,47.206793229814,0.83596459627329
14296,37,37255,37220,Tavant,tavant,47.117632631579,0.38416333333333
14297,37,37256,37220,Theneuil,theneuil,47.099917093023,0.43551930232558
14298,37,37257,37260,Thilouze,thilouze,47.233774244186,0.61462761627907
14299,37,37258,37500,Thizay,thizay,47.163372696629,0.13736853932584
14300,37,37259,37290,Tournon-Saint-Pierre,tournon saint pierre,46.760850892857,0.94504616071429
14301,37,37260,37120,La Tour-Saint-Gelin,la tour saint gelin,47.059913402062,0.39488927835052
14302,37,37261,37000,Tours,tours,47.3832745,0.6897966
14303,37,37261,37100,Tours,tours,47.417464,0.7060995
14304,37,37261,37200,Tours,tours,47.3661566,0.686809
14305,37,37262,37220,Trogues,trogues,47.11459,0.50916886792453
14306,37,37263,37320,Truyes,truyes,47.282302887324,0.85204338028169
14307,37,37264,37190,Vallères,valleres,47.309080145985,0.47274642335766
14308,37,37265,37600,Varennes,varennes,47.07345368932,0.91652582524272
14309,37,37266,37250,Veigné,veigne,47.289635648536,0.72232732217573
14310,37,37267,37270,Véretz,veretz,47.3524335,0.8174335
14311,37,37268,37120,Verneuil-le-Château,verneuil le chateau,47.0443275,0.45904366666667
14312,37,37269,37600,Verneuil-sur-Indre,verneuil sur indre,47.046521037344,1.049441286307
14313,37,37270,37210,Vernou-sur-Brenne,vernou sur brenne,47.44033962963,0.84248956790123
14314,37,37271,37190,Villaines-les-Rochers,villaines les rochers,47.219065683453,0.49524805755396
14315,37,37272,37510,Villandry,villandry,47.328160133333,0.4955394
14316,37,37273,37700,La Ville-aux-Dames,la ville aux dames,47.388715479452,0.77786506849315
14317,37,37274,37370,Villebourg,villebourg,47.641900196078,0.5326091503268
14318,37,37275,37460,Villedômain,villedomain,47.049818489209,1.2584204316547
14319,37,37276,37110,Villedômer,villedomer,47.549491134021,0.87645979381443
14320,37,37277,37460,Villeloin-Coulangé,villeloin coulange,47.132558297872,1.2361793617021
14321,37,37278,37260,Villeperdue,villeperdue,47.206302857143,0.64214785714286
14322,37,37279,37330,Villiers-au-Bouin,villiers au bouin,47.58185424581,0.28722078212291
14323,37,37280,37240,Vou,vou,47.091990204082,0.84943244897959
14324,37,37281,37210,Vouvray,vouvray,47.4295859375,0.805069453125
14325,37,37282,37290,Yzeures-sur-Creuse,yzeures sur creuse,46.78933,0.87332047058823
