,,,,-HAUTES-PYRENEES,,,
26098,65,65130,65700,Castelnau-Rivière-Basse,castelnau riviere basse,43.580048959538,-0.0275961849711
26099,65,65131,65350,Castelvieilh,castelvieilh,43.278509090909,0.19663509090909
26100,65,65132,65190,Castéra-Lanusse,castera lanusse,43.170466470588,0.29187647058824
26101,65,65133,65350,Castéra-Lou,castera lou,43.323669694656,0.15901488549618
26102,65,65134,65230,Casterets,casterets,43.314231509434,0.58282471698113
26103,65,65135,65130,Castillon,castillon,43.096180681818,0.22333852272727
26104,65,65136,65230,Caubous,caubous,43.241992168675,0.46441012048193
26105,65,65137,65700,Caussade-Rivière,caussade riviere,43.519836884058,0.00681442028986
26106,65,65138,65110,Cauterets,cauterets,42.850340845771,-0.12637176616915
26107,65,65139,65370,Cazarilh,cazarilh,42.951416956522,0.58494695652174
26108,65,65140,65590,Cazaux-Debat,cazaux debat,42.8872316,0.3838588
26109,65,65141,65240,Cazaux-Fréchet-Anéran-Camors,cazaux frechet aneran camors,42.838293918919,0.43409324324324
26110,65,65142,65350,Chelle-Debat,chelle debat,43.302664161491,0.2353850310559
26111,65,65143,65130,Chelle-Spou,chelle spou,43.14194137931,0.24787390804598
26112,65,65144,65100,Cheust,cheust,43.0543605,0.0288845
26113,65,65145,65120,Chèze,cheze,42.9212175,-0.0283915625
26114,65,65146,65800,Chis,chis,43.298575277778,0.11444333333333
26115,65,65147,65200,Cieutat,cieutat,43.12252898374,0.2124256504065
26116,65,65148,65230,Cizos,cizos,43.260595606061,0.48728621212121
26117,65,65149,65190,Clarac,clarac,43.217947363636,0.253329
26118,65,65150,65300,Clarens,clarens,43.161549856115,0.40885676258993
26119,65,65151,65350,Collongues,collongues,43.290521153846,0.17145538461538
26120,65,65153,65350,Coussan,coussan,43.24314754717,0.2027820754717
26121,65,65154,65370,Créchets,crechets,43.000228148148,0.57194
26122,65,65155,65230,Devèze,deveze,43.275556568627,0.55216137254902
26123,65,65156,65350,Dours,dours,43.308793376623,0.1331088961039
26124,65,65157,65170,Ens,ens,42.793390392157,0.3352231372549
26125,65,65158,65370,Esbareich,esbareich,42.934394864865,0.56933981981982
26126,65,65159,65250,Escala,escala,43.083026341463,0.41006268292683
26127,65,65160,65500,Escaunets,escaunets,43.346689202899,-0.0744502173913
