,,,,-NIEVRE,,,
22232,58,58235,58230,Saint-Brisson,saint brisson,47.26019187291,4.0950700668896
22233,58,58236,58220,Sainte-Colombe-des-Bois,sainte colombe des bois,47.315492580645,3.1504850806452
22234,58,58237,58190,Saint-Didier,saint didier,47.34687091954,3.622231954023
22235,58,58238,58000,Saint-Éloi,saint eloi,46.991780408163,3.2240851020408
22236,58,58239,58270,Saint-Firmin,saint firmin,47.037419929577,3.3999008450704
22237,58,58240,58330,Saint-Franchy,saint franchy,47.150001048951,3.4504555244755
22238,58,58241,58300,Saint-Germain-Chassenay,saint germain chassenay,46.784965346535,3.3977910891089
22239,58,58242,58210,Saint-Germain-des-Bois,saint germain des bois,47.36704737931,3.5185315862069
22240,58,58243,58340,Saint-Gratien-Savigny,saint gratien savigny,46.896672303922,3.6641375980392
22241,58,58244,58120,Saint-Hilaire-en-Morvan,saint hilaire en morvan,47.069026534296,3.8834547292419
22242,58,58245,58300,Saint-Hilaire-Fontaine,saint hilaire fontaine,46.777021403509,3.6348355701754
22243,58,58246,58360,Saint-Honoré-les-Bains,saint honore les bains,46.901894398148,3.8436955555556
22244,58,58247,58270,Saint-Jean-aux-Amognes,saint jean aux amognes,47.00788824,3.348952
22245,58,58248,58150,Saint-Laurent-l'Abbaye,saint laurent l abbaye,47.339820571429,2.9927685714286
22246,58,58249,58120,Saint-Léger-de-Fougeret,saint leger de fougeret,47.00882,3.9058704744525
22247,58,58250,58300,Saint-Léger-des-Vignes,saint leger des vignes,46.846769215686,3.4561825490196
22248,58,58251,58200,Saint-Loup,saint loup,47.454094224138,3.0109801724138
22249,58,58252,58350,Saint-Malo-en-Donziois,saint malo en donziois,47.311366,3.27515075
22250,58,58253,58330,Sainte-Marie,sainte marie,47.117121804878,3.4427731707317
22251,58,58254,58130,Saint-Martin-d'Heuille,saint martin d heuille,47.046029734513,3.2239940707965
22252,58,58255,58140,Saint-Martin-du-Puy,saint martin du puy,47.324558647687,3.8824161921708
22253,58,58256,58150,Saint-Martin-sur-Nohain,saint martin sur nohain,47.359032167832,2.9978497902098
22254,58,58257,58330,Saint-Maurice,saint maurice,47.111952254335,3.5634991907514
22255,58,58258,58160,Saint-Ouen-sur-Loire,saint ouen sur loire,46.898847631579,3.3240045789474
22256,58,58259,58300,Saint-Parize-en-Viry,saint parize en viry,46.753835309735,3.3595346902655
22257,58,58260,58490,Saint-Parize-le-Châtel,saint parize le chatel,46.850604115044,3.1897186725664
22258,58,58261,58200,Saint-Père,saint pere,47.402686019417,2.9734250485437
22259,58,58262,58110,Saint-Péreuse,saint pereuse,47.058197777778,3.8069926748971
22260,58,58263,58210,Saint-Pierre-du-Mont,saint pierre du mont,47.399156069364,3.4399712138728
22261,58,58264,58240,Saint-Pierre-le-Moûtier,saint pierre le moutier,46.791233108108,3.1430436036036
22262,58,58265,58150,Saint-Quentin-sur-Nohain,saint quentin sur nohain,47.326673780488,3.0198273170732
22263,58,58266,58420,Saint-Révérien,saint reverien,47.207344009009,3.5140027477478
22264,58,58267,58330,Saint-Saulge,saint saulge,47.102110421941,3.5250738396625
22265,58,58268,58250,Saint-Seine,saint seine,46.728724074074,3.8182769135803
22266,58,58269,58270,Saint-Sulpice,saint sulpice,47.065381785714,3.3570832857143
22267,58,58270,58310,Saint-Vérain,saint verain,47.484032358974,3.0371697948718
22268,58,58271,58190,Saizy,saizy,47.354618153846,3.6971683076923
