,,,,-LANDES,,,
15522,40,40154,40170,Lévignacq,levignacq,44.000086607143,-1.1601597321429
15523,40,40155,40260,Linxe,linxe,43.914424647887,-1.2239008920188
15524,40,40156,40410,Liposthey,liposthey,44.3071,-0.88590666666667
15525,40,40157,40170,Lit-et-Mixe,lit et mixe,44.032701055901,-1.2643271428571
15526,40,40158,40240,Losse,losse,44.079839340278,-0.12357232638889
15527,40,40159,40380,Louer,louer,43.75384661017,-0.88881440677966
15528,40,40160,40250,Lourquen,lourquen,43.7313295,-0.79618671428571
15529,40,40161,40240,Lubbon,lubbon,44.125274358974,-0.01549435897436
15530,40,40162,40090,Lucbardez-et-Bargues,lucbardez et bargues,43.978536607143,-0.41862544642857
15531,40,40163,40210,Lüe,lue,44.21739547619,-0.95657023809524
15532,40,40164,40120,Retjons,retjons,44.104694798387,-0.27725564516129
15533,40,40165,40630,Luglon,luglon,44.088336923077,-0.71444769230769
15534,40,40166,40270,Lussagnet,lussagnet,43.773547522124,-0.23277876106195
15535,40,40167,40430,Luxey,luxey,44.27314583871,-0.53627903225806
15536,40,40168,40140,Magescq,magescq,43.789688526316,-1.2172063157895
15537,40,40169,40120,Maillas,maillas,44.249483529412,-0.1900037254902
15538,40,40170,40120,Maillères,mailleres,44.018906583333,-0.4225715
15539,40,40171,40410,Mano,mano,44.431235777778,-0.67882244444444
15540,40,40172,40700,Mant,mant,43.587605,-0.50894448453608
15541,40,40173,40330,Marpaps,marpaps,43.572255294118,-0.68324078431373
15542,40,40174,40320,Mauries,mauries,43.613538699187,-0.33748227642276
15543,40,40175,40270,Maurrin,maurrin,43.827495,-0.36551654929577
15544,40,40176,40240,Mauvezin-d'Armagnac,mauvezin d armagnac,43.95756326087,-0.13367014492754
15545,40,40177,40250,Maylis,maylis,43.691871428571,-0.70756251231527
15546,40,40178,40090,Mazerolles,mazerolles,43.883238,-0.4339696
15547,40,40179,40990,Mées,mees,43.705481521739,-1.1092660869565
15548,40,40180,40400,Meilhan,meilhan,43.863947434211,-0.69332453947368
15549,40,40181,40660,Messanges,messanges,43.796089148936,-1.3631778723404
15550,40,40182,40170,Mézos,mezos,44.066647509881,-1.1201362055336
15551,40,40183,40350,Mimbaste,mimbaste,43.648237245763,-0.96176338983051
15552,40,40184,40200,Mimizan,mimizan,44.192702230769,-1.2385456153846
15553,40,40185,40320,Miramont-Sensacq,miramont sensacq,43.593990591716,-0.32903053254438
15554,40,40186,40290,Misson,misson,43.581982634409,-0.96088284946237
15555,40,40187,40660,Moliets-et-Maa,moliets et maa,43.861402686567,-1.3451873880597
15556,40,40188,40700,Momuy,momuy,43.61338816568,-0.64548591715976
15557,40,40189,40700,Monget,monget,43.560893397436,-0.53317032051282
15558,40,40190,40700,Monségur,monsegur,43.614505051195,-0.55209
15559,40,40191,40500,Montaut,montaut,43.732433006135,-0.65716760736196
15560,40,40192,40000,Mont-de-Marsan,mont de marsan,43.889819190751,-0.48165
