,,,,-CORREZE,,,
6590,19,19145,19300,Moustier-Ventadour,moustier ventadour,45.383221753846,2.1052590461538
6591,19,19146,19460,Naves,naves,45.315530728814,1.7431016610169
6592,19,19147,19600,Nespouls,nespouls,45.053944591195,1.4990794339623
6593,19,19148,19160,Neuvic,neuvic,45.357763030303,2.2585705594406
6594,19,19149,19380,Neuville,neuville,45.110002953586,1.8489434177215
6595,19,19150,19500,Noailhac,noailhac,45.083473235294,1.6225824117647
6596,19,19151,19600,Noailles,noailles,45.100357368421,1.5193073684211
6597,19,19152,19120,Nonards,nonards,45.017186527778,1.8101037962963
6598,19,19153,19130,Objat,objat,45.265581021505,1.4115421505376
6599,19,19154,19410,Orgnac-sur-Vézère,orgnac sur vezere,45.340844252874,1.4572518390805
6600,19,19155,19390,Orliac-de-Bar,orliac de bar,45.37046165493,1.805508556338
6601,19,19156,19190,Palazinges,palazinges,45.165437936508,1.6900519047619
6602,19,19157,19160,Palisse,palisse,45.429928156682,2.1988116129032
6603,19,19158,19150,Pandrignes,pandrignes,45.220258076923,1.8615618131868
6604,19,19159,19300,Péret-Bel-Air,peret bel air,45.473433448276,2.0274264827586
6605,19,19160,19170,Pérols-sur-Vézère,perols sur vezere,45.575079270588,1.9984473882353
6606,19,19161,19310,Perpezac-le-Blanc,perpezac le blanc,45.21198877193,1.3231542690058
6607,19,19162,19410,Perpezac-le-Noir,perpezac le noir,45.336201561713,1.5544510075567
6608,19,19163,19190,Le Pescher,le pescher,45.078599508197,1.7553361748634
6609,19,19164,19290,Peyrelevade,peyrelevade,45.707238611111,2.0318072453704
6610,19,19165,19260,Peyrissac,peyrissac,45.506256639344,1.6925918852459
6611,19,19166,19450,Pierrefitte,pierrefitte,45.426149384615,1.6480948717949
6612,19,19167,19200,Confolent-Port-Dieu,confolent port dieu,45.53222497561,2.496987902439
6613,19,19168,19170,Pradines,pradines,45.513101302521,1.9120848739496
6614,19,19169,19120,Puy-d'Arnac,puy d arnac,45.024275882353,1.7765925294118
6615,19,19170,19120,Queyssac-les-Vignes,queyssac les vignes,44.963762088608,1.7707996202532
6616,19,19171,19430,Reygade,reygade,45.01953566474,1.9026247398844
6617,19,19172,19260,Rilhac-Treignac,rilhac treignac,45.523688625954,1.6913342748092
6618,19,19173,19220,Rilhac-Xaintrie,rilhac xaintrie,45.172968034682,2.1938073988439
6619,19,19174,19320,La Roche-Canillac,la roche canillac,45.198391935484,1.9653759139785
6620,19,19175,19160,Roche-le-Peyroux,roche le peyroux,45.429886486486,2.3788033333333
6621,19,19176,19300,Rosiers-d'Égletons,rosiers d egletons,45.389688284024,2.007164704142
6622,19,19177,19350,Rosiers-de-Juillac,rosiers de juillac,45.28802284153,1.3044442076503
6623,19,19178,19270,Sadroc,sadroc,45.275652418301,1.5480433660131
6624,19,19179,19500,Saillac,saillac,45.041072318841,1.6401811594203
6625,19,19180,19200,Saint-Angel,saint angel,45.498812930403,2.2307428205128
6626,19,19181,19390,Saint-Augustin,saint augustin,45.432013439306,1.827112716763
6627,19,19182,19130,Saint-Aulaire,saint aulaire,45.235713071895,1.3949122875817
