id,department_code,insee_code,zip_code,-BAS-RHIN,slug,gps_lat,gps_lng
27078,67,67442,67310,Scharrachbergheim-Irmstett,scharrachbergheim irmstett,48.588685555556,7.4878950793651
27079,67,67443,67630,Scheibenhard,scheibenhard,48.9732466,8.1451453
27080,67,67444,67270,Scherlenheim,scherlenheim,48.76609425,7.533696
27081,67,67445,67750,Scherwiller,scherwiller,48.295709822485,7.4093789940828
27082,67,67446,67340,Schillersdorf,schillersdorf,48.865685697674,7.5245273255814
27083,67,67447,67300,Schiltigheim,schiltigheim,48.613979151515,7.7506112121212
27084,67,67448,67130,Schirmeck,schirmeck,48.491046257669,7.201939202454
27085,67,67449,67240,Schirrhein,schirrhein,48.794958834951,7.9219215533981
27086,67,67450,67240,Schirrhoffen,schirrhoffen,48.807592619048,7.9277611904762
27087,67,67451,67160,Schleithal,schleithal,48.98769852459,8.0366036065574
27088,67,67452,67370,Schnersheim,schnersheim,48.659835471698,7.5683558490566
27089,67,67453,67390,Schœnau,schoenau,48.229002763158,7.6449217105263
27090,67,67454,67320,Schœnbourg,schoenbourg,48.832469189189,7.2684054054054
27091,67,67455,67250,Schœnenbourg,schoenenbourg,48.952069142857,7.9137132857143
27092,67,67456,67260,Schopperten,schopperten,48.94568025974,7.0451196103896
27093,67,67458,67590,Schweighouse-sur-Moder,schweighouse sur moder,48.824123069307,7.730601980198
27094,67,67459,67440,Schwenheim,schwenheim,48.71477,7.4052815217391
27095,67,67460,67270,Schwindratzheim,schwindratzheim,48.761607142857,7.6046033035714
27096,67,67461,67390,Schwobsheim,schwobsheim,48.237776122449,7.5709191836735
27097,67,67462,67600,Sélestat,selestat,48.253621285714,7.4623640952381
27098,67,67463,67470,Seltz,seltz,48.899327638191,8.0895790452261
27099,67,67464,67230,Sermersheim,sermersheim,48.34406969697,7.5549550505051
27100,67,67465,67770,Sessenheim,sessenheim,48.800567307692,7.9784752884615
27101,67,67466,67160,Siegen,siegen,48.955582432432,8.0373402702703
27102,67,67467,67320,Siewiller,siewiller,48.842324285714,7.2063609821428
27103,67,67468,67260,Siltzheim,siltzheim,49.059970348837,7.0982538372093
27104,67,67470,67130,Solbach,solbach,48.430992333333,7.1973458333333
27105,67,67471,67460,Souffelweyersheim,souffelweyersheim,48.633199157895,7.7421637894737
27106,67,67472,67620,Soufflenheim,soufflenheim,48.813670506912,7.9564925806452
27107,67,67473,67120,Soultz-les-Bains,soultz les bains,48.570896222222,7.4777977777778
27108,67,67474,67250,Soultz-sous-Forêts,soultz sous forets,48.950140653846,7.8689173846154
27109,67,67475,67340,Sparsbach,sparsbach,48.87685612069,7.4037895689655
27110,67,67476,67770,Stattmatten,stattmatten,48.794940243902,8.0160226829268
27111,67,67477,67220,Steige,steige,48.362410769231,7.2284511538461
27112,67,67478,67790,Steinbourg,steinbourg,48.767960538922,7.415058742515
27113,67,67479,67160,Steinseltz,steinseltz,49.002415955056,7.9262860674157
27114,67,67480,67190,Still,still,48.563370591716,7.3757189940828
27115,67,67481,67140,Stotzheim,stotzheim,48.379583070866,7.5094066141732
27116,67,67482,67000,Strasbourg,strasbourg,48.6019858,7.7835217
27117,67,67482,67100,Strasbourg,strasbourg,48.5266021,7.781398
27118,67,67482,67200,Strasbourg,strasbourg,48.586322,7.7170649
27119,67,67483,67290,Struth,struth,48.896991386139,7.2697665346535
27120,67,67484,67250,Stundwiller,stundwiller,48.922761780822,7.9940397260274
27121,67,67485,67370,Stutzheim-Offenheim,stutzheim offenheim,48.625778846154,7.6264094230769
27122,67,67486,67920,Sundhouse,sundhouse,48.254706060606,7.6358055151515
27123,67,67487,67250,Surbourg,surbourg,48.909471188119,7.8329378217822
27124,67,67488,67320,Thal-Drulingen,thal drulingen,48.91129484375,7.13998328125
27125,67,67489,67440,Thal-Marmoutier,thal marmoutier,48.694298088235,7.3384861764706
27126,67,67490,67220,Thanvillé,thanville,48.326532372881,7.3509533898305
27127,67,67491,67290,Tieffenbach,tieffenbach,48.903102871287,7.2469402970297
27128,67,67492,67310,Traenheim,traenheim,48.596348169014,7.4693228169014
27129,67,67493,67220,Triembach-au-Val,triembach au val,48.341275384615,7.3333187179487
27130,67,67494,67470,Trimbach,trimbach,48.939689705882,8.0179235294118
27131,67,67495,67370,Truchtersheim,truchtersheim,48.659575555556,7.6308856410256
27132,67,67497,67350,Uhlwiller,uhlwiller,48.820486056338,7.6782870422535
