,,,,-LOZERE,,,
17880,48,48166,48400,Cans et Cévennes,cans et cevennes,44.288288641619,3.645700867052
17881,48,48167,48310,Saint-Laurent-de-Veyrès,saint laurent de veyres,44.773493787879,3.1282884848485
17882,48,48168,48100,Saint-Léger-de-Peyre,saint leger de peyre,44.606465884956,3.2973953539823
17883,48,48169,48140,Saint-Léger-du-Malzieu,saint leger du malzieu,44.900325772727,3.3161825909091
17884,48,48170,48160,Saint-Martin-de-Boubaux,saint martin de boubaux,44.190591724138,3.9303310689655
17885,48,48171,48110,Saint-Martin-de-Lansuscle,saint martin de lansuscle,44.219637545455,3.7527540909091
17886,48,48173,48160,Saint-Michel-de-Dèze,saint michel de deze,44.240434921875,3.884440859375
17887,48,48174,48600,Saint-Paul-le-Froid,saint paul le froid,44.791294854772,3.5467773029046
17888,48,48175,48340,Saint-Pierre-de-Nogaret,saint pierre de nogaret,44.487795291971,3.1273746715328
17889,48,48176,48150,Saint-Pierre-des-Tripiers,saint pierre des tripiers,44.222224563107,3.2709484951456
17890,48,48177,48200,Saint-Pierre-le-Vieux,saint pierre le vieux,44.842131978022,3.3010048351648
17891,48,48178,48240,Saint-Privat-de-Vallongue,saint privat de vallongue,44.282864259259,3.8358483333333
17892,48,48179,48140,Saint-Privat-du-Fau,saint privat du fau,44.916197754011,3.348732513369
17893,48,48181,48500,Saint-Saturnin,saint saturnin,44.404711965812,3.1940235042735
17894,48,48182,48170,Saint-Sauveur-de-Ginestoux,saint sauveur de ginestoux,44.705940144928,3.6164291304348
17895,48,48184,48600,Saint-Symphorien,saint symphorien,44.838774965035,3.6275644405594
17896,48,48185,48230,Les Salelles,les salelles,44.48625372549,3.271702745098
17897,48,48187,48100,Les Salces,les salces,44.559681785714,3.1305995798319
17898,48,48188,48700,Serverette,serverette,44.701894608295,3.3921812442396
17899,48,48189,48000,Servières,servieres,44.581215555556,3.4199349673203
17900,48,48190,48310,Termes,termes,44.828161501832,3.1705405494505
17901,48,48191,48500,La Tieule,la tieule,44.38626408867,3.1699348768473
17902,48,48192,48340,Trélans,trelans,44.51941034632,3.1019058441558
17903,48,48193,48400,Vebron,vebron,44.251247106109,3.552382733119
17904,48,48194,48220,Vialas,vialas,44.341612682927,3.8878998536585
17905,48,48197,48700,La Villedieu,la villedieu,44.71318,3.5235759036145
17906,48,48198,48800,Villefort,villefort,44.445607933884,3.9265599173554
