,,,,-CREUSE,,,
7899,23,23113,23190,Lupersat,lupersat,45.99073218509,2.3496610796915
7900,23,23114,23170,Lussat,lussat,46.18286556213,2.3364287278107
7901,23,23115,23260,Magnat-l'Étrange,magnat l etrange,45.796739699248,2.2799389097744
7902,23,23116,23700,Mainsat,mainsat,46.046459036458,2.3821987239583
7903,23,23117,23800,Maison-Feyne,maison feyne,46.347598238342,1.6720377720207
7904,23,23118,23150,Maisonnisses,maisonnisses,46.057800837696,1.9046121465969
7905,23,23119,23260,Malleret,malleret,45.762314831461,2.3289718539326
7906,23,23120,23600,Malleret-Boussac,malleret boussac,46.3278490625,2.1622658203125
7907,23,23121,23220,Malval,malval,46.355312330097,1.8946967961165
7908,23,23122,23400,Mansat-la-Courrière,mansat la courriere,45.965846641221,1.7959842748092
7909,23,23123,23700,Les Mars,les mars,45.994350622407,2.4890082987552
7910,23,23124,23210,Marsac,marsac,46.10016900369,1.5829567896679
7911,23,23125,23100,Le Mas-d'Artige,le mas d artige,45.732007323944,2.1868876760563
7912,23,23126,23400,Masbaraud-Mérignat,masbaraud merignat,45.977239253731,1.7235625074627
7913,23,23127,23190,Mautes,mautes,45.938725917721,2.3799137341772
7914,23,23128,23150,Mazeirat,mazeirat,46.133227103825,1.9848183606557
7915,23,23129,23260,La Mazière-aux-Bons-Hommes,la maziere aux bons hommes,45.895489202128,2.4425236702128
7916,23,23130,23360,Méasnes,measnes,46.428107210884,1.7761653061225
7917,23,23131,23420,Mérinchal,merinchal,45.910420028249,2.4950700282486
7918,23,23132,23320,Montaigut-le-Blanc,montaigut le blanc,46.118540838926,1.7356387583893
7919,23,23133,23400,Montboucher,montboucher,45.946625666667,1.6757904848485
7920,23,23134,23460,Le Monteil-au-Vicomte,le monteil au vicomte,45.907281116751,1.9462264974619
7921,23,23136,23220,Mortroux,mortroux,46.394223571429,1.9042100892857
7922,23,23137,23210,Mourioux-Vieilleville,mourioux vieilleville,46.083359208443,1.6394979683377
7923,23,23138,23150,Moutier-d'Ahun,moutier d ahun,46.100118947368,2.0643851879699
7924,23,23139,23220,Moutier-Malcard,moutier malcard,46.385404612069,1.9462875
7925,23,23140,23200,Moutier-Rozeille,moutier rozeille,45.916511970803,2.2026852189781
7926,23,23141,23800,Naillat,naillat,46.261960589147,1.6502961860465
7927,23,23142,23200,Néoux,neoux,45.917598698225,2.2578920118343
7928,23,23143,23300,Noth,noth,46.243246231527,1.5755083251231
7929,23,23144,23500,La Nouaille,la nouaille,45.846581914894,2.0752240729483
7930,23,23145,23170,Nouhant,nouhant,46.287370227273,2.39202375
7931,23,23146,23600,Nouzerines,nouzerines,46.397093780488,2.1138507317073
7932,23,23147,23360,Nouzerolles,nouzerolles,46.381534015151,1.7382707575758
7933,23,23148,23350,Nouziers,nouziers,46.417804965035,1.9573541958042
7934,23,23149,23140,Parsac-Rimondeix,parsac rimondeix,46.209323037975,2.1252709493671
7935,23,23150,23000,Peyrabout,peyrabout,46.103150810811,1.919481554054
7936,23,23151,23130,Peyrat-la-Nonière,peyrat la noniere,46.078203586956,2.2549350543478
7937,23,23152,23130,Pierrefitte,pierrefitte,46.153981391304,2.2354353913044
7938,23,23154,23140,Pionnat,pionnat,46.166905609756,2.035927195122
7939,23,23155,23250,Pontarion,pontarion,45.996647836257,1.8483548538012
7940,23,23156,23260,Pontcharraud,pontcharraud,45.861181452992,2.2762853846154
7941,23,23157,23250,La Pouge,la pouge,45.971117878788,1.9367051515152
7942,23,23158,23500,Poussanges,poussanges,45.823563451327,2.2200273451327
7943,23,23159,23130,Puy-Malsignat,puy malsignat,46.033714285714,2.2180835
7944,23,23160,23110,Reterre,reterre,46.108758282443,2.4646779389313
7945,23,23162,23270,Roches,roches,46.275540428135,1.9860859021407
7946,23,23164,23700,Rougnat,rougnat,46.054458985915,2.4949442535211
7947,23,23165,23460,Royère-de-Vassivière,royere de vassiviere,45.843138712274,1.9044097183099
7948,23,23166,23800,Sagnat,sagnat,46.312518965517,1.6186370689655
7949,23,23167,23110,Sannat,sannat,46.124148497537,2.4149057881773
7950,23,23168,23250,Sardent,sardent,46.043230563063,1.8538001576577
7951,23,23169,23000,La Saunière,la sauniere,46.129701477833,1.9397360098522
7952,23,23170,23000,Savennes,savennes,46.113605301205,1.8856996385542
7953,23,23171,23700,Sermur,sermur,45.972839620853,2.4159355924171
