,,,,-SARTHE,,,
29092,72,72143,72150,Le Grand-Lucé,le grand luce,47.856601718213,0.47747274914089
29093,72,72144,72320,Gréez-sur-Roc,greez sur roc,48.1386332,0.83205243333333
29094,72,72145,72140,Le Grez,le grez,48.184982073171,-0.15501170731707
29095,72,72146,72230,Guécélard,guecelard,47.880429826087,0.13864669565217
29096,72,72147,72380,La Guierche,la guierche,48.118684945055,0.20167527472527
29097,72,72148,72110,Jauzé,jauze,48.207160107527,0.38327698924731
29098,72,72149,72540,Joué-en-Charnie,joue en charnie,48.018183452381,-0.19514267857143
29099,72,72150,72380,Joué-l'Abbé,joue l abbe,48.108001097561,0.2281656097561
29100,72,72151,72300,Juigné-sur-Sarthe,juigne sur sarthe,47.868959022556,-0.29277894736842
29101,72,72152,72170,Juillé,juille,48.244361492537,0.12643089552239
29102,72,72153,72500,Jupilles,jupilles,47.79534338983,0.40983576271186
29103,72,72154,72200,La Flèche,la fleche,47.693222649254,-0.08216414179104
29104,72,72155,72220,Laigné-en-Belin,laigne en belin,47.866476646707,0.23053389221557
29105,72,72156,72320,Lamnay,lamnay,48.11107547486,0.70682184357542
29106,72,72157,72240,Lavardin,lavardin,48.084656695652,0.06068843478261
29107,72,72158,72390,Lavaré,lavare,48.060006831276,0.64689950617284
29108,72,72160,72500,Lavernat,lavernat,47.716357426901,0.35003298245614
29109,72,72161,72340,Lhomme,lhomme,47.757159948454,0.55741943298969
29110,72,72163,72270,Ligron,ligron,47.768288264463,-0.01547305785124
29111,72,72164,72610,Livet-en-Saosnois,livet en saosnois,48.355534285714,0.21135971428571
29112,72,72165,72450,Lombron,lombron,48.083433493976,0.41151765060241
29113,72,72166,72540,Longnes,longnes,48.021118493151,-0.08175452054795
29114,72,72167,72300,Louailles,louailles,47.783215813953,-0.23879837209302
29115,72,72168,72540,Loué,loue,48.000800903226,-0.14249464516129
29116,72,72169,72210,Louplande,louplande,47.943810672646,0.05349753363229
29117,72,72170,72600,Louvigny,louvigny,48.336658468468,0.20562144144144
29118,72,72171,72600,Louzes,louzes,48.426608067227,0.31055756302521
29119,72,72172,72390,Le Luart,le luart,48.082127227723,0.59551089108911
29120,72,72173,72500,Luceau,luceau,47.719308145695,0.39317377483444
29121,72,72174,72290,Lucé-sous-Ballon,luce sous ballon,48.210649468085,0.21114553191489
29122,72,72175,72800,Luché-Pringé,luche pringe,47.704362589641,0.10372111553785
29123,72,72176,72800,Le Lude,le lude,47.638874117647,0.1385060899654
29124,72,72177,72210,Maigné,maigne,47.940264032258,-0.0572647311828
29125,72,72178,72440,Maisoncelles,maisoncelles,47.935784390244,0.57396219512195
29126,72,72179,72270,Malicorne-sur-Sarthe,malicorne sur sarthe,47.813121493213,-0.07949009049774
29127,72,72180,72600,Mamers,mamers,48.355412463768,0.37157652173913
29128,72,72181,72000,Le Mans,le mans,48.0157803,0.1609266
29129,72,72181,72100,Le Mans,le mans,47.9909521,0.1971772
29130,72,72182,72510,Mansigné,mansigne,47.745024980695,0.13163787644788
29131,72,72183,72340,Marçon,marcon,47.70548875,0.53319529761905
29132,72,72184,72540,Mareil-en-Champagne,mareil en champagne,47.980863278689,-0.17854581967213
29133,72,72185,72200,Mareil-sur-Loir,mareil sur loir,47.7235534,0.0084816
29134,72,72186,72170,Maresché,maresche,48.205439850746,0.15275880597015
29135,72,72187,72220,Marigné-Laillé,marigne laille,47.820579625668,0.3480722459893
29136,72,72188,72600,Marollette,marollette,48.37710171875,0.36406171875
29137,72,72189,72260,Marolles-les-Braults,marolles les braults,48.255711126126,0.32242833333333
29138,72,72190,72120,Marolles-lès-Saint-Calais,marolles les saint calais,47.910777051282,0.79384967948718
29139,72,72191,72360,Mayet,mayet,47.768767787234,0.26419987234043
29140,72,72192,72260,Les Mées,les mees,48.316381529412,0.23935011764706
29141,72,72193,72320,Melleray,melleray,48.091599508929,0.80742232142857
29142,72,72194,72170,Meurcé,meurce,48.239117741935,0.20247564516129
29143,72,72195,72270,Mézeray,mezeray,47.823134980989,-0.02126452471483
29144,72,72196,72290,Mézières-sur-Ponthouin,mezieres sur ponthouin,48.201372373737,0.29336616161616
29145,72,72197,72240,Mézières-sous-Lavardin,mezieres sous lavardin,48.164456461538,0.04936076923077
