id,department_code,insee_code,zip_code,-MOSELLE,slug,gps_lat,gps_lng
21856,57,57612,57640,Saint-Hubert,saint hubert,49.232671567164,6.3603369402985
21857,57,57613,57930,Saint-Jean-de-Bassel,saint jean de bassel,48.81240312,6.95888288
21858,57,57614,57370,Saint-Jean-Kourtzerode,saint jean kourtzerode,48.755696179775,7.1936588764045
21859,57,57615,57510,Saint-Jean-Rohrbach,saint jean rohrbach,49.027787071823,6.8776028729282
21860,57,57616,57070,Saint-Julien-lès-Metz,saint julien les metz,49.135578131868,6.2079305494506
21861,57,57617,57420,Saint-Jure,saint jure,48.940296890756,6.231912184874
21862,57,57618,57820,Saint-Louis,saint louis,48.711130827586,7.199643862069
21863,57,57619,57620,Saint-Louis-lès-Bitche,saint louis les bitche,48.986822542373,7.350665338983
21864,57,57620,57255,Sainte-Marie-aux-Chênes,sainte marie aux chenes,49.192088046875,6.006084375
21865,57,57621,57260,Saint-Médard,saint medard,48.80985393617,6.6362806382979
21866,57,57622,57855,Saint-Privat-la-Montagne,saint privat la montagne,49.18708,6.039905308642
21867,57,57623,57560,Saint-Quirin,saint quirin,48.591073448276,7.1055509655172
21868,57,57624,57130,Sainte-Ruffine,sainte ruffine,49.106519677419,6.0962074193548
21869,57,57625,57170,Salonnes,salonnes,48.787912585034,6.4891657823129
21870,57,57626,57640,Sanry-lès-Vigy,sanry les vigy,49.18642686747,6.2790386746988
21871,57,57627,57530,Sanry-sur-Nied,sanry sur nied,49.053792625,6.34026275
21872,57,57628,57430,Sarralbe,sarralbe,48.99565301676,7.0158726256983
21873,57,57629,57400,Sarraltroff,sarraltroff,48.7737525,7.0625102941176
21874,57,57630,57400,Sarrebourg,sarrebourg,48.74048704918,7.0594469398907
21875,57,57631,57200,Sarreguemines,sarreguemines,49.105230130435,7.0631663478261
21876,57,57633,57905,Sarreinsming,sarreinsming,49.091050540541,7.1169236486487
21877,57,57634,57140,Saulny,saulny,49.16039978022,6.1010930769231
21878,57,57635,57370,Schalbach,schalbach,48.827963046875,7.15729265625
21879,57,57636,57412,Schmittviller,schmittviller,49.009417843137,7.1838688235294
21880,57,57637,57400,Schneckenbusch,schneckenbusch,48.701000625,7.0783916666667
21881,57,57638,57350,Schœneck,schoeneck,49.215287692308,6.9238182051282
21882,57,57639,57230,Schorbach,schorbach,49.082779913043,7.4131884347826
21883,57,57640,57320,Schwerdorff,schwerdorff,49.372471551724,6.5712752586207
21884,57,57641,57720,Schweyen,schweyen,49.158636645963,7.4050686956522
21885,57,57642,57160,Scy-Chazelles,scy chazelles,49.113644081633,6.1211910204082
21886,57,57643,57420,Secourt,secourt,48.949999859155,6.2746307042254
21887,57,57644,57455,Seingbouse,seingbouse,49.103933727273,6.8337568181818
21888,57,57645,57280,Semécourt,semecourt,49.197489230769,6.1359917948718
21889,57,57647,57290,Serémange-Erzange,seremange erzange,49.323809878049,6.0920224390244
21890,57,57648,57530,Servigny-lès-Raville,servigny les raville,49.07844969697,6.4434952727273
21891,57,57649,57640,Servigny-lès-Sainte-Barbe,servigny les sainte barbe,49.145957241379,6.2747531034483
21892,57,57650,57480,Sierck-les-Bains,sierck les bains,49.436563333333,6.359829537037
21893,57,57651,57410,Siersthal,siersthal,49.049122321429,7.3562633333333
21894,57,57652,57420,Sillegny,sillegny,48.983968035714,6.1480750892857
21895,57,57653,57420,Silly-en-Saulnois,silly en saulnois,48.992436428571,6.2791345238095
21896,57,57654,57530,Silly-sur-Nied,silly sur nied,49.12356890411,6.3700932876712
21897,57,57655,57420,Solgne,solgne,48.969506216216,6.2965639189189
21898,57,57656,57580,Sorbey,sorbey,49.038357411765,6.3188090588235
21899,57,57657,57170,Sotzeling,sotzeling,48.869278,6.6372990769231
21900,57,57658,57960,Soucht,soucht,48.966987980769,7.3202303846154
21901,57,57659,57350,Spicheren,spicheren,49.1923745,6.970512
21902,57,57660,57350,Stiring-Wendel,stiring wendel,49.201423137255,6.927447254902
21903,57,57661,57230,Sturzelbronn,sturzelbronn,49.036949246575,7.5951950684932
21904,57,57662,57340,Suisse,suisse,48.964630379747,6.5790416455696
21905,57,57663,57525,Talange,talange,49.233848536585,6.1708779268293
