id,department_code,insee_code,zip_code,-AIN,slug,gps_lat,gps_lng
60,1,1064,1470,Briord,briord,45.778150092593,5.4907816666667
61,1,1065,1310,Buellas,buellas,46.211549901961,5.1450947058824
62,1,1066,1510,La Burbanche,la burbanche,45.865082553191,5.5447043617021
63,1,1067,1430,Ceignes,ceignes,46.122940705882,5.4945695294118
64,1,1068,1450,Cerdon,cerdon,46.074992025316,5.4736034177215
65,1,1069,1240,Certines,certines,46.132655,5.2654237837838
66,1,1071,1170,Cessy,cessy,46.317985422535,6.0760071126761
67,1,1072,1250,Ceyzériat,ceyzeriat,46.18357864,5.31511216
68,1,1073,1350,Ceyzérieu,ceyzerieu,45.832576010638,5.7116832446808
69,1,1074,1320,Chalamont,chalamont,46.002631512605,5.173992605042
70,1,1075,1480,Chaleins,chaleins,46.034425041322,4.7996861983471
71,1,1076,1230,Chaley,chaley,45.956394255319,5.544979893617
72,1,1077,1450,Challes-la-Montagne,challes la montagne,46.123219901961,5.4601503921569
73,1,1078,1630,Challex,challex,46.175373944954,5.9679271559633
74,1,1079,1260,Champagne-en-Valromey,champagne en valromey,45.931606372093,5.6934707441861
75,1,1080,1110,Champdor-Corcelles,champdor corcelles,46.032686575342,5.575461369863
76,1,1081,1410,Champfromier,champfromier,46.220618641975,5.8242741358025
77,1,1082,1420,Chanay,chanay,46.001900603448,5.7795182758621
78,1,1083,1990,Chaneins,chaneins,46.088803267327,4.8552178217822
79,1,1084,1400,Chanoz-Châtenay,chanoz chatenay,46.187230382166,5.0270835031847
80,1,1085,1240,La Chapelle-du-Châtelard,la chapelle du chatelard,46.07192394636,5.0238535249042
81,1,1087,1130,Charix,charix,46.188639444444,5.683287
82,1,1088,1800,Charnoz-sur-Ain,charnoz sur ain,45.873123802817,5.2199981690141
83,1,1089,1500,Château-Gaillard,chateau gaillard,45.964916548673,5.3028414159292
84,1,1090,1320,Châtenay,chatenay,46.027040620155,5.2063486821705
85,1,1091,1200,Châtillon-en-Michaille,chatillon en michaille,46.129789519231,5.7723086538462
86,1,1092,1320,Châtillon-la-Palud,chatillon la palud,45.973948055556,5.2385538194444
87,1,1093,1400,Châtillon-sur-Chalaronne,chatillon sur chalaronne,46.121240208333,4.9594278125
88,1,1094,1190,Chavannes-sur-Reyssouze,chavannes sur reyssouze,46.436287058824,5.0009959558823
89,1,1095,1250,Nivigne et Suran,nivigne et suran,46.287250322581,5.4291164919355
90,1,1096,1660,Chaveyriat,chaveyriat,46.203152298851,5.05054
91,1,1097,1510,Chavornay,chavornay,45.882759880952,5.7273460714286
92,1,1098,1300,Chazey-Bons,chazey bons,45.802649,5.681342
93,1,1098,1510,Chazey-Bons,chazey bons,45.802649,5.681342
