id,department_code,insee_code,zip_code,-ARIEGE,slug,gps_lat,gps_lng
3136,9,9272,9000,Saint-Paul-de-Jarrat,saint paul de jarrat,42.900311111111,1.6695094444444
3137,9,9273,9000,Saint-Pierre-de-Rivière,saint pierre de riviere,42.966305102041,1.5549071428571
3138,9,9274,9500,Saint-Quentin-la-Tour,saint quentin la tour,43.029285144928,1.9074512318841
3139,9,9275,9700,Saint-Quirc,saint quirc,43.279623684211,1.5006176842105
3140,9,9276,9100,Saint-Victor-Rouzaud,saint victor rouzaud,43.090374965986,1.5465452380952
3141,9,9277,9210,Saint-Ybars,saint ybars,43.240480592105,1.394147368421
3142,9,9279,9800,Salsein,salsein,42.9041386,1.0025132
3143,9,9280,9400,Saurat,saurat,42.877106375839,1.5048706711409
3144,9,9281,9300,Sautel,sautel,42.968162142857,1.8222485714286
3145,9,9282,9700,Saverdun,saverdun,43.219849367089,1.5539608227848
3146,9,9283,9110,Savignac-les-Ormeaux,savignac les ormeaux,42.681101408451,1.7800045070422
3147,9,9284,9120,Ségura,segura,43.034131730769,1.6936044230769
3148,9,9285,9140,Seix,seix,42.823299398496,1.1545528571429
3149,9,9286,9220,Sem,sem,42.755505283019,1.5238473584906
3150,9,9287,9250,Senconac,senconac,42.811559137931,1.7160225862069
3151,9,9289,9190,Lorp-Sentaraille,lorp sentaraille,43.015159534884,1.1053595348837
3152,9,9290,9800,Sentein,sentein,42.841026716418,0.92720119402985
3153,9,9291,9140,Sentenac-d'Oust,sentenac d oust,42.861634728682,1.1356475968992
3154,9,9292,9240,Sentenac-de-Sérou,sentenac de serou,42.951073756614,1.3918123809524
3155,9,9293,9000,Serres-sur-Arget,serres sur arget,42.968449811321,1.5018628930818
3156,9,9294,9130,Sieuras,sieuras,43.191265308642,1.3430071604938
3157,9,9295,9220,Siguer,siguer,42.711173490566,1.5553423584906
3158,9,9296,9310,Sinsat,sinsat,42.800548596491,1.6602114035088
3159,9,9297,9800,Sor,sor,42.919267575758,1.011403030303
