,,,,-OISE,,,
23091,60,60121,60640,Campagne,campagne,49.647241587302,2.9604142857143
23092,60,60122,60220,Campeaux,campeaux,49.611129651163,1.750856744186
23093,60,60123,60480,Campremy,campremy,49.566543,2.3279301
23094,60,60124,60310,Candor,candor,49.628670136986,2.8843193150685
23095,60,60125,60680,Canly,canly,49.389511558442,2.7009553246753
23096,60,60126,60310,Cannectancourt,cannectancourt,49.547903679245,2.8927916037736
23097,60,60127,60310,Canny-sur-Matz,canny sur matz,49.600684246575,2.8014375342466
23098,60,60128,60220,Canny-sur-Thérain,canny sur therain,49.607195,1.7174038297872
23099,60,60129,60170,Carlepont,carlepont,49.522241848739,3.0196704201681
23100,60,60130,60840,Catenoy,catenoy,49.383619178082,2.5212239726027
23101,60,60131,60360,Catheux,catheux,49.648568992248,2.103567751938
23102,60,60132,60640,Catigny,catigny,49.635123205128,2.9470543589744
23103,60,60133,60130,Catillon-Fumechon,catillon fumechon,49.528851034483,2.3803563218391
23104,60,60134,60290,Cauffry,cauffry,49.312809879518,2.4350773493976
23105,60,60135,60730,Cauvigny,cauvigny,49.300560707071,2.2334736363636
23106,60,60136,60210,Cempuis,cempuis,49.654887727273,1.9867718181818
23107,60,60137,60190,Cernoy,cernoy,49.444046774194,2.5411985483871
23108,60,60138,60300,Chamant,chamant,49.2253275,2.6275664473684
23109,60,60139,60230,Chambly,chambly,49.169765733333,2.2410989333333
23110,60,60140,60240,Chambors,chambors,49.257562083333,1.8141170833333
23111,60,60141,60500,Chantilly,chantilly,49.17929703125,2.47626671875
23112,60,60142,60520,La Chapelle-en-Serval,la chapelle en serval,49.125837971014,2.5261530434783
23113,60,60143,60240,Chaumont-en-Vexin,chaumont en vexin,49.273760070422,1.8885942253521
23114,60,60144,60240,Chavençon,chavencon,49.187430394737,1.9870377631579
23115,60,60145,60350,Chelles,chelles,49.3472957,3.0379252
23116,60,60146,60120,Chepoix,chepoix,49.607071702128,2.3846086170213
23117,60,60147,60150,Chevincourt,chevincourt,49.511866851852,2.8498683333333
23118,60,60148,60440,Chèvreville,chevreville,49.114076363636,2.8529434545454
23119,60,60149,60710,Chevrières,chevrieres,49.344545352113,2.6772378873239
23120,60,60150,60138,Chiry-Ourscamp,chiry ourscamp,49.529522777778,2.9691946111111
23121,60,60151,60750,Choisy-au-Bac,choisy au bac,49.435314453782,2.8832511764706
23122,60,60152,60190,Choisy-la-Victoire,choisy la victoire,49.376165164835,2.5956383516484
23123,60,60153,60360,Choqueuse-les-Bénards,choqueuse les benards,49.647763928571,2.0714976785714
23124,60,60154,60940,Cinqueux,cinqueux,49.317366103896,2.5289453246753
23125,60,60155,60660,Cires-lès-Mello,cires les mello,49.266679583333,2.34063
