,,,,-PYRENEES-ORIENTALES,,,
26592,66,66154,66210,Puyvalador,puyvalador,42.650989722222,2.1143752314815
26593,66,66155,66360,Py,py,42.480786326531,2.3616365306122
26594,66,66156,66730,Rabouillet,rabouillet,42.724896915888,2.3788211214953
26595,66,66157,66360,Railleu,railleu,42.590405510204,2.16312
26596,66,66158,66720,Rasiguères,rasigueres,42.772836470588,2.5988494117647
26597,66,66159,66210,Réal,real,42.644096947368,2.1426817894737
26598,66,66160,66400,Reynès,reynes,42.480401545894,2.7041445410628
26599,66,66161,66500,Ria-Sirach,ria sirach,42.607848869565,2.3939093043478
26600,66,66162,66320,Rigarda,rigarda,42.629244021739,2.5377391304348
26601,66,66164,66600,Rivesaltes,rivesaltes,42.764790409836,2.8730142622951
26602,66,66165,66320,Rodès,rodes,42.651068465347,2.5528852970297
26603,66,66166,66360,Sahorre,sahorre,42.523873106796,2.359103592233
26604,66,66167,66800,Saillagouse,saillagouse,42.458541836735,2.0417725170068
26605,66,66168,66690,Saint-André,saint andre,42.552958317757,2.9773456074766
26606,66,66169,66220,Saint-Arnac,saint arnac,42.77588,2.5341017777778
26607,66,66170,66300,Sainte-Colombe-de-la-Commanderie,sainte colombe de la commanderie,42.615734909091,2.7397514545455
26608,66,66171,66750,Saint-Cyprien,saint cyprien,42.617207625,3.0226535
26609,66,66172,66240,Saint-Estève,saint esteve,42.713285072464,2.8509376811594
26610,66,66173,66170,Saint-Féliu-d'Amont,saint feliu d amont,42.672121857143,2.7176802857143
26611,66,66174,66170,Saint-Féliu-d'Avall,saint feliu d avall,42.671277536232,2.7468575362319
26612,66,66175,66740,Saint-Génis-des-Fontaines,saint genis des fontaines,42.554577166667,2.9207005
26613,66,66176,66510,Saint-Hippolyte,saint hippolyte,42.793695454545,2.9538378787879
26614,66,66177,66300,Saint-Jean-Lasseille,saint jean lasseille,42.587085614035,2.8638838596491
26615,66,66178,66490,Saint-Jean-Pla-de-Corts,saint jean pla de corts,42.521492650602,2.795223373494
26616,66,66179,66260,Saint-Laurent-de-Cerdans,saint laurent de cerdans,42.397683452381,2.6191488095238
26617,66,66180,66250,Saint-Laurent-de-la-Salanque,saint laurent de la salanque,42.782977727273,3.0100225
26618,66,66181,66800,Sainte-Léocadie,sainte leocadie,42.433867941176,2.0054014705882
26619,66,66182,66470,Sainte-Marie-la-Mer,sainte marie la mer,42.7261840625,3.0241304166667
26620,66,66183,66110,Saint-Marsal,saint marsal,42.524058304348,2.622257173913
26621,66,66184,66220,Saint-Martin-de-Fenouillet,saint martin de fenouillet,42.788604,2.4803186666667
26622,66,66185,66130,Saint-Michel-de-Llotes,saint michel de llotes,42.645972376238,2.6268000990099
26623,66,66186,66570,Saint-Nazaire,saint nazaire,42.660295230769,2.983134
26624,66,66187,66220,Saint-Paul-de-Fenouillet,saint paul de fenouillet,42.817296206897,2.4987459770115
26625,66,66188,66210,Saint-Pierre-dels-Forcats,saint pierre dels forcats,42.483568444444,2.123593
26626,66,66189,66280,Saleilles,saleilles,42.658717833333,2.9488683333333
26627,66,66190,66600,Salses-le-Château,salses le chateau,42.823125733333,2.9033684
26628,66,66191,66360,Sansa,sansa,42.615004416667,2.1812226666667
26629,66,66192,66210,Sauto,sauto,42.512657809524,2.1470106666667
26630,66,66193,66360,Serdinya,serdinya,42.573839537037,2.3216373148148
26631,66,66194,66230,Serralongue,serralongue,42.381102045455,2.5614025
26632,66,66195,66270,Le Soler,le soler,42.678762903226,2.7989752688172
26633,66,66196,66690,Sorède,sorede,42.515674178082,2.9712130136986
26634,66,66197,66360,Souanyas,souanyas,42.548835119048,2.2793153571429
26635,66,66198,66730,Sournia,sournia,42.71663437037,2.4104214814815
26636,66,66199,66400,Taillet,taillet,42.516445692308,2.6771426153846
26637,66,66201,66320,Tarerach,tarerach,42.676255614035,2.5158368421053
26638,66,66202,66120,Targassonne,targassonne,42.500534,1.991084
26639,66,66203,66110,Taulis,taulis,42.514617321429,2.617320625
26640,66,66204,66500,Taurinya,taurinya,42.559316896552,2.4401040229885
26641,66,66205,66720,Tautavel,tautavel,42.814741032258,2.7126480645161
26642,66,66206,66230,Le Tech,le tech,42.431345909091,2.5257730454545
26643,66,66207,66300,Terrats,terrats,42.602495447155,2.7612054471545
26644,66,66208,66200,Théza,theza,42.638743606557,2.9474096721312
26645,66,66209,66360,Thuès-Entre-Valls,thues entre valls,42.502577631579,2.2247344078947
26646,66,66210,66300,Thuir,thuir,42.642685185185,2.759574537037
26647,66,66211,66300,Tordères,torderes,42.564508449612,2.7610954263566
26648,66,66212,66440,Torreilles,torreilles,42.753382666667,3.0133256
26649,66,66213,66350,Toulouges,toulouges,42.673220879121,2.8243648351648
26650,66,66214,66300,Tresserre,tresserre,42.556292642857,2.8393981428571
