,,,,-COTE-D'OR,,,
6884,21,21157,21290,Chaugey,chaugey,47.750236021505,4.9486507526882
6885,21,21158,21610,Chaume-et-Courchamp,chaume et courchamp,47.583628648649,5.3647829189189
6886,21,21159,21520,La Chaume,la chaume,47.880951188119,4.8282200990099
6887,21,21160,21450,Chaume-lès-Baigneux,chaume les baigneux,47.635130172414,4.5762949137931
6888,21,21161,21400,Chaumont-le-Bois,chaumont le bois,47.938177211538,4.5898459615385
6889,21,21162,21700,Chaux,chaux,47.129932028985,4.9100114492754
6890,21,21163,21260,Chazeuil,chazeuil,47.551514698795,5.292273313253
6891,21,21164,21320,Chazilly,chazilly,47.181174191617,4.5767280838323
6892,21,21165,21400,Chemin-d'Aisey,chemin d aisey,47.73180779661,4.5574315254237
6893,21,21166,21300,Chenôve,chenove,47.294245,5.0110598076923
6894,21,21167,21310,Cheuge,cheuge,47.385800243902,5.3877960162602
6895,21,21168,21540,Chevannay,chevannay,47.387876153846,4.6498747692308
6896,21,21169,21220,Chevannes,chevannes,47.158679333333,4.8345005333333
6897,21,21170,21200,Chevigny-en-Valière,chevigny en valiere,46.963596993865,4.9790383435583
6898,21,21171,21800,Chevigny-Saint-Sauveur,chevigny saint sauveur,47.2983198,5.1326244
6899,21,21172,21820,Chivres,chivres,46.967639415584,5.0908157142857
6900,21,21173,21200,Chorey-les-Beaune,chorey les beaune,47.05185462963,4.8679342592593
6901,21,21175,21270,Cirey-lès-Pontailler,cirey les pontailler,47.305189917355,5.3093749586777
6902,21,21176,21320,Civry-en-Montagne,civry en montagne,47.290597820513,4.6069865384615
6903,21,21177,21390,Clamerey,clamerey,47.386965174129,4.4242343283582
6904,21,21178,21220,Clémencey,clemencey,47.255659150327,4.8843426143791
6905,21,21179,21490,Clénay,clenay,47.407514177215,5.1163394936709
6906,21,21180,21270,Cléry,clery,47.296064761905,5.5016483333333
6907,21,21181,21230,Clomot,clomot,47.192433070175,4.486804122807
6908,21,21182,21220,Collonges-lès-Bévy,collonges les bevy,47.170856666667,4.8415286363636
6909,21,21183,21110,Collonges-lès-Premières,collonges les premieres,47.225156344086,5.2924725806452
6910,21,21184,21360,Colombier,colombier,47.167752151899,4.6745717721519
6911,21,21185,21200,Combertault,combertault,46.9905405,4.9007153333333
6912,21,21186,21700,Comblanchien,comblanchien,47.101725945946,4.920625945946
6913,21,21187,21320,Commarin,commarin,47.247971827957,4.6518521505376
6914,21,21189,21250,Corberon,corberon,47.011072657343,5.0108703496504
6915,21,21190,21190,Corcelles-les-Arts,corcelles les arts,46.943118333333,4.7999752564103
6916,21,21191,21910,Corcelles-lès-Cîteaux,corcelles les citeaux,47.167724848485,5.0808065151515
6917,21,21192,21160,Corcelles-les-Monts,corcelles les monts,47.303358076923,4.9365164423077
