id,department_code,insee_code,zip_code,-AVEYRON,slug,gps_lat,gps_lng
4065,12,12001,12630,Agen-d'Aveyron,agen d aveyron,44.347551437908,2.6825055555556
4066,12,12002,12520,Aguessac,aguessac,44.163024161074,3.0664218120805
4067,12,12003,12220,Les Albres,les albres,44.538907486911,2.1796619371728
4068,12,12004,12300,Almont-les-Junies,almont les junies,44.597323272059,2.3079851470588
4069,12,12006,12430,Alrance,alrance,44.136019278689,2.6725192459016
4070,12,12007,12260,Ambeyrac,ambeyrac,44.493827534247,1.9349198630137
4071,12,12008,12390,Anglars-Saint-Félix,anglars saint felix,44.416077135135,2.2344098378378
4072,12,12009,12360,Arnac-sur-Dourdou,arnac sur dourdou,43.720437674419,2.9503568992248
4073,12,12010,12290,Arques,arques,44.319171413044,2.8057027173913
4074,12,12011,12120,Arvieu,arvieu,44.189847453626,2.6728602192243
4075,12,12012,12700,Asprières,asprieres,44.554237246964,2.1378929959514
4076,12,12013,12110,Aubin,aubin,44.530277746479,2.2562215211268
4077,12,12015,12120,Auriac-Lagast,auriac lagast,44.145999054878,2.6039121951219
4078,12,12016,12390,Auzits,auzits,44.499253895349,2.3234581104651
4079,12,12017,12430,Ayssènes,ayssenes,44.08921939759,2.76923
4080,12,12018,12260,Balaguier-d'Olt,balaguier d olt,44.517674315789,1.9807404210526
4081,12,12019,12380,Balaguier-sur-Rance,balaguier sur rance,43.894917126437,2.5797157471264
4082,12,12021,12200,Le Bas Ségala,le bas segala,44.324988,2.0077316
4083,12,12021,12240,Le Bas Ségala,le bas segala,44.3206168,2.2433487
4084,12,12022,12490,La Bastide-Pradines,la bastide pradines,44.010857522124,3.0575504424779
4085,12,12023,12550,La Bastide-Solages,la bastide solages,43.947820776699,2.5284954368932
4086,12,12024,12390,Belcastel,belcastel,44.399135076142,2.3326244670051
4087,12,12025,12370,Belmont-sur-Rance,belmont sur rance,43.824198566038,2.7490153584906
4088,12,12026,12310,Bertholène,bertholene,44.407777894737,2.7861276942356
4089,12,12027,12500,Bessuéjouls,bessuejouls,44.516375774059,2.7147227196653
4090,12,12028,12300,Boisse-Penchot,boisse penchot,44.57808469697,2.2113290909091
4091,12,12029,12270,Bor-et-Bar,bor et bar,44.200132896552,2.0846073103448
4092,12,12030,12300,Bouillac,bouillac,44.576734556213,2.1771469230769
4093,12,12031,12390,Bournazel,bournazel,44.458150933333,2.3022484
4094,12,12032,12160,Boussac,boussac,44.291682857143,2.376359047619
4095,12,12033,12340,Bozouls,bozouls,44.477878709677,2.7147326550869
4096,12,12034,12350,Brandonnet,brandonnet,44.381230903226,2.1356474193548
4097,12,12035,12550,Brasc,brasc,43.979247346154,2.5741178846154
4098,12,12036,12600,Brommat,brommat,44.824838770492,2.6970383333333
4099,12,12037,12480,Broquiès,broquies,44.022467867868,2.7046867867868
4100,12,12038,12480,Brousse-le-Château,brousse le chateau,44.004163508772,2.6388412280702
4101,12,12039,12360,Brusque,brusque,43.762808617886,2.9483164227642
4102,12,12041,12800,Cabanès,cabanes,44.189514797048,2.2904734317343
