,,,,-PYRENEES-ATLANTIQUES,,,
25583,64,64166,64220,Caro,caro,43.147435172414,-1.2208287586207
25584,64,64167,64160,Carrère,carrere,43.477899652174,-0.27816660869565
25585,64,64168,64270,Carresse-Cassaber,carresse cassaber,43.486675724138,-0.99556344827586
25586,64,64170,64270,Castagnède,castagnede,43.455881578947,-0.96710278195489
25587,64,64171,64170,Casteide-Cami,casteide cami,43.427348207547,-0.52995169811321
25588,64,64172,64370,Casteide-Candau,casteide candau,43.519825,-0.56059675925926
25589,64,64173,64460,Casteide-Doat,casteide doat,43.375257555556,-0.00812111111111
25590,64,64174,64460,Castéra-Loubix,castera loubix,43.405093508772,-0.03530868421053
25591,64,64175,64260,Castet,castet,43.055914111111,-0.37385555555556
25592,64,64176,64190,Castetbon,castetbon,43.399243098592,-0.79515685446009
25593,64,64177,64300,Castétis,castetis,43.476787272727,-0.71479336363636
25594,64,64178,64190,Castetnau-Camblong,castetnau camblong,43.322741818182,-0.80203495454545
25595,64,64179,64300,Castetner,castetner,43.439251597222,-0.73052583333333
25596,64,64180,64330,Castetpugon,castetpugon,43.562998175676,-0.22846567567568
25597,64,64181,64370,Castillon (Canton d'Arthez-de-Béarn),castillon canton d arthez de bearn,43.466979504132,-0.57790008264463
25598,64,64182,64350,Castillon (Canton de Lembeye),castillon canton de lembeye,43.483481926606,-0.13325935779817
25599,64,64183,64230,Caubios-Loos,caubios loos,43.417461056338,-0.40559063380282
25600,64,64184,64170,Cescau,cescau,43.413656269841,-0.50083738095238
25601,64,64185,64490,Cette-Eygun,cette eygun,42.935351417323,-0.55505645669291
25602,64,64186,64190,Charre,charre,43.308919097744,-0.85696842105263
25603,64,64187,64130,Charritte-de-Bas,charritte de bas,43.295813125,-0.89409446428571
25604,64,64188,64130,Chéraute,cheraute,43.23337959596,-0.82054545454545
25605,64,64189,64500,Ciboure,ciboure,43.379787894737,-1.6694930263158
25606,64,64190,64330,Claracq,claracq,43.50404,-0.29408942446043
25607,64,64191,64800,Coarraze,coarraze,43.170685,-0.20618429411765
25608,64,64192,64330,Conchez-de-Béarn,conchez de bearn,43.546776101695,-0.1683113559322
25609,64,64193,64350,Corbère-Abères,corbere aberes,43.476539130435,-0.0886492173913
25610,64,64194,64160,Coslédaà-Lube-Boast,cosledaa lube boast,43.452853625,-0.2286673125
25611,64,64195,64410,Coublucq,coublucq,43.537901284404,-0.36390330275229
