,,,,-DEUX-SEVRES,,,
31569,79,79190,79130,Neuvy-Bouin,neuvy bouin,46.678560765957,-0.44800744680851
31570,79,79191,79000,Niort,niort,46.325938939394,-0.46813598484848
31571,79,79195,79250,Nueil-les-Aubiers,nueil les aubiers,46.929760516605,-0.6044965498155
31572,79,79196,79100,Oiron,oiron,46.933109555556,-0.08820007407407
31573,79,79197,79390,Oroux,oroux,46.691163176471,-0.09721482352941
31574,79,79198,79170,Paizay-le-Chapt,paizay le chapt,46.071511650485,-0.1802940776699
31575,79,79199,79500,Paizay-le-Tort,paizay le tort,46.168202894737,-0.17139815789474
31576,79,79200,79220,Pamplie,pamplie,46.522613459119,-0.43952566037736
31577,79,79201,79800,Pamproux,pamproux,46.407344833333,-0.03819133333333
31578,79,79202,79200,Parthenay,parthenay,46.646957795699,-0.22984413978495
31579,79,79203,79100,Pas-de-Jeu,pas de jeu,46.981857972973,-0.05606351351351
31580,79,79204,79170,Périgné,perigne,46.184283641975,-0.24293592592593
31581,79,79205,79190,Pers,pers,46.22756902439,0.06890024390244
31582,79,79207,79700,La Petite-Boissière,la petite boissiere,46.8841306,-0.73531588
31583,79,79208,79200,La Peyratte,la peyratte,46.663645150376,-0.15850210526316
31584,79,79209,79330,Pierrefitte,pierrefitte,46.863947734375,-0.305301015625
31585,79,79210,79140,Le Pin,le pin,46.88193125,-0.65578774390244
31586,79,79211,79110,Pioussay,pioussay,46.081927040816,0.03717642857143
31587,79,79212,79190,Pliboux,pliboux,46.167610571429,0.1187300952381
31588,79,79213,79200,Pompaire,pompaire,46.612586919431,-0.24090644549763
31589,79,79214,79500,Pouffonds,pouffonds,46.201581086957,-0.12210217391304
31590,79,79215,79130,Pougne-Hérisson,pougne herisson,46.661671590909,-0.41484647727273
31591,79,79216,79230,Prahecq,prahecq,46.26354969697,-0.34436036363636
31592,79,79217,79370,Prailles,prailles,46.312896157635,-0.2048724137931
31593,79,79218,79390,Pressigny,pressigny,46.7530434375,-0.08702489583333
31594,79,79219,79210,Priaires,priaires,46.150373866667,-0.6046844
31595,79,79220,79210,Prin-Deyrançon,prin deyrancon,46.218358625954,-0.64854114503817
31596,79,79222,79320,Pugny,pugny,46.718514580153,-0.52375450381679
31597,79,79223,79160,Puihardy,puihardy,46.525015208333,-0.54299916666667
31598,79,79225,79420,Reffannes,reffannes,46.542103134328,-0.18165395522388
31599,79,79226,79130,Le Retail,le retail,46.558723205128,-0.44046128205128
31600,79,79229,79270,La Rochénard,la rochenard,46.19996625,-0.57659659090909
31601,79,79230,79120,Rom,rom,46.29803352381,0.12567557142857
31602,79,79231,79260,Romans,romans,46.357283355705,-0.22488208053691
31603,79,79235,79700,Saint-Amand-sur-Sèvre,saint amand sur sevre,46.876384601227,-0.77993174846626
31604,79,79236,79380,Saint-André-sur-Sèvre,saint andre sur sevre,46.778726048632,-0.69500158054711
31605,79,79238,79300,Saint-Aubin-du-Plain,saint aubin du plain,46.920598832117,-0.47658124087591
31606,79,79239,79450,Saint-Aubin-le-Cloud,saint aubin le cloud,46.660247134328,-0.3383763880597
31607,79,79240,79370,Sainte-Blandine,sainte blandine,46.249100679612,-0.27521368932039
31608,79,79241,79220,Saint-Christophe-sur-Roc,saint christophe sur roc,46.454069470588,-0.35555794117647
31609,79,79242,79150,Voulmentin,voulmentin,46.929757493404,-0.51953704485488
31610,79,79243,79120,Saint-Coutant,saint coutant,46.220997083333,0.00444152777778
31611,79,79244,79100,Saint-Cyr-la-Lande,saint cyr la lande,47.051167010309,-0.15181690721649
31612,79,79246,79800,Sainte-Eanne,sainte eanne,46.389460684932,-0.13481068493151
31613,79,79249,79410,Saint-Gelais,saint gelais,46.376444421769,-0.38763027210884
31614,79,79250,79330,Sainte-Gemme,sainte gemme,46.896476842105,-0.28873894736842
31615,79,79251,79500,Saint-Génard,saint genard,46.188728970588,-0.13190102941176
31616,79,79252,79600,Saint-Généroux,saint generoux,46.881178714286,-0.14881614285714
31617,79,79253,79400,Saint-Georges-de-Noisné,saint georges de noisne,46.477138146965,-0.239886485623
31618,79,79254,79210,Saint-Georges-de-Rex,saint georges de rex,46.268964108527,-0.6602688372093
31619,79,79255,79200,Saint-Germain-de-Longue-Chaume,saint germain de longue chaume,46.719095307692,-0.34454223076923
31620,79,79256,79340,Saint-Germier,saint germier,46.46430192,-0.04213832
31621,79,79257,79210,Saint-Hilaire-la-Palud,saint hilaire la palud,46.266833548387,-0.71121251612903
31622,79,79258,79100,Saint-Jacques-de-Thouars,saint jacques de thouars,46.967786086957,-0.23510275362319
31623,79,79259,79100,Saint-Jean-de-Thouars,saint jean de thouars,46.958520571429,-0.216617
31624,79,79260,79600,Saint-Jouin-de-Marnes,saint jouin de marnes,46.882783208955,-0.05108567164179
31625,79,79261,79380,Saint-Jouin-de-Milly,saint jouin de milly,46.760837303922,-0.61311558823529
31626,79,79263,79160,Saint-Laurs,saint laurs,46.526702201835,-0.58197733944954
31627,79,79264,79500,Saint-Léger-de-la-Martinière,saint leger de la martiniere,46.244738018433,-0.11556387096774
31628,79,79265,79100,Saint-Léger-de-Montbrun,saint leger de montbrun,46.989622734375,-0.136025234375
31629,79,79267,79420,Saint-Lin,saint lin,46.532043536585,-0.23175615853659
31630,79,79268,79600,Saint-Loup-Lamairé,saint loup lamaire,46.768102676056,-0.15566610328638
31631,79,79269,79160,Saint-Maixent-de-Beugné,saint maixent de beugne,46.51577921466,-0.61774607329843
31632,79,79270,79400,Saint-Maixent-l'École,saint maixent l ecole,46.410813608247,-0.20571835051546
31633,79,79271,79310,Saint-Marc-la-Lande,saint marc la lande,46.526277129187,-0.35876291866029
31634,79,79273,79230,Saint-Martin-de-Bernegoue,saint martin de bernegoue,46.239775276074,-0.35728527607362
31635,79,79274,79100,Saint-Martin-de-Mâcon,saint martin de macon,47.023147623762,-0.1100400990099
31636,79,79276,79400,Saint-Martin-de-Saint-Maixent,saint martin de saint maixent,46.389441609756,-0.20133829268293
31637,79,79277,79290,Saint-Martin-de-Sanzay,saint martin de sanzay,47.073008617021,-0.20297058510638
31638,79,79278,79420,Saint-Martin-du-Fouilloux,saint martin du fouilloux,46.590226545455,-0.12768527272727
31639,79,79279,79500,Saint-Martin-lès-Melle,saint martin les melle,46.222491098901,-0.16770373626374
31640,79,79280,79150,Saint Maurice Étusson,saint maurice etusson,47.033218469657,-0.52690089709763
31641,79,79281,79410,Saint-Maxire,saint maxire,46.396409811321,-0.4772141509434
31642,79,79282,79370,Saint-Médard,saint medard,46.20996037037,-0.27348314814815
31643,79,79283,79260,Sainte-Néomaye,sainte neomaye,46.366467027027,-0.25774558558559
31644,79,79284,79220,Sainte-Ouenne,sainte ouenne,46.443555352113,-0.44476070422535
31645,79,79285,79310,Saint-Pardoux,saint pardoux,46.572290501792,-0.31830569892473
31646,79,79286,79240,Saint-Paul-en-Gâtine,saint paul en gatine,46.638071111111,-0.61990549707602
31647,79,79289,79700,Saint-Pierre-des-Échaubrognes,saint pierre des echaubrognes,46.985166551724,-0.7478475
31648,79,79290,79160,Saint-Pompain,saint pompain,46.432442147239,-0.60490895705521
31649,79,79292,79100,Sainte-Radegonde,sainte radegonde,46.987858,-0.25067258823529
31650,79,79293,79410,Saint-Rémy,saint remy,46.371438888889,-0.51643011111111
31651,79,79294,79230,Saint-Romans-des-Champs,saint romans des champs,46.202642545455,-0.34653181818182
31652,79,79295,79500,Saint-Romans-lès-Melle,saint romans les melle,46.201800619469,-0.19267584070796
31653,79,79297,79120,Sainte-Soline,sainte soline,46.255467295082,0.04653540983607
31654,79,79298,79270,Saint-Symphorien,saint symphorien,46.268932881356,-0.48428322033898
31655,79,79299,79330,Saint-Varent,saint varent,46.88607712963,-0.2302812962963
31656,79,79300,79100,Sainte-Verge,sainte verge,47.014895522388,-0.22761865671642
31657,79,79301,79500,Saint-Vincent-la-Châtre,saint vincent la chatre,46.214312551724,-0.04059772413793
31658,79,79302,79400,Saivres,saivres,46.441214299065,-0.23932331775701
31659,79,79303,79800,Salles,salles,46.386833793103,-0.09882206896552
31660,79,79304,79270,Sansais,sansais,46.2905668,-0.594646
31661,79,79306,79200,Saurais,saurais,46.625819333333,-0.13145285714286
31662,79,79307,79190,Sauzé-Vaussais,sauze vaussais,46.122821626016,0.10934317073171
31663,79,79308,79000,Sciecq,sciecq,46.371441509434,-0.47241566037736
31664,79,79309,79240,Scillé,scille,46.600627067308,-0.55640918269231
31665,79,79310,79170,Secondigné-sur-Belle,secondigne sur belle,46.163417362637,-0.31425483516484
31666,79,79311,79130,Secondigny,secondigny,46.608069923077,-0.43418223076923
31667,79,79312,79170,Séligné,seligne,46.137777961783,-0.28077229299363
31668,79,79313,79120,Sepvret,sepvret,46.292027307692,-0.09324801282051
31669,79,79314,79110,Sompt,sompt,46.161525869565,-0.09530554347826
31670,79,79316,79800,Soudan,soudan,46.429900326797,-0.10011581699346
31671,79,79318,79310,Soutiers,soutiers,46.591494460784,-0.26337642156863
31672,79,79319,79800,Souvigné,souvigne,46.35890448,-0.16948516
31673,79,79320,79220,Surin,surin,46.474725220126,-0.45757201257862
31674,79,79321,79100,Taizé-Maulais,taize maulais,46.933567567568,-0.13778666666667
31675,79,79322,79200,Le Tallud,le tallud,46.62925876494,-0.28848984063745
