,,,,-LOIR-ET-CHER,,,
15856,41,41170,41120,Ouchamps,ouchamps,47.47653295082,1.3201842622951
15857,41,41171,41290,Oucques La Nouvelle,oucques la nouvelle,47.814894122137,1.2655593129771
15858,41,41172,41160,Ouzouer-le-Doyen,ouzouer le doyen,47.947141707317,1.3424195121951
15859,41,41173,41160,Beauce la Romaine,beauce la romaine,47.562815,1.6029739
15860,41,41173,41240,Beauce la Romaine,beauce la romaine,47.9220625,1.5202489
15861,41,41174,41100,Périgny,perigny,47.7561758,1.1477572
15862,41,41175,41100,Pezou,pezou,47.867746129032,1.1468398709677
15863,41,41176,41300,Pierrefitte-sur-Sauldre,pierrefitte sur sauldre,47.515011231231,2.1163641741742
15864,41,41177,41170,Le Plessis-Dorin,le plessis dorin,48.081022428571,0.85937885714286
15865,41,41178,41370,Le Plessis-l'Échelle,le plessis l echelle,47.807970098039,1.4243026470588
15866,41,41179,41270,Le Poislay,le poislay,48.072172736842,1.0713669473684
15867,41,41180,41400,Pontlevoy,pontlevoy,47.396880106383,1.2344940425532
15868,41,41181,41110,Pouillé,pouille,47.301549385965,1.2759890350877
15869,41,41182,41190,Pray,pray,47.684332616822,1.1073694392523
15870,41,41184,41310,Prunay-Cassereau,prunay cassereau,47.686541104651,0.91415930232558
15871,41,41185,41200,Pruniers-en-Sologne,pruniers en sologne,47.327869554656,1.6555762348178
15872,41,41186,41160,Rahart,rahart,47.868221770833,1.0593998958333
15873,41,41187,41100,Renay,renay,47.836464965517,1.1717146896552
15874,41,41188,41290,Rhodon,rhodon,47.755331578947,1.2669398245614
15875,41,41189,41150,Rilly-sur-Loire,rilly sur loire,47.458505,1.1461426470588
15876,41,41190,41100,Rocé,roce,47.8172475,1.15387075
15877,41,41191,41370,Roches,roches,47.799100877193,1.4506766666667
15878,41,41192,41800,Les Roches-l'Évêque,les roches l eveque,47.785809152542,0.88910813559322
15879,41,41193,41270,Romilly,romilly,47.950592871287,1.0290633663366
15880,41,41194,41200,Romorantin-Lanthenay,romorantin lanthenay,47.377176,1.7493945405405
15881,41,41195,41230,Rougeou,rougeou,47.358228095238,1.5419035714286
15882,41,41196,41270,Ruan-sur-Egvonne,ruan sur egvonne,48.012443305785,1.1347380991736
15883,41,41198,41110,Saint-Aignan,saint aignan,47.253910689655,1.3480927586207
15884,41,41199,41310,Saint-Amand-Longpré,saint amand longpre,47.672238235294,0.98238573529412
15885,41,41200,41100,Sainte-Anne,sainte anne,47.758751692308,1.0808521538461
15886,41,41201,41800,Saint-Arnoult,saint arnoult,47.706209767442,0.87091488372093
15887,41,41203,41330,Saint-Bohaire,saint bohaire,47.647540827068,1.2420055639098
15888,41,41204,41350,Saint-Claude-de-Diray,saint claude de diray,47.619456923077,1.4193063461538
15889,41,41205,41190,Saint-Cyr-du-Gault,saint cyr du gault,47.62003875,1.0283059375
15890,41,41206,41000,Saint-Denis-sur-Loire,saint denis sur loire,47.633728918919,1.3716308108108
15891,41,41207,41500,Saint-Dyé-sur-Loire,saint dye sur loire,47.649904255319,1.4929561702128
15892,41,41208,41190,Saint-Étienne-des-Guérets,saint etienne des guerets,47.601647752809,1.0662339325843
15893,41,41209,41100,Saint-Firmin-des-Prés,saint firmin des pres,47.839967433155,1.1072997860963
15894,41,41211,41400,Saint-Georges-sur-Cher,saint georges sur cher,47.306529892473,1.1407643010753
15895,41,41212,41350,Saint-Gervais-la-Forêt,saint gervais la foret,47.567169047619,1.3522719047619
15896,41,41213,41310,Saint-Gourgon,saint gourgon,47.659480542636,1.0099082170543
15897,41,41214,41160,Saint-Hilaire-la-Gravelle,saint hilaire la gravelle,47.931783589744,1.1989393589744
15898,41,41215,41800,Saint-Jacques-des-Guérets,saint jacques des guerets,47.766317954545,0.79104977272727
15899,41,41216,41160,Saint-Jean-Froidmentel,saint jean froidmentel,47.962797925926,1.2130027407407
15900,41,41217,41400,Saint-Julien-de-Chédon,saint julien de chedon,47.316363645833,1.2066836458333
15901,41,41218,41320,Saint-Julien-sur-Cher,saint julien sur cher,47.271883466667,1.7819310666667
15902,41,41219,41240,Saint-Laurent-des-Bois,saint laurent des bois,47.866463461538,1.4652926923077
15903,41,41220,41220,Saint-Laurent-Nouan,saint laurent nouan,47.706829515152,1.6267451515151
15904,41,41221,41370,Saint-Léonard-en-Beauce,saint leonard en beauce,47.826024333333,1.3705748333333
15905,41,41222,41320,Saint-Loup,saint loup,47.262958522727,1.8306495454545
15906,41,41223,41190,Saint-Lubin-en-Vergonnois,saint lubin en vergonnois,47.6152985,1.219407
15907,41,41224,41170,Saint-Marc-du-Cor,saint marc du cor,47.968381190476,0.9691619047619
15908,41,41225,41800,Saint-Martin-des-Bois,saint martin des bois,47.729046545455,0.82117115151515
15909,41,41226,41100,Saint-Ouen,saint ouen,47.824237115385,1.0710475
15910,41,41228,41800,Saint-Rimay,saint rimay,47.768445661765,0.91347014705882
15911,41,41229,41140,Saint-Romain-sur-Cher,saint romain sur cher,47.316543982301,1.3804318584071
15912,41,41230,41000,Saint-Sulpice-de-Pommeray,saint sulpice de pommeray,47.606183764706,1.2591721176471
15913,41,41231,41210,Saint-Viâtre,saint viatre,47.530210874317,1.9285309836066
15914,41,41232,41300,Salbris,salbris,47.432695785124,2.0406295867769
15915,41,41233,41120,Sambin,sambin,47.434427662338,1.2769782467533
15916,41,41234,41190,Santenay,santenay,47.559639240506,1.1020089240506
15917,41,41235,41170,Sargé-sur-Braye,sarge sur braye,47.925979511278,0.85873695488722
15918,41,41236,41310,Sasnières,sasnieres,47.724688468468,0.92448963963964
15919,41,41237,41700,Sassay,sassay,47.397005333333,1.4489568
15920,41,41238,41360,Savigny-sur-Braye,savigny sur braye,47.877624740061,0.8302729969419
15921,41,41239,41110,Seigy,seigy,47.25498719697,1.3769936363636
15922,41,41241,41300,Selles-Saint-Denis,selles saint denis,47.382164971429,1.9106482857143
15923,41,41242,41130,Selles-sur-Cher,selles sur cher,47.283589542484,1.5718751633987
15924,41,41243,41100,Selommes,selommes,47.77189,1.2087030578512
15925,41,41245,41500,Séris,seris,47.757413392857,1.5238030357143
15926,41,41246,41120,Seur,seur,47.509226617647,1.3372463235294
15927,41,41247,41230,Soings-en-Sologne,soings en sologne,47.409529908257,1.5358729357798
15928,41,41248,41170,Couëtron-au-Perche,couetron au perche,48.058791433823,0.89399259191176
15929,41,41249,41300,Souesmes,souesmes,47.475519313433,2.1433824179105
15930,41,41250,41800,Sougé,souge,47.78204527027,0.7211372972973
15931,41,41251,41600,Souvigny-en-Sologne,souvigny en sologne,47.64883284264,2.1714287817259
15932,41,41252,41500,Suèvres,suevres,47.683520267857,1.470190625
15933,41,41253,41370,Talcy,talcy,47.772502083333,1.4399229166667
15934,41,41254,41170,Le Temple,le temple,47.929438645833,0.93464041666667
15935,41,41255,41800,Ternay,ternay,47.734582377049,0.77260360655738
15936,41,41256,41300,Theillay,theillay,47.319734966887,2.0187622516556
15937,41,41257,41400,Thenay,thenay,47.391309541985,1.3022618320611
15938,41,41258,41140,Thésée,thesee,47.324000555556,1.3272031481482
15939,41,41259,41100,Thoré-la-Rochette,thore la rochette,47.78096136,0.97382352
15940,41,41260,41220,Thoury,thoury,47.618867840909,1.6103456818182
15941,41,41261,41190,Tourailles,tourailles,47.68740106383,1.1560474468085
15942,41,41262,41250,Tour-en-Sologne,tour en sologne,47.540433692308,1.5094299230769
15943,41,41263,41800,Tréhet,trehet,47.738792,0.63108685714286
15944,41,41265,41800,Troo,troo,47.790869489796,0.78356428571429
15945,41,41266,41120,Valaire,valaire,47.477995679012,1.2622230864198
15946,41,41267,41400,Vallières-les-Grandes,vallieres les grandes,47.412434974093,1.1509333160622
15947,41,41268,41230,Veilleins,veilleins,47.425773225806,1.6883408387097
15948,41,41269,41100,Vendôme,vendome,47.797142139535,1.0657239534884
15949,41,41271,41230,Vernou-en-Sologne,vernou en sologne,47.493860825688,1.6922366513761
15950,41,41273,41290,Vievy-le-Rayé,vievy le raye,47.874898468085,1.2979772765958
15951,41,41274,41800,Villavard,villavard,47.754506576577,0.9056336036036
15952,41,41275,41160,La Ville-aux-Clercs,la ville aux clercs,47.920751461538,1.0911382307692
15953,41,41276,41000,Villebarou,villebarou,47.626878235294,1.3190747058823
15954,41,41277,41270,Villebout,villebout,47.983915252525,1.1714449494949
15955,41,41278,41310,Villechauve,villechauve,47.647435266272,0.94550408284024
15956,41,41279,41800,Villedieu-le-Château,villedieu le chateau,47.710426067961,0.6363240776699
15957,41,41280,41200,Villefranche-sur-Cher,villefranche sur cher,47.303707184466,1.7589936893204
15958,41,41281,41330,Villefrancœur,villefrancoeur,47.698186941176,1.2044677647059
15959,41,41282,41200,Villeherviers,villeherviers,47.362915041322,1.8022885123967
15960,41,41283,41100,Villemardy,villemardy,47.724482142857,1.1818698571429
15961,41,41284,41290,Villeneuve-Frouville,villeneuve frouville,47.785873421053,1.3133810526316
15962,41,41285,41220,Villeny,villeny,47.613517264957,1.7465160683761
15963,41,41286,41310,Villeporcher,villeporcher,47.646497927928,0.9868827027027
15964,41,41287,41100,Villerable,villerable,47.758761160714,1.0413376785714
15965,41,41288,41000,Villerbon,villerbon,47.664292758621,1.3525531034483
15966,41,41289,41240,Villermain,villermain,47.857769158878,1.5404257943925
15967,41,41290,41100,Villeromain,villeromain,47.720218076923,1.1470234615385
15968,41,41291,41100,Villetrun,villetrun,47.787695217391,1.1645480434783
15969,41,41292,41500,Villexanton,villexanton,47.740091956522,1.4526604347826
15970,41,41293,41100,Villiersfaux,villiersfaux,47.74600012987,0.98219623376623
15971,41,41294,41100,Villiers-sur-Loir,villiers sur loir,47.809878804348,0.99802315217391
15972,41,41295,41350,Vineuil,vineuil,47.590409512195,1.3927329268293
15973,41,41296,41600,Vouzon,vouzon,47.641842508961,2.0308700716846
15974,41,41297,41600,Yvoy-le-Marron,yvoy le marron,47.644430864198,1.858390781893
