id,department_code,insee_code,zip_code,-SEINE-ET-MARNE,slug,gps_lat,gps_lng
31046,77,77426,77720,Saint-Méry,saint mery,48.569292575758,2.8374043939394
31047,77,77427,77410,Saint-Mesmes,saint mesmes,48.986149292929,2.6998337373737
31048,77,77428,77720,Saint-Ouen-en-Brie,saint ouen en brie,48.565774383562,2.9224601369863
31049,77,77429,77750,Saint-Ouen-sur-Morin,saint ouen sur morin,48.90422375,3.20432925
31050,77,77430,77178,Saint-Pathus,saint pathus,49.074257384615,2.7846013846154
31051,77,77431,77140,Saint-Pierre-lès-Nemours,saint pierre les nemours,48.260372147651,2.6655727516778
31052,77,77432,77320,Saint-Rémy-la-Vanne,saint remy la vanne,48.811948939394,3.241809469697
31053,77,77433,77120,Saints,saints,48.757589148936,3.0612573758865
31054,77,77434,77480,Saint-Sauveur-lès-Bray,saint sauveur les bray,48.437689927536,3.2050573913043
31055,77,77435,77930,Saint-Sauveur-sur-École,saint sauveur sur ecole,48.501857118644,2.5332808474576
31056,77,77436,77169,Saint-Siméon,saint simeon,48.811230814815,3.1988461481481
31057,77,77437,77165,Saint-Soupplets,saint soupplets,49.0359484,2.8013044
31058,77,77438,77400,Saint-Thibault-des-Vignes,saint thibault des vignes,48.861903571429,2.6776571428571
31059,77,77439,77148,Salins,salins,48.42150527027,3.0277360810811
31060,77,77440,77260,Sammeron,sammeron,48.93833225,3.07797725
31061,77,77441,77920,Samois-sur-Seine,samois sur seine,48.453495531915,2.7504564893617
31062,77,77442,77210,Samoreau,samoreau,48.420641774194,2.7784675806452
31063,77,77443,77580,Sancy,sancy,48.883836842105,2.9610773684211
31064,77,77444,77320,Sancy-lès-Provins,sancy les provins,48.710366597938,3.3940862886598
31065,77,77445,77176,Savigny-le-Temple,savigny le temple,48.580787282609,2.5728197826087
31066,77,77446,77650,Savins,savins,48.508502391304,3.2076607608696
31067,77,77447,77240,Seine-Port,seine port,48.554642391304,2.5557443478261
31068,77,77448,77260,Sept-Sorts,sept sorts,48.939351904762,3.1066595238095
31069,77,77449,77700,Serris,serris,48.846391607143,2.7874669642857
31070,77,77450,77170,Servon,servon,48.715735393258,2.5910979775281
31071,77,77451,77640,Signy-Signets,signy signets,48.915998644068,3.0641883050848
31072,77,77452,77520,Sigy,sigy,48.474641265823,3.16822
31073,77,77453,77115,Sivry-Courtry,sivry courtry,48.533630202703,2.7620352702703
31074,77,77454,77520,Sognolles-en-Montois,sognolles en montois,48.518456944444,3.1517303703704
31075,77,77455,77111,Soignolles-en-Brie,soignolles en brie,48.646234861111,2.7077433333333
31076,77,77456,77650,Soisy-Bouy,soisy bouy,48.510812967033,3.2984907692308
31077,77,77457,77111,Solers,solers,48.657246486486,2.7255874774775
31078,77,77458,77460,Souppes-sur-Loing,souppes sur loing,48.185400854701,2.7441070940171
31079,77,77459,77171,Sourdun,sourdun,48.543764864865,3.3532488288288
31080,77,77460,77440,Tancrou,tancrou,49.004713854167,3.0786217708333
31081,77,77461,77520,Thénisy,thenisy,48.489641632653,3.1784386734694
31082,77,77462,77230,Thieux,thieux,49.000798735632,2.670024137931
31083,77,77463,77810,Thomery,thomery,48.405417358491,2.7766218867925
31084,77,77464,77400,Thorigny-sur-Marne,thorigny sur marne,48.894717313433,2.7117341791045
31085,77,77465,77940,Thoury-Férottes,thoury ferottes,48.30327969697,2.9404370454546
31086,77,77466,77163,Tigeaux,tigeaux,48.827461805556,2.8991223611111
