,,,,-ILE-ET-VILAINE,,,
13597,35,35141,35450,Landavran,landavran,48.162894939759,-1.2865872891566
13598,35,35142,35133,Landéan,landean,48.414470956522,-1.1526255652174
13599,35,35143,35360,Landujan,landujan,48.249312906977,-2.0077473837209
13600,35,35144,35850,Langan,langan,48.23707,-1.8480642105263
13601,35,35145,35660,Langon,langon,47.735358224852,-1.8772520118343
13602,35,35146,35630,Langouet,langouet,48.253633272727,-1.8142842727273
13603,35,35147,35720,Lanhélin,lanhelin,48.455394,-1.8303495454545
13604,35,35148,35270,Lanrigan,lanrigan,48.390088602151,-1.6880333333333
13605,35,35149,35580,Lassy,lassy,47.970143588235,-1.8681177647059
13606,35,35150,35133,Lécousse,lecousse,48.357265277778,-1.21678125
13607,35,35151,35550,Lieuron,lieuron,47.852129030303,-1.9356218787879
13608,35,35152,35340,Liffré,liffre,48.210113571429,-1.4824009586466
13609,35,35153,35111,Lillemer,lillemer,48.5687575,-1.85731625
13610,35,35154,35450,Livré-sur-Changeon,livre sur changeon,48.219154075235,-1.3432592476489
13611,35,35155,35550,Lohéac,loheac,47.876810697674,-1.8898946511628
13612,35,35156,35190,Longaulnay,longaulnay,48.309141559633,-1.9371183486238
13613,35,35157,35133,Le Loroux,le loroux,48.402667809524,-1.0812508095238
13614,35,35159,35270,Lourmais,lourmais,48.441158623853,-1.7305297247706
13615,35,35160,35330,Loutehel,loutehel,47.936800731707,-2.0826772560976
13616,35,35161,35680,Louvigné-de-Bais,louvigne de bais,48.049801390728,-1.3365207284768
13617,35,35162,35420,Louvigné-du-Désert,louvigne du desert,48.482510841346,-1.1196090144231
13618,35,35163,35133,Luitré,luitre,48.292728174905,-1.1368731558935
13619,35,35164,35560,Marcillé-Raoul,marcille raoul,48.378251397059,-1.6128541176471
13620,35,35165,35240,Marcillé-Robert,marcille robert,47.95227203125,-1.35109640625
13621,35,35166,35220,Marpiré,marpire,48.145937076923,-1.3519006153846
13622,35,35167,35640,Martigné-Ferchaud,martigne ferchaud,47.834608700696,-1.328877099768
13623,35,35168,35330,Val d'Anast,val d anast,47.892308685714,-1.9924958666667
13624,35,35169,35380,Maxent,maxent,47.983719510204,-2.0188738367347
13625,35,35170,35450,Mecé,mece,48.235854976744,-1.288901627907
13626,35,35171,35360,Médréac,medreac,48.260295636364,-2.0602937818182
13627,35,35172,35270,Meillac,meillac,48.416811971831,-1.8249318591549
13628,35,35173,35520,Melesse,melesse,48.220676025105,-1.6951133054393
13629,35,35174,35420,Mellé,melle,48.486567704918,-1.1884595901639
13630,35,35175,35330,Mernel,mernel,47.899915874126,-1.9536138461538
13631,35,35176,35480,Guipry-Messac,guipry messac,47.825267527273,-1.8275022181818
13632,35,35177,35520,La Mézière,la meziere,48.211527758621,-1.7560026293103
13633,35,35178,35140,Mézières-sur-Couesnon,mezieres sur couesnon,48.296602267442,-1.4261363953488
13634,35,35179,35540,Miniac-Morvan,miniac morvan,48.516641886792,-1.8893541132075
13635,35,35180,35190,Miniac-sous-Bécherel,miniac sous becherel,48.279991288344,-1.9242924539877
13636,35,35181,35870,Le Minihic-sur-Rance,le minihic sur rance,48.575621811024,-2.0113928346457
13637,35,35183,35370,Mondevert,mondevert,48.086746633663,-1.0891743564356
13638,35,35184,35360,Montauban-de-Bretagne,montauban de bretagne,48.200310431034,-2.0563651149425
13639,35,35185,35210,Montautour,montautour,48.205202752809,-1.1161814044944
13640,35,35186,35120,Mont-Dol,mont dol,48.575028703704,-1.7580355555556
13641,35,35187,35160,Monterfil,monterfil,48.061887709091,-1.9846797454545
13642,35,35188,35160,Montfort-sur-Meu,montfort sur meu,48.127503298969,-1.9604620618557
13643,35,35189,35760,Montgermont,montgermont,48.154878674699,-1.7200006024096
13644,35,35190,35420,Monthault,monthault,48.51584863354,-1.1750218012422
13645,35,35191,35460,Les Portes du Coglais,les portes du coglais,48.447890443459,-1.3442623946785
13646,35,35192,35210,Montreuil-des-Landes,montreuil des landes,48.250928739496,-1.2250137815126
13647,35,35193,35520,Montreuil-le-Gast,montreuil le gast,48.244221192053,-1.7178054966887
13648,35,35194,35500,Montreuil-sous-Pérouse,montreuil sous perouse,48.154478661088,-1.2396544769875
13649,35,35195,35440,Montreuil-sur-Ille,montreuil sur ille,48.306909763314,-1.667073964497
13650,35,35196,35310,Mordelles,mordelles,48.086753606061,-1.8412973333333
13651,35,35197,35250,Mouazé,mouaze,48.220841807229,-1.6045140963855
13652,35,35198,35680,Moulins,moulins,48.010276489362,-1.362435212766
13653,35,35199,35130,Moussé,mousse,47.919143148148,-1.2789042592593
13654,35,35200,35130,Moutiers,moutiers,47.973459407666,-1.2084290592334
13655,35,35201,35290,Muel,muel,48.119904460784,-2.158549754902
13656,35,35202,35470,La Noë-Blanche,la noe blanche,47.788320300752,-1.7399086466165
13657,35,35203,35137,La Nouaye,la nouaye,48.166642235294,-1.9745755294118
13658,35,35204,35410,Nouvoitou,nouvoitou,48.03197532967,-1.5570886813187
13659,35,35205,35560,Noyal-sous-Bazouges,noyal sous bazouges,48.415169303483,-1.6267097512438
13660,35,35206,35230,Noyal-Châtillon-sur-Seiche,noyal chatillon sur seiche,48.051573113553,-1.6570696336996
13661,35,35207,35530,Noyal-sur-Vilaine,noyal sur vilaine,48.095265095057,-1.5063823193916
13662,35,35208,35230,Orgères,orgeres,47.984970638298,-1.6646064361702
13663,35,35210,35740,Pacé,pace,48.151383853503,-1.7822590127389
13664,35,35211,35380,Paimpont,paimpont,48.024971050584,-2.1682743190661
13665,35,35212,35320,Pancé,pance,47.884215734597,-1.6405950236967
13666,35,35214,35210,Parcé,parce,48.274412462312,-1.1942287437186
13667,35,35215,35133,Parigné,parigne,48.424764545455,-1.1931496428571
13668,35,35216,35850,Parthenay-de-Bretagne,parthenay de bretagne,48.188205806452,-1.8289585483871
13669,35,35217,35370,Le Pertre,le pertre,48.022627462687,-1.0604798258707
13670,35,35218,35320,Le Petit-Fougeray,le petit fougeray,47.928162439024,-1.6095302439024
13671,35,35219,35550,Pipriac,pipriac,47.817796040609,-1.9453203045685
13672,35,35220,35150,Piré-sur-Seiche,pire sur seiche,48.01032057377,-1.4227143442623
13673,35,35221,35470,Pléchâtel,plechatel,47.872459577465,-1.7208628638498
13674,35,35222,35610,Pleine-Fougères,pleine fougeres,48.526784246032,-1.5756427380952
