,,,,-LOT-ET-GARONNE,,,
17552,47,47130,47400,Lagruère,lagruere,44.394021081081,0.26137689189189
17553,47,47131,47180,Lagupie,lagupie,44.569390666667,0.11160166666667
17554,47,47132,47330,Lalandusse,lalandusse,44.660891036269,0.52029823834197
17555,47,47133,47310,Lamontjoie,lamontjoie,44.070614906832,0.53230695652174
17556,47,47134,47170,Lannes,lannes,44.022553272171,0.28518996941896
17557,47,47135,47260,Laparade,laparade,44.407277651515,0.43990522727273
17558,47,47136,47800,Laperche,laperche,44.547729685039,0.41619960629921
17559,47,47137,47310,Laplume,laplume,44.119631354167,0.5357528125
17560,47,47138,47340,Laroque-Timbaut,laroque timbaut,44.277209299065,0.75302495327103
17561,47,47139,47600,Lasserre,lasserre,44.078116869565,0.38197904347826
17562,47,47140,47360,Laugnac,laugnac,44.300483055556,0.608052
17563,47,47141,47150,Laussou,laussou,44.572982451613,0.78329703225806
17564,47,47142,47410,Lauzun,lauzun,44.646820149254,0.47693996268657
17565,47,47143,47230,Lavardac,lavardac,44.18450328,0.304658
17566,47,47144,47800,Lavergne,lavergne,44.585564264706,0.41548720588235
17567,47,47145,47390,Layrac,layrac,44.115607933884,0.65480640495868
17568,47,47146,47300,Lédat,ledat,44.449609877301,0.66816098159509
17569,47,47147,47120,Lévignac-de-Guyenne,levignac de guyenne,44.622406146341,0.20014717073171
17570,47,47148,47700,Leyritz-Moncassin,leyritz moncassin,44.335093515152,0.17855066666667
17571,47,47150,47200,Longueville,longueville,44.465494479167,0.21772072916667
17572,47,47151,47120,Loubès-Bernac,loubes bernac,44.736876334842,0.31138574660633
17573,47,47152,47290,Lougratte,lougratte,44.593683526012,0.62679323699422
17574,47,47154,47360,Lusignan-Petit,lusignan petit,44.262172651515,0.51460242424242
17575,47,47155,47360,Madaillan,madaillan,44.272795765306,0.57715367346939
17576,47,47156,47200,Marcellus,marcellus,44.479676923077,0.07499123076923
17577,47,47157,47200,Marmande,marmande,44.499548605578,0.1681064940239
17578,47,47158,47220,Marmont-Pachas,marmont pachas,44.096323211009,0.58949091743119
17579,47,47159,47430,Le Mas-d'Agenais,le mas d agenais,44.393307251908,0.19929328244275
17580,47,47160,47370,Masquières,masquieres,44.407271492537,1.0405867164179
17581,47,47161,47140,Massels,massels,44.318989270833,0.8562146875
17582,47,47162,47140,Massoulès,massoules,44.342024576271,0.86966033898305
17583,47,47163,47200,Mauvezin-sur-Gupie,mauvezin sur gupie,44.563321705882,0.17457335294118
17584,47,47164,47210,Mazières-Naresse,mazieres naresse,44.653724235294,0.70630294117647
17585,47,47165,47180,Meilhan-sur-Garonne,meilhan sur garonne,44.509418691099,0.02884769633508
17586,47,47167,47170,Mézin,mezin,44.059387369942,0.26861612716763
17587,47,47168,47800,Miramont-de-Guyenne,miramont de guyenne,44.590126058091,0.35750157676349
17588,47,47169,47310,Moirax,moirax,44.143047177914,0.60568386503067
17589,47,47170,47290,Monbahus,monbahus,44.537321783784,0.53608864864865
17590,47,47171,47340,Monbalen,monbalen,44.312544869565,0.73969391304348
17591,47,47172,47310,Moncaut,moncaut,44.143388344371,0.49358582781457
17592,47,47173,47380,Monclar,monclar,44.445187905759,0.5250567539267
17593,47,47174,47600,Moncrabeau,moncrabeau,44.045812099125,0.36514618075802
17594,47,47175,47150,Monflanquin,monflanquin,44.517223884058,0.75828730434783
17595,47,47176,47230,Mongaillard,mongaillard,44.213404868421,0.29798355263158
17596,47,47177,47160,Monheurt,monheurt,44.334848153846,0.30111815384615
17597,47,47178,47150,Monségur,monsegur,44.485266590909,0.87725992424242
17598,47,47179,47500,Monsempron-Libos,monsempron libos,44.498269904762,0.93103552380952
17599,47,47180,47600,Montagnac-sur-Auvignon,montagnac sur auvignon,44.167105628743,0.45633928143713
17600,47,47181,47150,Montagnac-sur-Lède,montagnac sur lede,44.538752864322,0.85071085427136
17601,47,47182,47380,Montastruc,montastruc,44.495025,0.52303904494382
17602,47,47183,47330,Montauriol,montauriol,44.613501875,0.58030892857143
17603,47,47184,47210,Montaut,montaut,44.608189259259,0.68397333333333
17604,47,47185,47500,Montayral,montayral,44.46365125,0.98403966666667
17605,47,47186,47130,Montesquieu,montesquieu,44.205326914286,0.44604657142857
17606,47,47187,47120,Monteton,monteton,44.615212460733,0.25145303664921
17607,47,47188,47800,Montignac-de-Lauzun,montignac de lauzun,44.573050425532,0.47571510638298
17608,47,47189,47350,Montignac-Toupinerie,montignac toupinerie,44.550073271028,0.35219738317757
17609,47,47190,47360,Montpezat,montpezat,44.344350808511,0.53171004255319
17610,47,47191,47200,Montpouillan,montpouillan,44.458709112426,0.09476863905325
17611,47,47192,47290,Monviel,monviel,44.567327767857,0.54369035714286
17612,47,47193,47290,Moulinet,moulinet,44.542523583815,0.58600520231214
17613,47,47194,47800,Moustier,moustier,44.642069756098,0.30208113821138
17614,47,47195,47600,Nérac,nerac,44.129579680851,0.34280166666667
17615,47,47196,47190,Nicole,nicole,44.332664179104,0.33698940298507
17616,47,47197,47600,Nomdieu,nomdieu,44.083888425197,0.4650957480315
17617,47,47198,47440,Pailloles,pailloles,44.475031153846,0.64635038461538
17618,47,47199,47120,Pardaillan,pardaillan,44.663769953704,0.2676874537037
17619,47,47200,47210,Parranquet,parranquet,44.662390965517,0.81559117241379
17620,47,47201,47520,Le Passage,le passage,44.1849295,0.59113078571429
17621,47,47202,47150,Paulhiac,paulhiac,44.578092592593,0.82444322751323
17622,47,47203,47140,Penne-d'Agenais,penne d agenais,44.374637152778,0.84636125
17623,47,47204,47350,Peyrière,peyriere,44.575791826923,0.30498105769231
17624,47,47205,47700,Pindères,pinderes,44.268893536585,-0.00371243902439
17625,47,47206,47380,Pinel-Hauterive,pinel hauterive,44.463336169355,0.5670152016129
17626,47,47207,47230,Pompiey,pompiey,44.192052021277,0.22418776595745
17627,47,47208,47420,Pompogne,pompogne,44.231516357143,0.07957957142857
17628,47,47209,47480,Pont-du-Casse,pont du casse,44.236066182796,0.6750847311828
17629,47,47210,47130,Port-Sainte-Marie,port sainte marie,44.268837446809,0.38364730496454
17630,47,47211,47170,Poudenas,poudenas,44.037513883495,0.19935432038835
17631,47,47212,47700,Poussignac,poussignac,44.355434217687,0.07746333333333
17632,47,47213,47360,Prayssas,prayssas,44.29462072,0.51251996
17633,47,47214,47160,Puch-d'Agenais,puch d agenais,44.329396092715,0.25682291390728
17634,47,47215,47300,Pujols,pujols,44.368374148936,0.69677670212766
17635,47,47216,47350,Puymiclan,puymiclan,44.516383926941,0.31722552511416
17636,47,47217,47270,Puymirol,puymirol,44.1899312749,0.80048764940239
17637,47,47218,47800,Puysserampion,puysserampion,44.602720942029,0.32063847826087
17638,47,47219,47210,Rayet,rayet,44.666935,0.77185269230769
17639,47,47220,47160,Razimet,razimet,44.352364387755,0.22930897959184
17640,47,47221,47170,Réaup-Lisse,reaup lisse,44.088167900356,0.21896743772242
17641,47,47222,47700,La Réunion,la reunion,44.290790172414,0.12445681034483
17642,47,47223,47210,Rives,rives,44.651546433121,0.73932719745223
17643,47,47224,47250,Romestaing,romestaing,44.415404385965,0.02267157894737
17644,47,47225,47310,Roquefort,roquefort,44.176328319328,0.56031394957983
17645,47,47226,47800,Roumagne,roumagne,44.622543648649,0.33957941441441
17646,47,47227,47700,Ruffiac,ruffiac,44.367305786517,0.03643348314607
17647,47,47228,47340,Saint-Antoine-de-Ficalba,saint antoine de ficalba,44.342298017241,0.72089982758621
17648,47,47229,47120,Saint-Astier,saint astier,44.727483475177,0.27167624113475
17649,47,47230,47150,Saint-Aubin,saint aubin,44.476286625,0.83710375
17650,47,47231,47350,Saint-Avit,saint avit,44.577052076923,0.22104230769231
17651,47,47232,47350,Saint-Barthélemy-d'Agenais,saint barthelemy d agenais,44.524656603774,0.36427817610063
17652,47,47233,47180,Sainte-Bazeille,sainte bazeille,44.539999,0.10480718181818
17653,47,47234,47270,Saint-Caprais-de-Lerm,saint caprais de lerm,44.215314428571,0.75555157142857
17654,47,47235,47410,Saint-Colomb-de-Lauzun,saint colomb de lauzun,44.608459282051,0.47920743589744
17655,47,47236,47120,Sainte-Colombe-de-Duras,sainte colombe de duras,44.696198247423,0.12273144329897
17656,47,47237,47300,Sainte-Colombe-de-Villeneuve,sainte colombe de villeneuve,44.360589356725,0.65866116959064
17657,47,47238,47310,Sainte-Colombe-en-Bruilhois,sainte colombe en bruilhois,44.187048074074,0.51169740740741
17658,47,47239,47380,Saint-Étienne-de-Fougères,saint etienne de fougeres,44.411686202532,0.56048734177215
17659,47,47240,47210,Saint-Étienne-de-Villeréal,saint etienne de villereal,44.61220923913,0.7658772826087
17660,47,47241,47210,Saint-Eutrope-de-Born,saint eutrope de born,44.578591952191,0.70786151394422
17661,47,47242,47500,Saint-Front-sur-Lémance,saint front sur lemance,44.56414987013,0.99970162337662
17662,47,47244,47250,Sainte-Gemme-Martaillac,sainte gemme martaillac,44.367683785714,0.15717607142857
17663,47,47245,47120,Saint-Géraud,saint geraud,44.624371958763,0.15511762886598
17664,47,47246,47450,Saint-Hilaire-de-Lusignan,saint hilaire de lusignan,44.250406376147,0.53605655963303
17665,47,47247,47120,Saint-Jean-de-Duras,saint jean de duras,44.690711597633,0.29907585798817
17666,47,47248,47270,Saint-Jean-de-Thurac,saint jean de thurac,44.159813827161,0.74149333333333
17667,47,47249,47130,Saint-Laurent,saint laurent,44.234848709677,0.39775790322581
17668,47,47250,47160,Saint-Léger,saint leger,44.299383970588,0.31052617647059
17669,47,47251,47160,Saint-Léon,saint leon,44.288057011494,0.24025057471264
17670,47,47252,47110,Sainte-Livrade-sur-Lot,sainte livrade sur lot,44.400196584158,0.59717371287129
17671,47,47253,47430,Sainte-Marthe,sainte marthe,44.417981333333,0.1467178
17672,47,47254,47700,Saint-Martin-Curton,saint martin curton,44.3455324375,-0.00024718749999997
17673,47,47255,47270,Saint-Martin-de-Beauville,saint martin de beauville,44.229984948454,0.81879597938144
17674,47,47256,47210,Saint-Martin-de-Villeréal,saint martin de villereal,44.643420373832,0.8114953271028
17675,47,47257,47180,Saint-Martin-Petit,saint martin petit,44.571058586957,0.09182891304348
17676,47,47258,47170,Sainte-Maure-de-Peyriac,sainte maure de peyriac,44.013980909091,0.14994252525253
17677,47,47259,47290,Saint-Maurice-de-Lestapel,saint maurice de lestapel,44.582007666667,0.57353244444444
17678,47,47260,47270,Saint-Maurin,saint maurin,44.214414563758,0.89551355704698
17679,47,47262,47220,Saint-Nicolas-de-la-Balerme,saint nicolas de la balerme,44.130716103896,0.7622561038961
17680,47,47263,47200,Saint-Pardoux-du-Breuil,saint pardoux du breuil,44.4687688,0.2042076
17681,47,47264,47800,Saint-Pardoux-Isaac,saint pardoux isaac,44.611310818182,0.37251481818182
17682,47,47265,47290,Saint-Pastour,saint pastour,44.484196953125,0.604982578125
17683,47,47266,47170,Saint-Pé-Saint-Simon,saint pe saint simon,44.00056135514,0.0909553271028
17684,47,47267,47160,Saint-Pierre-de-Buzet,saint pierre de buzet,44.260286235294,0.27388811764706
17685,47,47269,47270,Saint-Pierre-de-Clairac,saint pierre de clairac,44.179460829268,0.75353253658537
17686,47,47271,47120,Saint-Pierre-sur-Dropt,saint pierre sur dropt,44.650454867257,0.21077088495575
17687,47,47272,47330,Saint-Quentin-du-Dropt,saint quentin du dropt,44.676181105263,0.60555242105263
17688,47,47273,47340,Saint-Robert,saint robert,44.250109891304,0.79130456521739
17689,47,47274,47270,Saint-Romain-le-Noble,saint romain le noble,44.158349719626,0.7769761682243
17690,47,47275,47360,Saint-Salvy,saint salvy,44.301651483871,0.4488344516129
17691,47,47276,47360,Saint-Sardos,saint sardos,44.338332262774,0.48882321167883
