id,department_code,insee_code,zip_code,-CANTAL,slug,gps_lat,gps_lng
5275,15,15241,15110,La Trinitat,la trinitat,44.759203039216,2.9441203921569
5276,15,15242,15600,Le Trioulou,le trioulou,44.670127615894,2.1922259602649
5277,15,15243,15400,Trizac,trizac,45.247843882863,2.5337047722343
5278,15,15244,15300,Ussel,ussel,45.074367483444,2.9506550993377
5279,15,15245,15100,Vabres,vabres,45.034876352941,3.1898568823529
5280,15,15246,15400,Valette,valette,45.268101330472,2.6059501716738
5281,15,15247,15170,Valjouze,valjouze,45.16395352459,3.0598886885246
5282,15,15248,15300,Valuéjols,valuejols,45.055282488584,2.9219210958904
5283,15,15249,15380,Le Vaulmier,le vaulmier,45.181935384615,2.5786402797203
5284,15,15250,15240,Vebret,vebret,45.348377396907,2.5174030154639
5285,15,15251,15100,Védrines-Saint-Loup,vedrines saint loup,45.058078353293,3.2857904491018
5286,15,15252,15590,Velzic,velzic,44.996307,2.55467925
5287,15,15253,15160,Vernols,vernols,45.218195654762,2.8897938095238
5288,15,15254,15350,Veyrières,veyrieres,45.32081368932,2.3750649514563
5289,15,15255,15130,Vézac,vezac,44.899145234657,2.5253835018051
5290,15,15256,15160,Vèze,veze,45.282753290323,2.9819355483871
5291,15,15257,15130,Vezels-Roussy,vezels roussy,44.808944304636,2.5804073509934
5292,15,15258,15800,Vic-sur-Cère,vic sur cere,44.96551058309,2.6182562973761
5293,15,15259,15500,Vieillespesse,vieillespesse,45.119473968254,3.158818994709
5294,15,15260,15120,Vieillevie,vieillevie,44.654301758242,2.4357964285714
5295,15,15261,15200,Le Vigean,le vigean,45.224179010989,2.3642534249084
5296,15,15262,15100,Villedieu,villedieu,44.998117728814,3.0548045423729
5297,15,15263,15300,Virargues,virargues,45.127500185676,2.9021493899204
5298,15,15264,15220,Vitrac,vitrac,44.807657888446,2.3136405577689
5299,15,15265,15210,Ydes,ydes,45.344325565217,2.4580957391304
5300,15,15266,15130,Yolet,yolet,44.929445,2.5369589259259
5301,15,15267,15000,Ytrac,ytrac,44.9275602,2.4307539
5302,15,15267,15130,Ytrac,ytrac,44.914802,2.363343
5303,15,15268,15290,Le Rouget-Pers,le rouget pers,44.88465369403,2.2338736753731
5304,15,15269,15140,Besse,besse,45.100500194175,2.3536042718447
