,,,,-SAONE-ET-LOIRE,,,
28540,71,71154,71530,Crissey,crissey,46.817890119048,4.8942653571429
28541,71,71155,71140,Cronat,cronat,46.728137069486,3.7077416616314
28542,71,71156,71260,Cruzille,cruzille,46.509698795812,4.7834229319372
28543,71,71157,71480,Cuiseaux,cuiseaux,46.504678941176,5.3638896470588
28544,71,71158,71290,Cuisery,cuisery,46.558592093023,4.9968282945736
28545,71,71159,71460,Culles-les-Roches,culles les roches,46.646234752475,4.6519211881188
28546,71,71160,71800,Curbigny,curbigny,46.3121,4.3155894
28547,71,71161,71130,Curdin,curdin,46.594148440367,4.0001199082569
28548,71,71162,71400,Curgy,curgy,46.987140953947,4.3818473355263
28549,71,71163,71520,Curtil-sous-Buffières,curtil sous buffieres,46.401401985816,4.5281553900709
28550,71,71164,71460,Curtil-sous-Burnand,curtil sous burnand,46.584699745763,4.6263205084746
28551,71,71165,71550,Cussy-en-Morvan,cussy en morvan,47.089777344828,4.1839932068965
28552,71,71166,71320,Cuzy,cuzy,46.761405,4.027156043956
28553,71,71167,71620,Damerey,damerey,46.832326554622,4.9950634453782
28554,71,71168,71310,Dampierre-en-Bresse,dampierre en bresse,46.827642166667,5.1957130555556
28555,71,71169,71960,Davayé,davaye,46.30401893617,4.7494056382979
28556,71,71170,71150,Demigny,demigny,46.921285524476,4.8471911538461
28557,71,71171,71510,Dennevy,dennevy,46.863821428571,4.6434609821429
28558,71,71172,71190,Dettey,dettey,46.766310961538,4.1937177197802
28559,71,71173,71330,Devrouze,devrouze,46.761180449438,5.1663979400749
28560,71,71174,71150,Dezize-lès-Maranges,dezize les maranges,46.918220882353,4.6560066176471
28561,71,71175,71330,Diconne,diconne,46.778130290698,5.1282506395349
28562,71,71176,71160,Digoin,digoin,46.490187254902,4.0350847712418
28563,71,71177,71480,Dommartin-lès-Cuiseaux,dommartin les cuiseaux,46.501611266968,5.2886040723982
28564,71,71178,71520,Dompierre-les-Ormes,dompierre les ormes,46.355730663717,4.4879096902655
28565,71,71179,71420,Dompierre-sous-Sanvignes,dompierre sous sanvignes,46.665819705882,4.2246610784314
28566,71,71181,71250,Donzy-le-Pertuis,donzy le pertuis,46.447586644295,4.7176581208054
28567,71,71182,71640,Dracy-le-Fort,dracy le fort,46.793978928571,4.7642408928571
28568,71,71183,71490,Dracy-lès-Couches,dracy les couches,46.896297281553,4.5572203883495
28569,71,71184,71400,Dracy-Saint-Loup,dracy saint loup,47.015588879668,4.3444468879668
28570,71,71185,71800,Dyo,dyo,46.364613658537,4.2865605691057
28571,71,71186,71350,Écuelles,ecuelles,46.951960350877,5.0735692982456
28572,71,71187,71210,Écuisses,ecuisses,46.752871813472,4.5276690673575
28573,71,71188,71360,Épertully,epertully,46.945352222222,4.6030735185185
28574,71,71189,71380,Épervans,epervans,46.748293225806,4.9028787096774
28575,71,71190,71360,Épinac,epinac,46.987999929577,4.5138458802817
28576,71,71191,71510,Essertenne,essertenne,46.810129897436,4.5426833333333
28577,71,71192,71190,Étang-sur-Arroux,etang sur arroux,46.865491622419,4.1890886135693
28578,71,71193,71240,Étrigny,etrigny,46.585361489362,4.7855235106383
28579,71,71194,71150,Farges-lès-Chalon,farges les chalon,46.835346419753,4.8058193827161
28580,71,71195,71700,Farges-lès-Mâcon,farges les macon,46.515326862745,4.9079503921569
28581,71,71196,71580,Le Fay,le fay,46.662402122642,5.3327570754717
28582,71,71198,71580,Flacey-en-Bresse,flacey en bresse,46.591736738197,5.3740741201717
28583,71,71199,71250,Flagy,flagy,46.490467387387,4.6396067567568
28584,71,71200,71340,Fleury-la-Montagne,fleury la montagne,46.196714444444,4.1262381481481
28585,71,71201,71390,Fley,fley,46.678870337079,4.6371035955056
28586,71,71202,71150,Fontaines,fontaines,46.849665617021,4.7901040851064
28587,71,71203,71120,Fontenay,fontenay,46.475772702703,4.297984054054
