,,,,-ORNE,,,
23793,61,61168,61600,La Ferté Macé,la ferte mace,48.589377,-0.356027
23794,61,61169,61100,Flers,flers,48.740522872727,-0.56684938181818
23795,61,61170,61200,Fleuré,fleure,48.685013513513,-0.0461127027027
23796,61,61171,61160,Fontaine-les-Bassets,fontaine les bassets,48.858320253165,0.0033335443038
23797,61,61172,61420,Fontenai-les-Louvets,fontenai les louvets,48.530939433962,-0.00470471698113
23798,61,61176,61570,Francheville,francheville,48.634522445652,-0.06166461956522
23799,61,61178,61230,La Fresnaie-Fayel,la fresnaie fayel,48.835042727273,0.2257875
23800,61,61180,61120,Fresnay-le-Samson,fresnay le samson,48.873413584906,0.21380490566038
23801,61,61181,61230,Gacé,gace,48.790861293103,0.30157603448276
23802,61,61182,61420,Gandelain,gandelain,48.473922522124,-0.0891303539823
23803,61,61183,61390,Gâprée,gapree,48.626996929134,0.29288881889764
23804,61,61187,61270,Les Genettes,les genettes,48.660774596273,0.57656465838509
23805,61,61188,61240,La Genevraie,la genevraie,48.679583276836,0.30797966101695
23806,61,61189,61210,Giel-Courteilles,giel courteilles,48.762581764706,-0.20955029411765
23807,61,61190,61310,Ginai,ginai,48.741114233577,0.20933671532847
23808,61,61192,61240,Godisson,godisson,48.674641463415,0.25330865853659
23809,61,61193,61550,La Gonfrière,la gonfriere,48.815752015504,0.4843961627907
23810,61,61194,61150,Monts-sur-Orne,monts sur orne,48.744328666667,-0.112282375
23811,61,61195,61600,Le Grais,le grais,48.643722857143,-0.32111214285714
23812,61,61196,61130,Belforêt-en-Perche,belforet en perche,48.3743471,0.5230469
23813,61,61196,61360,Belforêt-en-Perche,belforet en perche,48.3743471,0.5230469
23814,61,61196,61400,Belforêt-en-Perche,belforet en perche,48.3743471,0.5230469
23815,61,61197,61160,Guêprei,gueprei,48.837705416667,-0.01085513888889
23816,61,61198,61120,Guerquesalles,guerquesalles,48.90164248,0.2141524
23817,61,61199,61210,Habloville,habloville,48.7907925,-0.18062386363636
23818,61,61202,61250,Hauterive,hauterive,48.480042147651,0.20493234899329
23819,61,61203,61250,Héloup,heloup,48.395961678322,0.03432937062937
23820,61,61206,61290,L'Hôme-Chamondot,l home chamondot,48.601345,0.73754088235294
23821,61,61207,61130,Igé,ige,48.313626106557,0.51046221311475
23822,61,61208,61190,Irai,irai,48.667286432749,0.6894632748538
23823,61,61209,61320,Joué-du-Bois,joue du bois,48.586326294643,-0.23723571428571
23824,61,61210,61150,Joué-du-Plain,joue du plain,48.681115,-0.14443519230769
23825,61,61211,61140,Juvigny Val d'Andaine,juvigny val d andaine,48.551446,-0.507522
23826,61,61211,61330,Juvigny Val d'Andaine,juvigny val d andaine,48.551446,-0.507522
23827,61,61212,61200,Juvigny-sur-Orne,juvigny sur orne,48.726012952381,0.02529771428571
23828,61,61213,61320,Lalacelle,lalacelle,48.469434671053,-0.12281664473684
23829,61,61214,61300,L'Aigle,l aigle,48.760511554054,0.61125655405405
