id,department_code,insee_code,zip_code,-AUDE,slug,gps_lat,gps_lng
3740,11,11113,11350,Cucugnan,cucugnan,42.85168119403,2.6055259701492
3741,11,11114,11410,Cumiès,cumies,43.29976,1.8313811594203
3742,11,11115,11390,Cuxac-Cabardès,cuxac cabardes,43.390717647059,2.2761813903743
3743,11,11116,11590,Cuxac-d'Aude,cuxac d aude,43.257053257576,3.0020411363636
3744,11,11117,11330,Davejean,davejean,42.97030244898,2.6042002040816
3745,11,11118,11330,Dernacueillette,dernacueillette,42.929088333333,2.607233
3746,11,11119,11300,La Digne-d'Amont,la digne d amont,43.038866097561,2.1603121951219
3747,11,11120,11300,La Digne-d'Aval,la digne d aval,43.046755833333,2.1786473333333
3748,11,11121,11240,Donazac,donazac,43.078589787234,2.1287609574468
3749,11,11122,11700,Douzens,douzens,43.179820379747,2.6108098734177
3750,11,11123,11350,Duilhac-sous-Peyrepertuse,duilhac sous peyrepertuse,42.861593043478,2.5643020289855
3751,11,11124,11360,Durban-Corbières,durban corbieres,42.989444,2.8276095555555
3752,11,11125,11360,Embres-et-Castelmaure,embres et castelmaure,42.92056,2.8286043478261
3753,11,11126,11200,Escales,escales,43.222962068966,2.7057712068966
3754,11,11127,11140,Escouloubre,escouloubre,42.731577672956,2.1223414465409
3755,11,11128,11240,Escueillens-et-Saint-Just-de-Bélengard,escueillens et saint just de belengard,43.100034678363,2.0200466081871
3756,11,11129,11260,Espéraza,esperaza,42.929199291339,2.2205007086614
3757,11,11130,11340,Espezel,espezel,42.839273063063,2.0261363063063
3758,11,11131,11260,Fa,fa,42.921956694215,2.1811221487603
3759,11,11132,11200,Fabrezan,fabrezan,43.129373111111,2.7105762222222
3760,11,11133,11220,Fajac-en-Val,fajac en val,43.122478125,2.466604375
3761,11,11134,11410,Fajac-la-Relenque,fajac la relenque,43.283179102564,1.7250514102564
3762,11,11135,11140,La Fajolle,la fajolle,42.754504042553,1.9616174468085
3763,11,11136,11270,Fanjeaux,fanjeaux,43.190169238095,2.0378548095238
3764,11,11137,11330,Félines-Termenès,felines termenes,42.985199130435,2.6046811594203
3765,11,11138,11400,Fendeille,fendeille,43.270361573034,1.9455923595506
3766,11,11139,11240,Fenouillet-du-Razès,fenouillet du razes,43.156107173913,2.0288761956522
3767,11,11140,11200,Ferrals-les-Corbières,ferrals les corbieres,43.144903145161,2.7379337903226
3768,11,11141,11240,Ferran,ferran,43.153047111111,2.0876683333333
3769,11,11142,11300,Festes-et-Saint-André,festes et saint andre,42.962147655172,2.1190522758621
3770,11,11143,11510,Feuilla,feuilla,42.92316125,2.8963820833333
3771,11,11144,11510,Fitou,fitou,42.901947264957,2.9876682051282
3772,11,11145,11560,Fleury,fleury,43.215078486842,3.1652459210526
3773,11,11146,11800,Floure,floure,43.179775365854,2.4811207317073
3774,11,11147,11140,Fontanès-de-Sault,fontanes de sault,42.765992666667,2.0889595555556
3775,11,11148,11700,Fontcouverte,fontcouverte,43.1685125,2.68762125
3776,11,11149,11400,Fonters-du-Razès,fonters du razes,43.238913684211,1.9193680701754
3777,11,11150,11390,Fontiers-Cabardès,fontiers cabardes,43.373874217687,2.2521662585034
3778,11,11151,11800,Fontiès-d'Aude,fonties d aude,43.188436428571,2.4578766071429
3779,11,11152,11360,Fontjoncouse,fontjoncouse,43.037889302326,2.77128
