,,,,-GARD,,,
11265,30,30104,30350,Domessargues,domessargues,43.976308723404,4.1629125531915
11266,30,30105,30750,Dourbies,dourbies,44.069827230321,3.4830990962099
11267,30,30106,30170,Durfort-et-Saint-Martin-de-Sossenac,durfort et saint martin de sossenac,43.98580475,3.9524433125
11268,30,30107,30390,Estézargues,estezargues,43.965896666667,4.6398181944444
11269,30,30108,30124,L'Estréchure,l estrechure,44.098533597884,3.7897714814815
11270,30,30109,30360,Euzet,euzet,44.0748647,4.2321798
11271,30,30110,30700,Flaux,flaux,44.007337563025,4.5110226890756
11272,30,30111,30700,Foissac,foissac,44.034432272727,4.2991403409091
11273,30,30112,30730,Fons,fons,43.907976101695,4.1857137288136
11274,30,30113,30580,Fons-sur-Lussan,fons sur lussan,44.18997765625,4.32815953125
11275,30,30114,30250,Fontanès,fontanes,43.829818333333,4.0967815217391
11276,30,30115,30580,Fontarèches,fontareches,44.121953297872,4.4289745744681
11277,30,30116,30210,Fournès,fournes,43.935853958333,4.6046504166667
11278,30,30117,30300,Fourques,fourques,43.7055475,4.5538832608696
11279,30,30119,30170,Fressac,fressac,43.993235652174,3.9236460869565
11280,30,30120,30160,Gagnières,gagnieres,44.313734677419,4.1220507258065
11281,30,30121,30260,Gailhan,gailhan,43.845891666667,4.0318806481482
11282,30,30122,30730,Gajan,gajan,43.897557083333,4.22519625
11283,30,30123,30660,Gallargues-le-Montueux,gallargues le montueux,43.718965666667,4.1744566666667
11284,30,30124,30760,Le Garn,le garn,44.305294230769,4.4728573076923
11285,30,30125,30128,Garons,garons,43.771863695652,4.4330373913044
11286,30,30126,30190,Garrigues-Sainte-Eulalie,garrigues sainte eulalie,43.989091578947,4.3070794736842
11287,30,30127,30330,Gaujac,gaujac,44.075556568627,4.5699803921569
11288,30,30128,30510,Générac,generac,43.726296304348,4.3508745652174
11289,30,30129,30140,Générargues,generargues,44.081955,3.9841378787879
11290,30,30130,30450,Génolhac,genolhac,44.338152802548,3.9570329936306
11291,30,30131,30630,Goudargues,goudargues,44.2053232,4.44238775
11292,30,30132,30110,La Grand-Combe,la grand combe,44.225682315789,4.0328781052632
11293,30,30133,30240,Le Grau-du-Roi,le grau du roi,43.506487696078,4.1620409803922
11294,30,30134,30760,Issirac,issirac,44.278091428571,4.4736847058824
11295,30,30135,30300,Jonquières-Saint-Vincent,jonquieres saint vincent,43.828634927536,4.5676094202899
11296,30,30136,30250,Junas,junas,43.761176448598,4.11245
11297,30,30137,30110,Lamelouze,lamelouze,44.191089230769,3.9600873426573
11298,30,30138,30980,Langlade,langlade,43.804711885246,4.257826147541
11299,30,30139,30750,Lanuéjols,lanuejols,44.114238949416,3.3787774708171
11300,30,30140,30460,Lasalle,lasalle,44.040538989362,3.849102606383
11301,30,30141,30290,Laudun-l'Ardoise,laudun l ardoise,44.103637766497,4.6582521827411
11302,30,30142,30110,Laval-Pradel,laval pradel,44.214576860465,4.06892
11303,30,30143,30760,Laval-Saint-Roman,laval saint roman,44.29861362069,4.5056469827586
11304,30,30144,30250,Lecques,lecques,43.838353655914,4.0555679569893
11305,30,30145,30210,Lédenon,ledenon,43.913784615385,4.5114156043956
11306,30,30146,30350,Lédignan,ledignan,43.98677025,4.111143375
11307,30,30147,30350,Lézan,lezan,44.007258461538,4.0512807692308
11308,30,30148,30260,Liouc,liouc,43.890082612613,3.9900647747748
11309,30,30149,30126,Lirac,lirac,44.031967692308,4.6733484615385
11310,30,30150,30610,Logrian-Florian,logrian florian,43.945861527778,4.0226918055556
