,,,,-VIENNE,,,
33738,86,86167,86420,Monts-sur-Guesnes,monts sur guesnes,46.910824931507,0.19016452054795
33739,86,86169,86120,Morton,morton,47.104677652174,-0.01291034782609
33740,86,86170,86500,Moulismes,moulismes,46.314751677019,0.80273409937888
33741,86,86171,86150,Moussac,moussac,46.275795936255,0.69780920318725
33742,86,86172,86430,Mouterre-sur-Blourde,mouterre sur blourde,46.211610404624,0.76576526011561
33743,86,86173,86200,Mouterre-Silly,mouterre silly,46.99045127907,0.03480447674419
33744,86,86174,86530,Naintré,naintre,46.770985324675,0.49187928571429
33745,86,86175,86310,Nalliers,nalliers,46.609811811024,0.8800362992126
33746,86,86176,86150,Nérignac,nerignac,46.296835052632,0.72866094736842
33747,86,86177,86170,Neuville-de-Poitou,neuville de poitou,46.686431267606,0.24948309859155
33748,86,86178,86340,Nieuil-l'Espoir,nieuil l espoir,46.485041481481,0.45791092592593
33749,86,86180,86340,Nouaillé-Maupertuis,nouaille maupertuis,46.501068648649,0.41880702702703
33750,86,86181,86200,Nueil-sous-Faye,nueil sous faye,46.97081744,0.27772752
33751,86,86182,86230,Orches,orches,46.877869479167,0.3346175
33752,86,86183,86220,Les Ormes,les ormes,46.969318067227,0.61924008403361
33753,86,86184,86380,Ouzilly,ouzilly,46.778335670103,0.35551319587629
33754,86,86186,86220,Oyré,oyre,46.862838461538,0.63468076923077
33755,86,86187,86300,Paizay-le-Sec,paizay le sec,46.583562040816,0.76940020408163
33756,86,86188,86700,Payré,payre,46.347507777778,0.19729659722222
33757,86,86189,86350,Payroux,payroux,46.216970687831,0.48432190476191
33758,86,86190,86320,Persac,persac,46.327792633745,0.73355716049383
33759,86,86191,86500,Pindray,pindray,46.470454270833,0.82323270833333
33760,86,86192,86500,Plaisance,plaisance,46.317070518519,0.85556222222222
33761,86,86193,86450,Pleumartin,pleumartin,46.746334431818,0.76579732954545
33762,86,86194,86000,Poitiers,poitiers,46.582319359431,0.36695181494662
33763,86,86195,86220,Port-de-Piles,port de piles,46.998965423729,0.59667762711864
33764,86,86196,86120,Pouançay,pouancay,47.087345,-0.08045203703704
33765,86,86197,86200,Pouant,pouant,47.019008014706,0.27894588235294
33766,86,86198,86800,Pouillé,pouille,46.5423559375,0.58620671875
