,,,,-FINISTERE,,,
10662,29,29167,29710,Plogastel-Saint-Germain,plogastel saint germain,47.973433994638,-4.2598652815013
10663,29,29168,29770,Plogoff,plogoff,48.034316453333,-4.70055688
10664,29,29169,29180,Plogonnec,plogonnec,48.067876442308,-4.1693740865385
10665,29,29170,29700,Plomelin,plomelin,47.932081293706,-4.1480140909091
10666,29,29171,29120,Plomeur,plomeur,47.83582425,-4.293481
10667,29,29172,29550,Plomodiern,plomodiern,48.175906108108,-4.2168229459459
10668,29,29173,29710,Plonéis,ploneis,48.009626085526,-4.2047053618421
10669,29,29174,29720,Plonéour-Lanvern,ploneour lanvern,47.904903589744,-4.2648718737672
10670,29,29175,29530,Plonévez-du-Faou,plonevez du faou,48.262578160742,-3.8289714064915
10671,29,29176,29550,Plonévez-Porzay,plonevez porzay,48.12748972028,-4.2453797202797
10672,29,29177,29810,Plouarzel,plouarzel,48.439271280488,-4.7354397357724
10673,29,29178,29830,Ploudalmézeau,ploudalmezeau,48.549574920635,-4.6799130385487
10674,29,29179,29260,Ploudaniel,ploudaniel,48.527374463519,-4.3174540987125
10675,29,29180,29800,Ploudiry,ploudiry,48.454006756757,-4.1231710810811
10676,29,29181,29800,Plouédern,plouedern,48.485297974684,-4.2556735443038
10677,29,29182,29620,Plouégat-Guérand,plouegat guerand,48.62272851145,-3.665278740458
10678,29,29183,29650,Plouégat-Moysan,plouegat moysan,48.572242217391,-3.6215678695652
10679,29,29184,29420,Plouénan,plouenan,48.621342,-3.9881724657534
10680,29,29185,29430,Plouescat,plouescat,48.669093443878,-4.1935217346939
10681,29,29186,29252,Plouezoc'h,plouezoc h,48.638950098361,-3.8168282622951
10682,29,29187,29440,Plougar,plougar,48.556603100775,-4.1309075193798
10683,29,29188,29630,Plougasnou,plougasnou,48.683939341826,-3.8150686624204
10684,29,29189,29470,Plougastel-Daoulas,plougastel daoulas,48.356330366089,-4.3814217726397
10685,29,29190,29217,Plougonvelin,plougonvelin,48.343613782506,-4.7246345626477
10686,29,29191,29640,Plougonven,plougonven,48.513661722222,-3.7320820740741
10687,29,29192,29250,Plougoulm,plougoulm,48.652317444717,-4.047899041769
10688,29,29193,29400,Plougourvest,plougourvest,48.552368387097,-4.0734406912442
10689,29,29195,29880,Plouguerneau,plouguerneau,48.621637933025,-4.5273463394919
