,,,,-TARN-ET-GARONNE,,,
32958,82,82154,82110,Saint-Amans-de-Pellagal,saint amans de pellagal,44.221070634921,1.1329167460317
32959,82,82155,82140,Saint-Antonin-Noble-Val,saint antonin noble val,44.152856079545,1.7454204829545
32960,82,82156,82210,Saint-Arroumex,saint arroumex,43.994429189189,0.99161506756757
32961,82,82157,82150,Saint-Beauzeil,saint beauzeil,44.334110434783,0.90605206521739
32962,82,82158,82340,Saint-Cirice,saint cirice,44.06034990566,0.84117924528302
32963,82,82159,82300,Saint-Cirq,saint cirq,44.134543757576,1.6055786060606
32964,82,82160,82400,Saint-Clair,saint clair,44.153017319588,0.93975618556701
32965,82,82161,82410,Saint-Étienne-de-Tulmont,saint etienne de tulmont,44.048806158537,1.4467330487805
32966,82,82162,82240,Saint-Georges,saint georges,44.220867405063,1.638377278481
32967,82,82163,82120,Saint-Jean-du-Bouzet,saint jean du bouzet,43.986020943396,0.88123962264151
32968,82,82164,82110,Sainte-Juliette,sainte juliette,44.29493707483,1.1656878911565
32969,82,82165,82340,Saint-Loup,saint loup,44.079250362319,0.8546931884058
32970,82,82166,82340,Saint-Michel,saint michel,44.045315290698,0.93804325581395
32971,82,82167,82370,Saint-Nauphary,saint nauphary,43.960431878788,1.4514242424242
32972,82,82168,82190,Saint-Nazaire-de-Valentane,saint nazaire de valentane,44.210656039604,1.0175215841584
32973,82,82169,82210,Saint-Nicolas-de-la-Grave,saint nicolas de la grave,44.060228564593,1.0221488516746
32974,82,82170,82400,Saint-Paul-d'Espis,saint paul d espis,44.140876257669,1.0010225153374
32975,82,82171,82700,Saint-Porquier,saint porquier,44.006843307087,1.1782240944882
32976,82,82172,82160,Saint-Projet,saint projet,44.315079008264,1.7618123966942
32977,82,82173,82600,Saint-Sardos,saint sardos,43.906151091703,1.1264572052402
32978,82,82174,82300,Saint-Vincent-d'Autéjac,saint vincent d autejac,44.164513397436,1.4706386538462
32979,82,82175,82400,Saint-Vincent-Lespinasse,saint vincent lespinasse,44.118549069767,0.96486286821705
32980,82,82176,82230,La Salvetat-Belmontet,la salvetat belmontet,43.966140759494,1.5139692405063
32981,82,82177,82110,Sauveterre,sauveterre,44.269651612903,1.2717552258064
32982,82,82178,82600,Savenès,savenes,43.834621680672,1.1809297478992
32983,82,82179,82240,Septfonds,septfonds,44.176330833333,1.6218421759259
32984,82,82180,82500,Sérignac,serignac,43.922704392857,1.0365325
32985,82,82181,82340,Sistels,sistels,44.056455,0.78410020833333
32986,82,82182,82190,Touffailles,touffailles,44.273855739645,1.0289062721894
32987,82,82183,82110,Tréjouls,trejouls,44.26635408284,1.2065475147929
32988,82,82184,82800,Vaïssac,vaissac,44.026554343066,1.5617312043796
32989,82,82185,82150,Valeilles,valeilles,44.361693495935,0.91512983739837
32990,82,82186,82400,Valence,valence,44.107567278107,0.89964662721894
32991,82,82187,82330,Varen,varen,44.159112311321,1.8885625
32992,82,82188,82370,Varennes,varennes,43.911773185841,1.4912161946903
32993,82,82189,82220,Vazerac,vazerac,44.201163540856,1.2785971595331
32994,82,82190,82600,Verdun-sur-Garonne,verdun sur garonne,43.846630228137,1.216406730038
32995,82,82191,82330,Verfeil,verfeil,44.183719236111,1.8713868055556
32996,82,82192,82230,Verlhac-Tescou,verlhac tescou,43.935696331658,1.5307930653266
32997,82,82193,82500,Vigueron,vigueron,43.89668745283,1.0513416037736
32998,82,82194,82370,Villebrumier,villebrumier,43.920274868421,1.4522407894737
32999,82,82195,82130,Villemade,villemade,44.082643670886,1.2945997468354
