,,,,-MANCHE,,,
18256,50,50169,50310,Écausseville,ecausseville,49.462939325843,-1.3822297752809
18257,50,50172,50310,Émondeville,emondeville,49.463378192771,-1.3373108433735
18258,50,50174,50320,Équilly,equilly,48.830887070064,-1.3802989808917
18259,50,50175,50310,Éroudeville,eroudeville,49.474104875,-1.395079625
18260,50,50176,50260,L'Étang-Bertrand,l etang bertrand,49.469352152778,-1.5614470138889
18261,50,50177,50360,Étienville,etienville,49.38944125,-1.4350009821429
18262,50,50178,50840,Fermanville,fermanville,49.683480655738,-1.4543565573771
18263,50,50181,50190,Feugères,feugeres,49.1470689375,-1.31851575
18264,50,50182,50190,La Feuillie,la feuillie,49.180162177419,-1.4791551612903
18265,50,50183,50580,Fierville-les-Mines,fierville les mines,49.390615744681,-1.6690344680851
18266,50,50184,50340,Flamanville,flamanville,49.530186746411,-1.8713262200957
18267,50,50185,50800,Fleury,fleury,48.848739319149,-1.2663756595745
18268,50,50186,50700,Flottemanville,flottemanville,49.47511091954,-1.4501377011494
18269,50,50188,50320,Folligny,folligny,48.818159508197,-1.4180167759563
18270,50,50190,50310,Fontenay-sur-Mer,fontenay sur mer,49.495979465649,-1.3056361068702
18271,50,50192,50420,Fourneaux,fourneaux,48.964863333333,-1.0390168253968
18272,50,50193,50850,Le Fresne-Poret,le fresne poret,48.711103935484,-0.82126612903226
18273,50,50194,50310,Fresville,fresville,49.43941625,-1.3575105147059
18274,50,50195,50150,Gathemo,gathemo,48.771113446328,-0.96767983050847
18275,50,50196,50760,Gatteville-le-Phare,gatteville le phare,49.680874833333,-1.2836190555556
18276,50,50197,50450,Gavray,gavray,48.905530195122,-1.3347588292683
18277,50,50198,50560,Geffosses,geffosses,49.128879243243,-1.5536325405405
18278,50,50199,50530,Genêts,genets,48.68741096,-1.47416392
18279,50,50200,50850,Ger,ger,48.671492072829,-0.8014124929972
18280,50,50205,50300,La Godefroy,la godefroy,48.690291348315,-1.2878113483146
18281,50,50206,50300,La Gohannière,la gohanniere,48.704025972222,-1.2615867361111
18282,50,50207,50390,Golleville,golleville,49.439121571429,-1.5193430714286
18283,50,50208,50190,Gonfreville,gonfreville,49.228667837838,-1.3981131081081
18284,50,50209,50330,Gonneville-Le Theil,gonneville le theil,49.615954449761,-1.4704064593301
18285,50,50210,50190,Gorges,gorges,49.266859548611,-1.3846290972222
18286,50,50214,50420,Gouvets,gouvets,48.930755064935,-1.0884566233766
18287,50,50215,50200,Gouville sur Mer,gouville sur mer,49.099664,-1.5779589
18288,50,50215,50560,Gouville sur Mer,gouville sur mer,49.099664,-1.5779589
18289,50,50216,50620,Graignes-Mesnil-Angot,graignes mesnil angot,49.22978443038,-1.2024822151899
18290,50,50217,50370,Le Grand-Celland,le grand celland,48.690190759494,-1.1785144303797
18291,50,50218,50400,Granville,granville,48.86552659271,-1.7511342947702
18292,50,50219,50200,Gratot,gratot,49.067888109756,-1.4872337195122
18293,50,50221,50450,Grimesnil,grimesnil,48.955253220339,-1.3535716949152
18294,50,50222,50340,Grosville,grosville,49.507348730159,-1.7360481746032
18295,50,50223,50210,Guéhébert,guehebert,48.970482670807,-1.3730768322981
18296,50,50225,50410,Le Guislain,le guislain,48.970648901099,-1.2142654945055
18297,50,50227,50310,Le Ham,le ham,49.445472654867,-1.4107757522124
18298,50,50228,50450,Hambye,hambye,48.939257405405,-1.265458054054
18299,50,50229,50730,Hamelin,hamelin,48.542720594059,-1.220832970297
18300,50,50230,50690,Hardinvast,hardinvast,49.574748510638,-1.6448774468085
18301,50,50231,50590,Hauteville-sur-Mer,hauteville sur mer,48.974020434783,-1.5377591304348
18302,50,50232,50570,Hauteville-la-Guichard,hauteville la guichard,49.123806900585,-1.303882748538
18303,50,50233,50390,Hautteville-Bocage,hautteville bocage,49.426180721649,-1.4686748453608
18304,50,50234,50410,La Haye-Bellefond,la haye bellefond,48.98072655914,-1.1885886021505
18305,50,50235,50270,La Haye-d'Ectot,la haye d ectot,49.392141102941,-1.7292943382353
18306,50,50236,50250,La Haye,la haye,49.122617,-1.17192
18307,50,50236,50580,La Haye,la haye,49.609162,-1.775327
18308,50,50237,50320,La Haye-Pesnel,la haye pesnel,48.812491256831,-1.3704838797814
18309,50,50238,50340,Héauville,heauville,49.572927387387,-1.8105117117117
18310,50,50239,50180,Thèreval,thereval,49.128470039216,-1.1965774509804
18311,50,50239,50570,Thèreval,thereval,49.1356622,-1.2460256
18312,50,50240,50340,Helleville,helleville,49.560066504854,-1.7849251456311
18313,50,50241,50700,Hémevez,hemevez,49.46057019802,-1.4395767326733
18314,50,50243,50200,Heugueville-sur-Sienne,heugueville sur sienne,49.03675755814,-1.5101003488372
18315,50,50244,50660,Hérenguerville,herenguerville,48.97713641791,-1.5019244776119
18316,50,50246,50480,Hiesville,hiesville,49.371822272727,-1.2559281818182
18317,50,50247,50320,Hocquigny,hocquigny,48.807302857143,-1.4023870238095
18318,50,50251,50700,Huberville,huberville,49.508509189189,-1.4330784684685
18319,50,50252,50510,Hudimesnil,hudimesnil,48.866397732558,-1.46543
18320,50,50253,50170,Huisnes-sur-Mer,huisnes sur mer,48.60911076087,-1.4473158695652
18321,50,50256,50540,Isigny-le-Buat,isigny le buat,48.623949879518,-1.1821411084337
18322,50,50258,50310,Joganville,joganville,49.472197058824,-1.3492052941177
18323,50,50259,50220,Juilley,juilley,48.5902028125,-1.34851953125
18324,50,50260,50520,Juvigny les Vallées,juvigny les vallees,48.6800967,-1.02444115
18325,50,50261,50160,Lamberville,lamberville,49.080494166667,-0.9115090625
