,,,,-MEURTHE-ET-MOSELLE,,,
20097,54,54174,54200,Écrouves,ecrouves,48.6797144,5.8392044
20098,54,54175,54360,Einvaux,einvaux,48.4925773,6.392607
20099,54,54176,54370,Einville-au-Jard,einville au jard,48.652285479452,6.4831781506849
20100,54,54177,54370,Emberménil,embermenil,48.641225833333,6.6802192156863
20101,54,54178,54260,Épiez-sur-Chiers,epiez sur chiers,49.497363802817,5.49571
20102,54,54179,54610,Éply,eply,48.928544067797,6.1752834463277
20103,54,54180,54280,Erbéviller-sur-Amezule,erbeviller sur amezule,48.728892131148,6.3861359016394
20104,54,54181,54680,Errouville,errouville,49.417514074074,5.8985174074074
20105,54,54182,54470,Essey-et-Maizerais,essey et maizerais,48.91256109375,5.803104609375
20106,54,54183,54830,Essey-la-Côte,essey la cote,48.425036060606,6.4701944444444
20107,54,54184,54270,Essey-lès-Nancy,essey les nancy,48.707229871795,6.2323092307692
20108,54,54185,54330,Étreval,etreval,48.455972638889,6.0534458333333
20109,54,54186,54690,Eulmont,eulmont,48.750248571429,6.2237370634921
20110,54,54187,54470,Euvezin,euvezin,48.919895206612,5.8583600826446
20111,54,54188,54760,Faulx,faulx,48.794865384615,6.1999148076923
20112,54,54189,54115,Favières,favieres,48.461878833333,5.9360693333333
20113,54,54190,54115,Fécocourt,fecocourt,48.405940992366,6.0017175572519
20114,54,54191,54540,Fenneviller,fenneviller,48.487332470588,6.8751781176471
20115,54,54192,54210,Ferrières,ferrieres,48.5554429,6.2946404
20116,54,54193,54470,Fey-en-Haye,fey en haye,48.905158412698,5.9653876190476
20117,54,54194,54560,Fillières,fillieres,49.409010243902,5.8407001626016
20118,54,54195,54110,Flainval,flainval,48.618796835443,6.398435443038
20119,54,54196,54630,Flavigny-sur-Moselle,flavigny sur moselle,48.572445691057,6.1912338211382
20120,54,54197,54710,Fléville-devant-Nancy,fleville devant nancy,48.62981559633,6.2044589908257
20121,54,54198,54150,Fléville-Lixières,fleville lixieres,49.242008435754,5.808182122905
20122,54,54199,54122,Flin,flin,48.503883536585,6.6571076829268
20123,54,54200,54470,Flirey,flirey,48.888761621622,5.853160990991
20124,54,54201,54122,Fontenoy-la-Joûte,fontenoy la joute,48.451074892086,6.6551051798561
20125,54,54202,54840,Fontenoy-sur-Moselle,fontenoy sur moselle,48.706904421053,5.9906376842105
20126,54,54203,54330,Forcelles-Saint-Gorgon,forcelles saint gorgon,48.455648873239,6.1019753521127
20127,54,54204,54930,Forcelles-sous-Gugney,forcelles sous gugney,48.3928066,6.0832695
20128,54,54205,54570,Foug,foug,48.678167266667,5.7838348666667
20129,54,54206,54300,Fraimbois,fraimbois,48.531853988764,6.5492735955056
20130,54,54207,54930,Fraisnes-en-Saintois,fraisnes en saintois,48.372489354839,6.0617050537634
20131,54,54208,54200,Francheville,francheville,48.741290086207,5.929041637931
20132,54,54209,54830,Franconville,franconville,48.500664318182,6.4511704545454
20133,54,54210,54450,Fréménil,fremenil,48.562542574257,6.7080979207921
20134,54,54211,54450,Frémonville,fremonville,48.608309223301,6.9074002912621
20135,54,54212,54260,Fresnois-la-Montagne,fresnois la montagne,49.496678253968,5.6511657142857
20136,54,54213,54800,Friauville,friauville,49.143362881356,5.8327722033898
20137,54,54214,54160,Frolois,frolois,48.569768,6.1241830588235
20138,54,54215,54390,Frouard,frouard,48.755114220183,6.1316063302752
20139,54,54216,54290,Froville,froville,48.46784244898,6.3640537755102
20140,54,54217,54120,Gélacourt,gelacourt,48.476404090909,6.7314384090909
20141,54,54218,54115,Gélaucourt,gelaucourt,48.457769078947,5.9891955263158
20142,54,54219,54110,Gellenoncourt,gellenoncourt,48.674742881356,6.3830347457627
20143,54,54220,54115,Gémonville,gemonville,48.416270215054,5.886371827957
20144,54,54221,54740,Gerbécourt-et-Haplemont,gerbecourt et haplemont,48.487271489362,6.1540388297872
20145,54,54222,54830,Gerbéviller,gerbeviller,48.492866085714,6.5013657714286
20146,54,54223,54170,Germiny,germiny,48.540643173077,6.0046575961538
20147,54,54224,54740,Germonville,germonville,48.41077908046,6.2182056321839
20148,54,54225,54380,Gézoncourt,gezoncourt,48.842725394737,5.986617368421
20149,54,54226,54112,Gibeaumeix,gibeaumeix,48.590316164384,5.7395856164384
20150,54,54227,54780,Giraumont,giraumont,49.173100747664,5.9155712149533
20151,54,54228,54830,Giriviller,giriviller,48.435059230769,6.4935445384615
20152,54,54229,54122,Glonville,glonville,48.459691651786,6.690581875
20153,54,54230,54450,Gogney,gogney,48.616521694915,6.8719785310735
20154,54,54231,54800,Gondrecourt-Aix,gondrecourt aix,49.24226164557,5.7618233544304
20155,54,54232,54840,Gondreville,gondreville,48.685317945946,5.978514054054
20156,54,54233,54450,Gondrexon,gondrexon,48.60531047619,6.7658146031746
20157,54,54234,54730,Gorcy,gorcy,49.537422857143,5.6831803809524
20158,54,54235,54330,Goviller,goviller,48.505041258278,6.015149602649
20159,54,54236,54260,Grand-Failly,grand failly,49.418638305648,5.5103279734219
20160,54,54237,54115,Grimonviller,grimonviller,48.381940888889,6.0108485555556
20161,54,54238,54290,Gripport,gripport,48.413606973684,6.2417802631579
20162,54,54239,54380,Griscourt,griscourt,48.841028584071,6.0212965486726
20163,54,54240,54470,Grosrouvres,grosrouvres,48.825788787879,5.8451268181818
20164,54,54241,54930,Gugney,gugney,48.396488823529,6.0600832352941
20165,54,54242,54113,Gye,gye,48.6247003125,5.87452421875
20166,54,54243,54120,Hablainville,hablainville,48.516238549618,6.7136416030534
20167,54,54244,54470,Hagéville,hageville,49.031546304348,5.8597725
20168,54,54245,54290,Haigneville,haigneville,48.482766595745,6.3401573404255
20169,54,54246,54450,Halloville,halloville,48.552204827586,6.8596493103448
20170,54,54247,54330,Hammeville,hammeville,48.499362891566,6.071931686747
20171,54,54248,54470,Hamonville,hamonville,48.828989830508,5.8096105932203
20172,54,54249,54800,Hannonville-Suzémont,hannonville suzemont,49.0992682,5.8390274
20173,54,54250,54110,Haraucourt,haraucourt,48.663982388889,6.3560320555556
20174,54,54251,54450,Harbouey,harbouey,48.57089442029,6.8924496376812
20175,54,54252,54740,Haroué,haroue,48.474504951456,6.186766407767
20176,54,54253,54800,Hatrize,hatrize,49.195732421053,5.9014682105263
20177,54,54254,54860,Haucourt-Moulaine,haucourt moulaine,49.499442,5.8089180714286
20178,54,54255,54830,Haudonville,haudonville,48.504178135593,6.4820488135593
20179,54,54256,54290,Haussonville,haussonville,48.526597153846,6.3192811538462
20180,54,54257,54180,Heillecourt,heillecourt,48.649684909091,6.196232
20181,54,54258,54370,Hénaménil,henamenil,48.665204137931,6.5672076724138
20182,54,54259,54450,Herbéviller,herbeviller,48.556373017751,6.7493629585799
20183,54,54260,54300,Hériménil,herimenil,48.5535085,6.5068906
20184,54,54261,54440,Herserange,herserange,49.518858571429,5.7951932467533
20185,54,54262,54370,Hoéville,hoeville,48.720759685039,6.432627007874
20186,54,54263,54310,Homécourt,homecourt,49.222403047619,5.9925804761905
20187,54,54264,54330,Houdelmont,houdelmont,48.537453333333,6.0942094444444
20188,54,54265,54180,Houdemont,houdemont,48.640694642857,6.174275
20189,54,54266,54330,Houdreville,houdreville,48.514490819672,6.1020451639344
20190,54,54268,54930,Housséville,housseville,48.408371466667,6.1156558666667
20191,54,54269,54110,Hudiviller,hudiviller,48.601439818182,6.3904845454545
20192,54,54270,54590,Hussigny-Godbrange,hussigny godbrange,49.501351690141,5.8492892018779
20193,54,54271,54450,Igney,igney,48.633212619048,6.8188398809524
20194,54,54272,54200,Jaillon,jaillon,48.758097634409,5.9735850537634
20195,54,54273,54800,Jarny,jarny,49.148507121212,5.877747979798
20196,54,54274,54140,Jarville-la-Malgrange,jarville la malgrange,48.668564032258,6.2071580645161
20197,54,54275,54470,Jaulny,jaulny,48.968390909091,5.8931778409091
20198,54,54276,54114,Jeandelaincourt,jeandelaincourt,48.848302222222,6.2446136111111
20199,54,54277,54800,Jeandelize,jeandelize,49.170742222222,5.7971301234568
20200,54,54278,54740,Jevoncourt,jevoncourt,48.414779589041,6.1655953424657
20201,54,54279,54700,Jezainville,jezainville,48.86146326087,6.0192902173913
20202,54,54280,54240,Jœuf,joeuf,49.232263835616,6.0132808219178
20203,54,54281,54300,Jolivet,jolivet,48.608032093023,6.5186947674419
20204,54,54282,54620,Joppécourt,joppecourt,49.390829689441,5.8023061490683
20205,54,54283,54800,Jouaville,jouaville,49.160619126984,5.962223015873
20206,54,54284,54490,Joudreville,joudreville,49.288359684211,5.778057368421
20207,54,54285,54370,Juvrecourt,juvrecourt,48.741682826087,6.5629384782609
20208,54,54286,54800,Labry,labry,49.18246744898,5.8709985714286
20209,54,54287,54120,Lachapelle,lachapelle,48.418736065574,6.7745718852459
20210,54,54288,54200,Lagney,lagney,48.750570526316,5.8290790977444
20211,54,54289,54770,Laître-sous-Amance,laitre sous amance,48.73953,6.2727691891892
20212,54,54290,54720,Laix,laix,49.453191328125,5.778007734375
20213,54,54291,54115,Lalœuf,laloeuf,48.465338086957,6.008710173913
20214,54,54292,54300,Lamath,lamath,48.52252552795,6.4502088819876
20215,54,54293,54360,Landécourt,landecourt,48.501683209877,6.4224632098765
20216,54,54294,54380,Landremont,landremont,48.857783853211,6.1531436697248
