,,,,-HAUTE-VIENNE,,,
33961,87,87109,87210,Oradour-Saint-Genest,oradour saint genest,46.247007256944,1.0224934375
33962,87,87110,87520,Oradour-sur-Glane,oradour sur glane,45.943417575188,1.0182956766917
33963,87,87111,87150,Oradour-sur-Vayres,oradour sur vayres,45.733985496324,0.88464193014706
33964,87,87112,87230,Pageas,pageas,45.683476043956,1.017816043956
33965,87,87113,87410,Le Palais-sur-Vienne,le palais sur vienne,45.874293715847,1.3230797814208
33966,87,87114,87350,Panazol,panazol,45.835640409836,1.3282429098361
33967,87,87115,87440,Pensol,pensol,45.607625815217,0.81923375
33968,87,87116,87300,Peyrat-de-Bellac,peyrat de bellac,46.132277429719,1.017943935743
33969,87,87117,87470,Peyrat-le-Château,peyrat le chateau,45.812924328358,1.7840948507463
33970,87,87118,87510,Peyrilhac,peyrilhac,45.966032230769,1.1232796538462
33971,87,87119,87260,Pierre-Buffière,pierre buffiere,45.691043510638,1.3592954255319
33972,87,87120,87380,La Porcherie,la porcherie,45.577748668639,1.5411068343195
33973,87,87121,87290,Rancon,rancon,46.13557398977,1.1901225575448
33974,87,87122,87640,Razès,razes,46.039552,1.3391927865169
33975,87,87123,87120,Rempnat,rempnat,45.684399012346,1.8701006995885
33976,87,87124,87800,Rilhac-Lastours,rilhac lastours,45.656836869159,1.1146077570093
33977,87,87125,87570,Rilhac-Rancon,rilhac rancon,45.908782710623,1.3290365934066
33978,87,87126,87600,Rochechouart,rochechouart,45.821630642674,0.84375403598972
33979,87,87127,87800,La Roche-l'Abeille,la roche l abeille,45.591378278689,1.2589806830601
33980,87,87128,87140,Roussac,roussac,46.070514576271,1.2058842372881
33981,87,87129,87400,Royères,royeres,45.851391373239,1.4337193661972
33982,87,87130,87130,Roziers-Saint-Georges,roziers saint georges,45.745287715517,1.5615801293103
33983,87,87131,87720,Saillat-sur-Vienne,saillat sur vienne,45.868684742268,0.83732288659794
33984,87,87132,87120,Saint-Amand-le-Petit,saint amand le petit,45.76891027907,1.7717190697674
33985,87,87133,87290,Saint-Amand-Magnazeix,saint amand magnazeix,46.182330384615,1.3572956680162
33986,87,87134,87120,Sainte-Anne-Saint-Priest,sainte anne saint priest,45.69628007722,1.6832493436293
33987,87,87135,87310,Saint-Auvent,saint auvent,45.803905377049,0.91490590163934
33988,87,87136,87330,Saint-Barbant,saint barbant,46.203664304348,0.84677417391304
33989,87,87137,87150,Saint-Bazile,saint bazile,45.733161542056,0.81055887850467
33990,87,87138,87260,Saint-Bonnet-Briance,saint bonnet briance,45.711867530562,1.4867137408313
33991,87,87139,87300,Saint-Bonnet-de-Bellac,saint bonnet de bellac,46.159240902527,0.9431576534296
33992,87,87140,87200,Saint-Brice-sur-Vienne,saint brice sur vienne,45.910450501253,0.96069157894737
33993,87,87141,87310,Saint-Cyr,saint cyr,45.797474581673,0.98326490039841
33994,87,87142,87400,Saint-Denis-des-Murs,saint denis des murs,45.779375128205,1.534472051282
33995,87,87143,87510,Saint-Gence,saint gence,45.908233968254,1.1429117777778
33996,87,87144,87260,Saint-Genest-sur-Roselle,saint genest sur roselle,45.702321160714,1.4243706696429
33997,87,87145,87160,Saint-Georges-les-Landes,saint georges les landes,46.360139105691,1.3480221138211
33998,87,87146,87380,Saint-Germain-les-Belles,saint germain les belles,45.610039849624,1.4928006015038
33999,87,87147,87130,Saint-Gilles-les-Forêts,saint gilles les forets,45.630622542373,1.6690484745763
34000,87,87148,87260,Saint-Hilaire-Bonneval,saint hilaire bonneval,45.720413003195,1.3728996485623
34001,87,87149,87190,Saint-Hilaire-la-Treille,saint hilaire la treille,46.242716945245,1.3161145533141
34002,87,87150,87800,Saint-Hilaire-les-Places,saint hilaire les places,45.634362375479,1.1545059386973
34003,87,87151,87260,Saint-Jean-Ligoure,saint jean ligoure,45.690612416667,1.3094323055556
34004,87,87152,87510,Saint-Jouvent,saint jouvent,45.958139839142,1.2081586863271
34005,87,87153,87460,Saint-Julien-le-Petit,saint julien le petit,45.82629394822,1.7062655339806
34006,87,87154,87200,Saint-Junien,saint junien,45.903241595506,0.89075361797753
34007,87,87155,87300,Saint-Junien-les-Combes,saint junien les combes,46.09063242268,1.1308252061856
34008,87,87156,87590,Saint-Just-le-Martel,saint just le martel,45.846139323843,1.386031316726
34009,87,87157,87240,Saint-Laurent-les-Églises,saint laurent les eglises,45.968441954887,1.470192406015
34010,87,87158,87310,Saint-Laurent-sur-Gorre,saint laurent sur gorre,45.767407734375,0.96678314453125
34011,87,87159,87340,Saint-Léger-la-Montagne,saint leger la montagne,46.029649409722,1.4237962847222
34012,87,87160,87190,Saint-Léger-Magnazeix,saint leger magnazeix,46.283841180124,1.232751552795
34013,87,87161,87400,Saint-Léonard-de-Noblat,saint leonard de noblat,45.843270909091,1.4893369444444
34014,87,87162,87420,Sainte-Marie-de-Vaux,sainte marie de vaux,45.859576477987,1.0372918867925
34015,87,87163,87330,Saint-Martial-sur-Isop,saint martial sur isop,46.147552791667,0.86771583333333
34016,87,87164,87200,Saint-Martin-de-Jussac,saint martin de jussac,45.858873288591,0.94653919463087
34017,87,87165,87360,Saint-Martin-le-Mault,saint martin le mault,46.36487280303,1.2177718939394
34018,87,87166,87700,Saint-Martin-le-Vieux,saint martin le vieux,45.751384266055,1.1206344495413
34019,87,87167,87400,Saint-Martin-Terressus,saint martin terressus,45.910742886598,1.4597810309278
34020,87,87168,87440,Saint-Mathieu,saint mathieu,45.70974772549,0.77257721568627
34021,87,87169,87800,Saint-Maurice-les-Brousses,saint maurice les brousses,45.701860921986,1.244914964539
34022,87,87170,87130,Saint-Méard,saint meard,45.661137163121,1.5326239952719
34023,87,87172,87300,Saint-Ouen-sur-Gartempe,saint ouen sur gartempe,46.172295776398,1.0835633540373
34024,87,87173,87250,Saint-Pardoux,saint pardoux,46.064053801843,1.2934956912442
34025,87,87174,87260,Saint-Paul,saint paul,45.753763070175,1.4436261988304
34026,87,87176,87800,Saint-Priest-Ligoure,saint priest ligoure,45.6236354375,1.3018080625
34027,87,87177,87700,Saint-Priest-sous-Aixe,saint priest sous aixe,45.81960174359,1.0825765641026
34028,87,87178,87480,Saint-Priest-Taurion,saint priest taurion,45.900506792453,1.401526163522
34029,87,87179,87210,Saint-Sornin-la-Marche,saint sornin la marche,46.191712627119,0.98575826271186
34030,87,87180,87290,Saint-Sornin-Leulac,saint sornin leulac,46.197935154394,1.3035545130641
34031,87,87181,87370,Saint-Sulpice-Laurière,saint sulpice lauriere,46.056290721154,1.4770604326923
34032,87,87182,87160,Saint-Sulpice-les-Feuilles,saint sulpice les feuilles,46.313240837989,1.3981635195531
34033,87,87183,87240,Saint-Sylvestre,saint sylvestre,45.989418683603,1.3640951501155
34034,87,87184,87140,Saint-Symphorien-sur-Couze,saint symphorien sur couze,46.055978862661,1.2385711158798
34035,87,87185,87420,Saint-Victurnien,saint victurnien,45.879470983213,1.0301868585132
34036,87,87186,87380,Saint-Vitte-sur-Briance,saint vitte sur briance,45.626413374233,1.5320368711656
34037,87,87187,87500,Saint-Yrieix-la-Perche,saint yrieix la perche,45.525611078611,1.2047672029251
