,,,,-LOIRET,,,
16916,45,45152,45310,Gémigny,gemigny,47.958347377049,1.701342295082
16917,45,45153,45110,Germigny-des-Prés,germigny des pres,47.839360655738,2.2705329508197
16918,45,45154,45520,Gidy,gidy,47.994506790123,1.8409738271605
16919,45,45155,45500,Gien,gien,47.709032156863,2.6700931372549
16920,45,45156,45120,Girolles,girolles,48.07116939759,2.7246660240964
16921,45,45157,45300,Givraines,givraines,48.151778571429,2.3855062337662
16922,45,45158,45490,Gondreville,gondreville,48.051435454545,2.6521879545454
16923,45,45159,45390,Grangermont,grangermont,48.189290655738,2.4245627868853
16924,45,45160,45480,Greneville-en-Beauce,greneville en beauce,48.1891131,2.1164679
16925,45,45161,45210,Griselles,griselles,48.077954634146,2.8407771544715
16926,45,45162,45300,Guigneville,guigneville,48.211465670103,2.1757046391753
16927,45,45164,45600,Guilly,guilly,47.800990631579,2.2669523157895
16928,45,45165,45220,Gy-les-Nonains,gy les nonains,47.934192926829,2.8433665853659
16929,45,45166,45520,Huêtre,huetre,48.023836829268,1.8003073170732
16930,45,45167,45130,Huisseau-sur-Mauves,huisseau sur mauves,47.887537843137,1.6908405228758
16931,45,45168,45450,Ingrannes,ingrannes,47.986607592593,2.217954537037
16932,45,45169,45140,Ingré,ingre,47.918088267717,1.8235978740157
16933,45,45170,45300,Intville-la-Guétard,intville la guetard,48.254662432432,2.2204591891892
16934,45,45171,45620,Isdes,isdes,47.663966666667,2.2545554545455
16935,45,45173,45150,Jargeau,jargeau,47.853684177215,2.1056002531646
16936,45,45174,45480,Jouy-en-Pithiverais,jouy en pithiverais,48.152202285714,2.1347534285714
16937,45,45175,45370,Jouy-le-Potier,jouy le potier,47.745676619718,1.815734600939
16938,45,45176,45340,Juranville,juranville,48.061666513761,2.4832690825688
16939,45,45177,45300,Laas,laas,48.118386097561,2.2161956097561
16940,45,45178,45270,Ladon,ladon,48.007580769231,2.5297652884615
16941,45,45179,45740,Lailly-en-Val,lailly en val,47.750659738562,1.7026967320261
16942,45,45180,45290,Langesse,langesse,47.821380941176,2.6537322352941
16943,45,45181,45480,Léouville,leouville,48.221534827586,2.0925934482759
16944,45,45182,45240,Ligny-le-Ribault,ligny le ribault,47.680023592814,1.8001523952096
16945,45,45183,45410,Lion-en-Beauce,lion en beauce,48.129702888889,1.9309246666667
16946,45,45184,45600,Lion-en-Sullias,lion en sullias,47.7203432,2.480065
16947,45,45185,45700,Lombreuil,lombreuil,47.942545,2.6238418965517
16948,45,45186,45490,Lorcy,lorcy,48.044947862595,2.5262645038168
16949,45,45187,45260,Lorris,lorris,47.878986391753,2.5139921649485
16950,45,45188,45470,Loury,loury,48.0078089375,2.0939636875
16951,45,45189,45210,Louzouer,louzouer,48.034098831169,2.8726016883117
16952,45,45191,45300,Le Malesherbois,le malesherbois,48.24038,2.34093
16953,45,45191,45330,Le Malesherbois,le malesherbois,48.24038,2.34093
16954,45,45193,45240,Marcilly-en-Villette,marcilly en villette,47.77402837963,2.033240787037
16955,45,45194,45430,Mardié,mardie,47.902771391304,2.0669393913043
16956,45,45195,45300,Mareau-aux-Bois,mareau aux bois,48.098657386364,2.1876705681818
16957,45,45196,45370,Mareau-aux-Prés,mareau aux pres,47.842301834862,1.7686347706422
16958,45,45197,45760,Marigny-les-Usages,marigny les usages,47.958393333333,2.0123363333333
16959,45,45198,45300,Marsainvilliers,marsainvilliers,48.211248627451,2.2737290196078
16960,45,45199,45220,Melleroy,melleroy,47.89217,2.9524860869565
16961,45,45200,45240,Ménestreau-en-Villette,menestreau en villette,47.706056090535,2.0254429218107
16962,45,45201,45210,Mérinville,merinville,48.09385010101,2.9469618181818
16963,45,45202,45190,Messas,messas,47.808192954545,1.6363420454545
16964,45,45203,45130,Meung-sur-Loire,meung sur loire,47.846178032787,1.6933359836066
16965,45,45204,45370,Mézières-lez-Cléry,mezieres lez clery,47.811303944954,1.8163260550459
16966,45,45205,45270,Mézières-en-Gâtinais,mezieres en gatinais,48.028154146341,2.4817193902439
16967,45,45206,45490,Mignères,migneres,48.04782875,2.62464125
16968,45,45207,45490,Mignerette,mignerette,48.059697142857,2.6007461904762
16969,45,45208,45200,Montargis,montargis,47.996378392857,2.7365496428571
16970,45,45209,45340,Montbarrois,montbarrois,48.046902741935,2.3956993548387
16971,45,45210,45230,Montbouy,montbouy,47.863749487179,2.8331161538462
16972,45,45212,45700,Montcresson,montcresson,47.91816734375,2.80810109375
16973,45,45213,45260,Montereau,montereau,47.847821681416,2.5883536283186
16974,45,45214,45170,Montigny,montigny,48.108747567568,2.1164291891892
16975,45,45215,45340,Montliard,montliard,48.017634615385,2.4006613846154
16976,45,45216,45700,Mormant-sur-Vernisson,mormant sur vernisson,47.939451217391,2.7259393043478
16977,45,45217,45300,Morville-en-Beauce,morville en beauce,48.257806363636,2.1563721818182
16978,45,45218,45290,Le Moulinet-sur-Solin,le moulinet sur solin,47.825117474747,2.6174967676768
16979,45,45219,45270,Moulon,moulon,48.016171486487,2.5964521621622
16980,45,45220,45340,Nancray-sur-Rimarde,nancray sur rimarde,48.065239462366,2.3185131182796
16981,45,45222,45210,Nargis,nargis,48.105864,2.748230952381
16982,45,45223,45270,Nesploy,nesploy,47.998234868421,2.3718553947368
16983,45,45224,45170,Neuville-aux-Bois,neuville aux bois,48.062010561798,2.0681946067416
16984,45,45225,45390,La Neuville-sur-Essonne,la neuville sur essonne,48.181205376344,2.3750604301075
16985,45,45226,45510,Neuvy-en-Sullias,neuvy en sullias,47.777901610738,2.2435027516779
16986,45,45227,45500,Nevoy,nevoy,47.732763333333,2.5864701075269
16987,45,45228,45340,Nibelle,nibelle,48.020760379747,2.3248302531646
16988,45,45229,45290,Nogent-sur-Vernisson,nogent sur vernisson,47.837543203125,2.716144609375
16989,45,45230,45260,Noyers,noyers,47.90896184,2.53651168
16990,45,45231,45170,Oison,oison,48.133600169492,1.9778010169492
16991,45,45232,45160,Olivet,olivet,47.859372833333,1.89882575
16992,45,45233,45390,Ondreville-sur-Essonne,ondreville sur essonne,48.198061363636,2.4146409090909
16993,45,45234,45000,Orléans,orleans,47.9108329,1.9157977
16994,45,45234,45100,Orléans,orleans,47.84133,1.9326591
16995,45,45235,45140,Ormes,ormes,47.9423199,1.8039335
16996,45,45237,45390,Orville,orville,48.24312390625,2.4510540625
16997,45,45238,45250,Ousson-sur-Loire,ousson sur loire,47.601966037736,2.7988560377358
16998,45,45239,45290,Oussoy-en-Gâtinais,oussoy en gatinais,47.901977619048,2.6414162857143
16999,45,45240,45480,Outarville,outarville,48.214399620253,2.0176831012658
17000,45,45241,45150,Ouvrouer-les-Champs,ouvrouer les champs,47.832237192982,2.1759728070175
17001,45,45242,45290,Ouzouer-des-Champs,ouzouer des champs,47.874815934066,2.7048556043956
17002,45,45243,45270,Ouzouer-sous-Bellegarde,ouzouer sous bellegarde,47.989529892473,2.4833083870968
17003,45,45244,45570,Ouzouer-sur-Loire,ouzouer sur loire,47.774675,2.4767434722222
17004,45,45245,45250,Ouzouer-sur-Trézée,ouzouer sur trezee,47.68044287234,2.8179096276596
17005,45,45246,45300,Pannecières,pannecieres,48.295846,2.1456044444445
17006,45,45247,45700,Pannes,pannes,48.006736052632,2.6745519736842
17007,45,45248,45310,Patay,patay,48.051140153846,1.6991903076923
17008,45,45249,45200,Paucourt,paucourt,48.0438112,2.78798
17009,45,45250,45210,Pers-en-Gâtinais,pers en gatinais,48.115819242424,2.9050325757576
17010,45,45251,45360,Pierrefitte-ès-Bois,pierrefitte es bois,47.512552086331,2.7009266906475
17011,45,45252,45300,Pithiviers,pithiviers,48.177558441558,2.253164025974
17012,45,45253,45300,Pithiviers-le-Vieil,pithiviers le vieil,48.17318038961,2.202613051948
17013,45,45254,45500,Poilly-lez-Gien,poilly lez gien,47.651747567568,2.5981988288288
17014,45,45255,45490,Préfontaines,prefontaines,48.109080327869,2.6860263934426
17015,45,45256,45260,Presnoy,presnoy,47.957467411765,2.5568983529412
17016,45,45257,45290,Pressigny-les-Pins,pressigny les pins,47.878626538462,2.7586415384615
17017,45,45258,45390,Puiseaux,puiseaux,48.21056125,2.46531625
17018,45,45259,45270,Quiers-sur-Bézonde,quiers sur bezonde,47.984503290323,2.4297054193548
17019,45,45260,45300,Ramoulu,ramoulu,48.231440138889,2.3055708333333
17020,45,45261,45470,Rebréchien,rebrechien,47.9911876,2.0323304
17021,45,45262,45310,Rouvray-Sainte-Croix,rouvray sainte croix,48.0605925,1.7341848529412
17022,45,45263,45300,Rouvres-Saint-Jean,rouvres saint jean,48.326826960784,2.2142870588235
17023,45,45264,45130,Rozières-en-Beauce,rozieres en beauce,47.94083078125,1.709568125
17024,45,45265,45210,Rozoy-le-Vieil,rozoy le vieil,48.116194285714,2.9563878571429
17025,45,45266,45410,Ruan,ruan,48.111462162162,1.9272236486487
17026,45,45268,45600,Saint-Aignan-le-Jaillard,saint aignan le jaillard,47.726138148148,2.4233424691358
17027,45,45269,45130,Saint-Ay,saint ay,47.867976612903,1.7474608064516
17028,45,45270,45730,Saint-Benoît-sur-Loire,saint benoit sur loire,47.815325844156,2.3164258441558
17029,45,45271,45500,Saint-Brisson-sur-Loire,saint brisson sur loire,47.633339435484,2.6667103225806
17030,45,45272,45590,Saint-Cyr-en-Val,saint cyr en val,47.817418421053,1.9564107894737
17031,45,45273,45550,Saint-Denis-de-l'Hôtel,saint denis de l hotel,47.886561891892,2.1508996396396
17032,45,45274,45560,Saint-Denis-en-Val,saint denis en val,47.88663,1.96970484375
17033,45,45275,45220,Saint-Firmin-des-Bois,saint firmin des bois,47.970401126761,2.9057604929578
17034,45,45276,45360,Saint-Firmin-sur-Loire,saint firmin sur loire,47.598208651685,2.6865253932584
17035,45,45277,45600,Saint-Florent,saint florent,47.688959741379,2.4555164655172
17036,45,45278,45230,Sainte-Geneviève-des-Bois,sainte genevieve des bois,47.821723262411,2.8166342553191
