,,,,-HAUTE-SAONE,,,
27962,70,70119,70150,Chambornay-lès-Pin,chambornay les pin,47.338007722772,5.9083146534654
27963,70,70120,70290,Champagney,champagney,47.69783275,6.6864423
27964,70,70121,70400,Champey,champey,47.591570338983,6.6809004237288
27965,70,70122,70600,Champlitte,champlitte,47.63556185654,5.5192534177215
27966,70,70124,70100,Champtonnay,champtonnay,47.377997142857,5.662808021978
27967,70,70125,70100,Champvans,champvans,47.395015426357,5.5907942635659
27968,70,70126,70140,Chancey,chancey,47.323798765432,5.6769675308642
27969,70,70127,70360,Chantes,chantes,47.620924133333,5.9233986666667
27970,70,70128,70300,La Chapelle-lès-Luxeuil,la chapelle les luxeuil,47.7709941,6.38211385
27971,70,70129,70700,La Chapelle-Saint-Quillain,la chapelle saint quillain,47.487601940299,5.814616119403
27972,70,70130,70700,Charcenne,charcenne,47.37030287234,5.7823619148936
27973,70,70132,70100,Chargey-lès-Gray,chargey les gray,47.48772112426,5.5661085798817
27974,70,70133,70170,Chargey-lès-Port,chargey les port,47.73026518797,6.0018209022556
27975,70,70134,70000,Chariez,chariez,47.62265027027,6.0755862837838
27976,70,70135,70120,Charmes-Saint-Valbert,charmes saint valbert,47.727935263158,5.7101454385965
27977,70,70136,70000,Charmoille,charmoille,47.670837951807,6.112243373494
27978,70,70137,70230,Chassey-lès-Montbozon,chassey les montbozon,47.518471981132,6.3274250943396
27979,70,70138,70360,Chassey-lès-Scey,chassey les scey,47.642406477273,5.9832060227273
27980,70,70140,70240,Châteney,chateney,47.697251176471,6.3201080392157
27981,70,70141,70240,Châtenois,chatenois,47.681739375,6.3148835416667
27982,70,70142,70140,Chaumercenne,chaumercenne,47.298598823529,5.6271975
27983,70,70143,70500,Chauvirey-le-Châtel,chauvirey le chatel,47.78842626943,5.7508787046632
27984,70,70144,70500,Chauvirey-le-Vieil,chauvirey le vieil,47.784714123711,5.7621872164948
27985,70,70145,70190,Chaux-la-Lotière,chaux la lotiere,47.384284761905,5.972290952381
27986,70,70146,70170,Chaux-lès-Port,chaux les port,47.717961612903,6.0474396774193
