,,,,-VAR,,,
33110,83,83110,83170,Rougiers,rougiers,43.38822254902,5.855468496732
33111,83,83111,83136,Sainte-Anastasie-sur-Issole,sainte anastasie sur issole,43.335333176471,6.1258305882353
33112,83,83112,83270,Saint-Cyr-sur-Mer,saint cyr sur mer,43.162549696049,5.7050595136778
33113,83,83113,83560,Saint-Julien,saint julien,43.709081037736,5.9107996226415
33114,83,83114,83560,Saint-Martin-de-Pallières,saint martin de pallieres,43.578146884058,5.8822203623188
33115,83,83115,83120,Sainte-Maxime,sainte maxime,43.348829259259,6.6117991666667
33116,83,83116,83470,Saint-Maximin-la-Sainte-Baume,saint maximin la sainte baume,43.442153621399,5.8688438683128
33117,83,83117,83440,Saint-Paul-en-Forêt,saint paul en foret,43.564906024845,6.6811393167702
33118,83,83118,83530,Saint-Raphaël,saint raphael,43.42519,6.76837
33119,83,83118,83700,Saint-Raphaël,saint raphael,43.4615956,6.8458204
33120,83,83119,83990,Saint-Tropez,saint tropez,43.26580664,6.66225064
33121,83,83120,83640,Saint-Zacharie,saint zacharie,43.37962313253,5.7208240963855
33122,83,83121,83690,Salernes,salernes,43.56006826087,6.2341106521739
33123,83,83122,83630,Les Salles-sur-Verdon,les salles sur verdon,43.764574705882,6.2106252941176
33124,83,83123,83110,Sanary-sur-Mer,sanary sur mer,43.129092571429,5.7868578367347
33125,83,83124,83440,Seillans,seillans,43.626632045455,6.6092959595959
33126,83,83125,83470,Seillons-Source-d'Argens,seillons source d argens,43.507662298851,5.8828687356322
33127,83,83126,83500,La Seyne-sur-Mer,la seyne sur mer,43.0839982263,5.8845264831804
33128,83,83127,83870,Signes,signes,43.288920728477,5.8523484768212
33129,83,83128,83690,Sillans-la-Cascade,sillans la cascade,43.571052068966,6.1670640517241
33130,83,83129,83140,Six-Fours-les-Plages,six fours les plages,43.079227960289,5.802305631769
33131,83,83130,83210,Solliès-Pont,sollies pont,43.19439890511,6.0593898540146
33132,83,83131,83210,Solliès-Toucas,sollies toucas,43.211263787879,6.0042424242424
33133,83,83132,83210,Solliès-Ville,sollies ville,43.176280108696,6.0287863043478
33134,83,83133,83440,Tanneron,tanneron,43.583754734848,6.8558121590909
33135,83,83134,83460,Taradeau,taradeau,43.465437948718,6.4313823076923
33136,83,83135,83670,Tavernes,tavernes,43.593683623188,6.0199743478261
33137,83,83136,83340,Le Thoronet,le thoronet,43.462846282051,6.2869183333333
33138,83,83137,83000,Toulon,toulon,43.1146883,5.9488975
33139,83,83137,83100,Toulon,toulon,43.128083,5.9700399
33140,83,83137,83200,Toulon,toulon,43.1663658,5.9304039
33141,83,83138,83440,Tourrettes,tourrettes,43.614119396985,6.7250910552764
33142,83,83139,83690,Tourtour,tourtour,43.594758166667,6.3136825
33143,83,83140,83170,Tourves,tourves,43.41810421801,5.9079395260664
33144,83,83141,83720,Trans-en-Provence,trans en provence,43.506017479675,6.4950626829268
33145,83,83142,83840,Trigance,trigance,43.744434978166,6.4337141921397
33146,83,83143,83143,Le Val,le val,43.449754646465,6.0667714141414
33147,83,83144,83160,La Valette-du-Var,la valette du var,43.14941697479,5.9876472268908
33148,83,83145,83670,Varages,varages,43.593025286624,5.9459237579618
33149,83,83146,83560,La Verdière,la verdiere,43.642996770833,5.9418817708333
33150,83,83147,83630,Vérignon,verignon,43.655354444444,6.2743638461539
33151,83,83148,83550,Vidauban,vidauban,43.40333426087,6.4546674782609
33152,83,83149,83690,Villecroze,villecroze,43.559538372093,6.2798174418605
33153,83,83150,83560,Vinon-sur-Verdon,vinon sur verdon,43.717591304348,5.8151984057971
33154,83,83151,83170,Vins-sur-Caramy,vins sur caramy,43.430998636364,6.1487832575758
33155,83,83152,83820,Rayol-Canadel-sur-Mer,rayol canadel sur mer,43.159231262136,6.4737830097087
33156,83,83153,83430,Saint-Mandrier-sur-Mer,saint mandrier sur mer,43.078267394366,5.9255279577465
33157,83,83154,83510,Saint-Antonin-du-Var,saint antonin du var,43.504048157895,6.2868876973684
