id,department_code,insee_code,zip_code,-ESSONNE,slug,gps_lat,gps_lng
35280,91,91649,91710,Vert-le-Petit,vert le petit,48.550928734177,2.3697437974684
35281,91,91654,91890,Videlles,videlles,48.467396027397,2.419982739726
35282,91,91657,91270,Vigneux-sur-Seine,vigneux sur seine,48.704445081967,2.4340445901639
35283,91,91659,91100,Villabé,villabe,48.585040625,2.455778875
35284,91,91661,91140,Villebon-sur-Yvette,villebon sur yvette,48.69790546875,2.236969609375
35285,91,91662,91580,Villeconin,villeconin,48.498224324324,2.1260992792793
35286,91,91665,91620,La Ville-du-Bois,la ville du bois,48.660388965517,2.2617596551724
35287,91,91666,91140,Villejust,villejust,48.678577972973,2.222795
35288,91,91667,91360,Villemoisson-sur-Orge,villemoisson sur orge,48.663357647059,2.3279605882353
35289,91,91671,91580,Villeneuve-sur-Auvers,villeneuve sur auvers,48.468270898876,2.2571559550562
35290,91,91679,91190,Villiers-le-Bâcle,villiers le bacle,48.726773037975,2.1196048101266
35291,91,91685,91700,Villiers-sur-Orge,villiers sur orge,48.657621875,2.2986515625
35292,91,91687,91170,Viry-Châtillon,viry chatillon,48.669459019608,2.3692503921569
35293,91,91689,91320,Wissous,wissous,48.733213333333,2.3293809876543
35294,91,91691,91330,Yerres,yerres,48.7132115625,2.4903982291667
35295,91,91692,91940,Les Ulis,les ulis,48.681628278689,2.1830018852459
