,,,,-INDRE,,,
13947,36,36137,36220,Néons-sur-Creuse,neons sur creuse,46.733939107143,0.91413133928571
13948,36,36138,36400,Néret,neret,46.568442063492,2.1414384126984
13949,36,36139,36500,Neuillay-les-Bois,neuillay les bois,46.76037440678,1.4741981694915
13950,36,36140,36100,Neuvy-Pailloux,neuvy pailloux,46.90485029703,1.8727177227723
13951,36,36141,36230,Neuvy-Saint-Sépulchre,neuvy saint sepulchre,46.600151447368,1.8032806578947
13952,36,36142,36250,Niherne,niherne,46.805021822917,1.5550922395833
13953,36,36143,36400,Nohant-Vic,nohant vic,46.649888598131,1.9573321495327
13954,36,36144,36800,Nuret-le-Ferron,nuret le ferron,46.687413370786,1.4237302808989
13955,36,36145,36290,Obterre,obterre,46.917897125,1.069928
13956,36,36146,36190,Orsennes,orsennes,46.48641482866,1.6943056386293
13957,36,36147,36210,Orville,orville,47.149886065574,1.7860336065574
13958,36,36148,36800,Oulches,oulches,46.602530897436,1.3082178205128
13959,36,36149,36500,Palluau-sur-Indre,palluau sur indre,46.943894414414,1.3044726126126
13960,36,36150,36170,Parnac,parnac,46.439851132597,1.4703252762431
13961,36,36152,36260,Paudy,paudy,47.03299617284,1.9268971604938
13962,36,36153,36290,Paulnay,paulnay,46.865318070175,1.1589035964912
13963,36,36154,36200,Le Pêchereau,le pechereau,46.58154556701,1.5732832989691
13964,36,36155,36180,Pellevoisin,pellevoisin,46.989099519231,1.42496625
13965,36,36156,36160,Pérassay,perassay,46.479703275109,2.139685720524
13966,36,36157,36350,La Pérouille,la perouille,46.719388453608,1.5101974226804
13967,36,36158,36200,Badecon-le-Pin,badecon le pin,46.531074186047,1.6035279844961
13968,36,36159,36330,Le Poinçonnet,le poinconnet,46.771783576642,1.7341588321168
13969,36,36160,36190,Pommiers,pommiers,46.513904534161,1.652761863354
13970,36,36161,36800,Le Pont-Chrétien-Chabenet,le pont chretien chabenet,46.628220348837,1.5003925581395
13971,36,36162,36210,Poulaines,poulaines,47.1511696875,1.63270859375
13972,36,36163,36160,Pouligny-Notre-Dame,pouligny notre dame,46.4773562,2.0123426
13973,36,36164,36160,Pouligny-Saint-Martin,pouligny saint martin,46.518404693878,2.00676
13974,36,36165,36300,Pouligny-Saint-Pierre,pouligny saint pierre,46.686386242775,1.0501584393064
13975,36,36166,36240,Préaux,preaux,47.04389,1.2996189308176
13976,36,36167,36220,Preuilly-la-Ville,preuilly la ville,46.696204893617,0.97852340425532
13977,36,36168,36370,Prissac,prissac,46.511606495177,1.29537414791
13978,36,36169,36120,Pruniers,pruniers,46.763200688073,2.0676185321101
13979,36,36170,36150,Reboursin,reboursin,47.106852027027,1.8086422972973
13980,36,36171,36260,Reuilly,reuilly,47.088428920455,2.014309375
13981,36,36172,36800,Rivarennes,rivarennes,46.620950231214,1.3826887283237
13982,36,36173,36300,Rosnay,rosnay,46.712907009346,1.2205106853583
13983,36,36174,36170,Roussines,roussines,46.462023455285,1.3711628455285
13984,36,36175,36110,Rouvres-les-Bois,rouvres les bois,47.076604336283,1.6648207079646
13985,36,36176,36300,Ruffec,ruffec,46.628878862275,1.1844313173653
13986,36,36177,36170,Sacierges-Saint-Martin,sacierges saint martin,46.504526666667,1.3637807692308
13987,36,36178,36300,Saint-Aigny,saint aigny,46.635986836735,1.0042231632653
13988,36,36179,36100,Saint-Aoustrille,saint aoustrille,46.932090153846,1.9332490769231
13989,36,36180,36120,Saint-Août,saint aout,46.734645639535,1.972064127907
13990,36,36181,36100,Saint-Aubin,saint aubin,46.854137313433,2.0416185074627
13991,36,36182,36170,Saint-Benoît-du-Sault,saint benoit du sault,46.445651688312,1.398702987013
13992,36,36184,36400,Saint-Chartier,saint chartier,46.673116554622,1.9785157142857
13993,36,36185,36210,Saint-Christophe-en-Bazelle,saint christophe en bazelle,47.186870140845,1.7165722535211
13994,36,36186,36400,Saint-Christophe-en-Boucherie,saint christophe en boucherie,46.672303057325,2.1197100636943
13995,36,36187,36170,Saint-Civran,saint civran,46.490528560606,1.4014581060606
13996,36,36188,36700,Saint-Cyran-du-Jambot,saint cyran du jambot,47.014957462687,1.1494584328358
13997,36,36189,36230,Saint-Denis-de-Jouhet,saint denis de jouhet,46.525055028571,1.8555512571429
13998,36,36190,36100,Sainte-Fauste,sainte fauste,46.849107747748,1.8791071171171
13999,36,36191,36150,Saint-Florentin,saint florentin,47.093248453608,1.7852426804124
14000,36,36192,36800,Saint-Gaultier,saint gaultier,46.649404901961,1.4292560784314
14001,36,36193,36500,Sainte-Gemme,sainte gemme,46.853641443299,1.3307177835052
14002,36,36194,36500,Saint-Genou,saint genou,46.921814719101,1.3563434831461
14003,36,36195,36100,Saint-Georges-sur-Arnon,saint georges sur arnon,46.990436021505,2.0681489247312
14004,36,36196,36170,Saint-Gilles,saint gilles,46.478436352941,1.4504858823529
14005,36,36197,36370,Saint-Hilaire-sur-Benaize,saint hilaire sur benaize,46.55919508982,1.070365748503
14006,36,36198,36500,Saint-Lactencin,saint lactencin,46.898335037594,1.5073538345865
14007,36,36199,36260,Sainte-Lizaigne,sainte lizaigne,47.009625047619,2.0118354285714
14008,36,36200,36200,Saint-Marcel,saint marcel,46.613156569343,1.5173987591241
14009,36,36202,36250,Saint-Maur,saint maur,46.803887343173,1.6271754243542
14010,36,36203,36700,Saint-Médard,saint medard,47.003453333333,1.2616557142857
14011,36,36204,36290,Saint-Michel-en-Brenne,saint michel en brenne,46.787981417004,1.1762506072875
14012,36,36205,36260,Saint-Pierre-de-Jards,saint pierre de jards,47.105879042553,1.9818121276596
14013,36,36206,36110,Saint-Pierre-de-Lamps,saint pierre de lamps,46.962666285714,1.5246028571429
14014,36,36207,36190,Saint-Plantaire,saint plantaire,46.431032864583,1.6418935416667
14015,36,36208,36160,Sainte-Sévère-sur-Indre,sainte severe sur indre,46.49809959276,2.0649307692308
14016,36,36209,36100,Saint-Valentin,saint valentin,46.954958363636,1.8717133636364
14017,36,36210,36230,Sarzay,sarzay,46.595467592593,1.916172037037
14018,36,36211,36120,Sassierges-Saint-Germain,sassierges saint germain,46.758106460177,1.8990878761062
14019,36,36212,36290,Saulnay,saulnay,46.866465833333,1.2650717708333
14020,36,36213,36220,Sauzelles,sauzelles,46.652025384615,0.98444197802198
14021,36,36214,36160,Sazeray,sazeray,46.448570431655,2.0432830215827
14022,36,36215,36100,Ségry,segry,46.869209058824,2.0906456470588
14023,36,36216,36180,Selles-sur-Nahon,selles sur nahon,47.018346517857,1.4574509821429
14024,36,36217,36210,Sembleçay,semblecay,47.221270756303,1.6899408403361
14025,36,36218,36500,Sougé,souge,46.962527586207,1.4716301724138
14026,36,36219,36200,Tendu,tendu,46.644038907104,1.5616287431694
14027,36,36220,36800,Thenay,thenay,46.597418024691,1.4298059259259
14028,36,36221,36400,Thevet-Saint-Julien,thevet saint julien,46.638000855615,2.0660059893048
14029,36,36222,36100,Thizay,thizay,46.907107889908,1.9385689908257
14030,36,36223,36310,Tilly,tilly,46.404392642857,1.2144037142857
14031,36,36224,36220,Tournon-Saint-Martin,tournon saint martin,46.729694677419,0.9844339516129
14032,36,36225,36700,Le Tranger,le tranger,46.968185217391,1.2408134161491
14033,36,36226,36230,Tranzault,tranzault,46.623695445545,1.8360291089109
14034,36,36227,36160,Urciers,urciers,46.52669504,2.14894896
14035,36,36228,36600,Valençay,valencay,47.148618315217,1.5784095652174
14036,36,36229,36210,Val-Fouzon,val fouzon,47.207296688312,1.6397755844156
14037,36,36230,36150,Vatan,vatan,47.061611171875,1.823655859375
14038,36,36231,36330,Velles,velles,46.699365746269,1.6421157462687
