,,,,-HERAULT,,,
13285,34,34169,34980,Montferrier-sur-Lez,montferrier sur lez,43.666473369565,3.8648382608696
13286,34,34170,34310,Montouliers,montouliers,43.334780153846,2.9034275384615
13287,34,34171,34190,Montoulieu,montoulieu,43.920973452381,3.7998670238095
13288,34,34172,34000,Montpellier,montpellier,43.6047275,3.9011747
13289,34,34172,34070,Montpellier,montpellier,43.5968596,3.8502617
13290,34,34172,34080,Montpellier,montpellier,43.6167208,3.8299106
13291,34,34172,34090,Montpellier,montpellier,43.6348676,3.8604402
13292,34,34173,34150,Montpeyroux,montpeyroux,43.707756878981,3.4981819745223
13293,34,34174,34190,Moulès-et-Baucels,moules et baucels,43.948384220183,3.7529021100917
13294,34,34175,34800,Mourèze,moureze,43.614790892857,3.3498659821429
13295,34,34176,34130,Mudaison,mudaison,43.641817468354,4.0394246835443
13296,34,34177,34980,Murles,murles,43.699547575758,3.752865030303
13297,34,34178,34490,Murviel-lès-Béziers,murviel les beziers,43.458669572954,3.1388083629893
13298,34,34179,34570,Murviel-lès-Montpellier,murviel les montpellier,43.608343333333,3.7427217829457
13299,34,34180,34800,Nébian,nebian,43.59854795082,3.4369203278689
13300,34,34181,34320,Neffiès,neffies,43.53807453125,3.3389771875
13301,34,34182,34120,Nézignan-l'Évêque,nezignan l eveque,43.423398735632,3.4028166666667
13302,34,34183,34440,Nissan-lez-Enserune,nissan lez enserune,43.283947684211,3.1186708421053
13303,34,34184,34320,Nizas,nizas,43.515171264368,3.4166622988506
13304,34,34185,34380,Notre-Dame-de-Londres,notre dame de londres,43.826737121212,3.7601184848485
13305,34,34186,34800,Octon,octon,43.661667696335,3.2888096858639
13306,34,34187,34390,Olargues,olargues,43.54436591133,2.912984729064
13307,34,34188,34700,Olmet-et-Villecun,olmet et villecun,43.709861449275,3.3063897101449
13308,34,34189,34210,Olonzac,olonzac,43.284267108434,2.7377763855422
13309,34,34190,34210,Oupia,oupia,43.290249569892,2.7725275268817
13310,34,34191,34490,Pailhès,pailhes,43.439085794392,3.1827414953271
13311,34,34192,34250,Palavas-les-Flots,palavas les flots,43.530921976048,3.9433986826347
13312,34,34193,34360,Pardailhan,pardailhan,43.445741989796,2.8404244897959
13313,34,34194,34230,Paulhan,paulhan,43.539101938775,3.4591315306122
13314,34,34195,34380,Pégairolles-de-Buèges,pegairolles de bueges,43.804428352941,3.5796878823529
13315,34,34196,34700,Pégairolles-de-l'Escalette,pegairolles de l escalette,43.805527826087,3.3278994927536
13316,34,34197,34800,Péret,peret,43.574161550388,3.3996494573643
13317,34,34198,34470,Pérols,perols,43.565098636364,3.9441947727273
13318,34,34199,34120,Pézenas,pezenas,43.458143858696,3.4195235869565
13319,34,34200,34600,Pézènes-les-Mines,pezenes les mines,43.603853723404,3.2445674468085
13320,34,34201,34360,Pierrerue,pierrerue,43.444250666667,2.9560222222222
13321,34,34202,34570,Pignan,pignan,43.590380883978,3.7478348618785
13322,34,34203,34850,Pinet,pinet,43.406329016393,3.5123716393443
13323,34,34204,34230,Plaissan,plaissan,43.561309375,3.5284903125
13324,34,34205,34700,Les Plans,les plans,43.754124122137,3.2687507633588
13325,34,34206,34310,Poilhes,poilhes,43.304849444444,3.0906394444444
13326,34,34207,34810,Pomérols,pomerols,43.395951779141,3.5142214723926
13327,34,34208,34230,Popian,popian,43.6213355,3.5334878333333
13328,34,34209,34420,Portiragnes,portiragnes,43.307571046512,3.3431295348837
13329,34,34210,34230,Le Pouget,le pouget,43.592486923077,3.5202833846154
13330,34,34211,34600,Le Poujol-sur-Orb,le poujol sur orb,43.583948846154,3.0557292307692
13331,34,34212,34700,Poujols,poujols,43.771971014493,3.3193298550725
13332,34,34213,34560,Poussan,poussan,43.493130839161,3.6700625174825
13333,34,34214,34480,Pouzolles,pouzolles,43.481352358491,3.2739896226415
13334,34,34215,34230,Pouzols,pouzols,43.620589,3.5117001666667
13335,34,34216,34600,Le Pradal,le pradal,43.629606153846,3.0984429230769
13336,34,34217,34730,Prades-le-Lez,prades le lez,43.707432931034,3.8654893965517
13337,34,34218,34360,Prades-sur-Vernazobre,prades sur vernazobre,43.45868863354,2.9811629813665
13338,34,34219,34390,Prémian,premian,43.539410978261,2.818257826087
13339,34,34220,34700,Le Puech,le puech,43.683623846154,3.3278988461538
13340,34,34221,34150,Puéchabon,puechabon,43.722794533333,3.604586
13341,34,34222,34230,Puilacher,puilacher,43.565234814815,3.5068801851852
