id,department_code,insee_code,zip_code,-CALVADOS,slug,gps_lat,gps_lng
4952,14,14625,14100,Saint-Martin-de-la-Lieue,saint martin de la lieue,49.109751627907,0.22571503875969
4953,14,14626,14100,Saint-Martin-de-Mailloc,saint martin de mailloc,49.088972016129,0.28675822580645
4954,14,14627,14700,Saint-Martin-de-Mieux,saint martin de mieux,48.875015490196,-0.24279496732026
4955,14,14630,14400,Saint-Martin-des-Entrées,saint martin des entrees,49.256291578947,-0.66792802631579
4956,14,14635,14220,Saint-Omer,saint omer,48.930961008403,-0.44872529411765
4957,14,14637,14670,Saint-Ouen-du-Mesnil-Oger,saint ouen du mesnil oger,49.157211473684,-0.115544
4958,14,14639,14340,Saint-Ouen-le-Pin,saint ouen le pin,49.15023776699,0.10056359223301
4959,14,14640,14670,Saint-Pair,saint pair,49.166688269231,-0.18567596153846
4960,14,14643,14490,Saint-Paul-du-Vernay,saint paul du vernay,49.196784322917,-0.75757859375
4961,14,14644,14130,Saint-Philbert-des-Champs,saint philbert des champs,49.214438842105,0.268257
4962,14,14645,14950,Saint-Pierre-Azif,saint pierre azif,49.293399038462,0.03532153846154
4963,14,14646,14700,Saint-Pierre-Canivet,saint pierre canivet,48.924631060606,-0.22235772727273
4964,14,14648,14100,Saint-Pierre-des-Ifs,saint pierre des ifs,49.115298021978,0.16609989010989
4965,14,14649,14700,Saint-Pierre-du-Bû,saint pierre du bu,48.866067142857,-0.20168779220779
4966,14,14650,14260,Saint-Pierre-du-Fresne,saint pierre du fresne,49.032551168831,-0.76827493506493
4967,14,14651,14670,Saint-Pierre-du-Jonquet,saint pierre du jonquet,49.16390407767,-0.14339776699029
4968,14,14652,14450,Saint-Pierre-du-Mont,saint pierre du mont,49.379106145833,-0.97752708333333
4969,14,14654,14140,Saint-Pierre-en-Auge,saint pierre en auge,49.0178749,-0.031555
4970,14,14654,14170,Saint-Pierre-en-Auge,saint pierre en auge,49.0178749,-0.031555
4971,14,14656,14570,Saint-Rémy,saint remy,48.94102125,-0.48609958333333
4972,14,14657,14670,Saint-Samson,saint samson,49.1912014,-0.1538132
4973,14,14658,14380,Noues de Sienne,noues de sienne,48.824625147826,-1.0339974782609
4974,14,14659,14190,Saint-Sylvain,saint sylvain,49.055713106796,-0.21486466019417
4975,14,14660,14640,Saint-Vaast-en-Auge,saint vaast en auge,49.291465789474,0.00430385964912
4976,14,14661,14250,Saint-Vaast-sur-Seulles,saint vaast sur seulles,49.13812815126,-0.63111302521008
4977,14,14663,14400,Saint-Vigor-le-Grand,saint vigor le grand,49.28934394958,-0.67953596638655
4978,14,14664,14240,Sallen,sallen,49.116748673469,-0.85072852040816
4979,14,14665,14121,Sallenelles,sallenelles,49.264693,-0.23354433333333
4980,14,14667,14330,Saon,saon,49.269552258065,-0.86438913978495
4981,14,14668,14330,Saonnet,saonnet,49.273288555556,-0.88171355555556
4982,14,14669,14170,Sassy,sassy,48.986870138889,-0.14476291666667
4983,14,14672,14240,Val de Drôme,val de drome,49.0991325,-0.8038551
4984,14,14672,14350,Val de Drôme,val de drome,49.068938,-0.868942
4985,14,14674,14190,Soignolles,soignolles,49.028209558824,-0.21910955882353
4986,14,14675,14540,Soliers,soliers,49.13179744186,-0.28467627906977
4987,14,14676,14400,Sommervieu,sommervieu,49.293796666667,-0.6451753030303
4988,14,14677,14700,Soulangy,soulangy,48.940516666667,-0.2184426984127
4989,14,14678,14420,Soumont-Saint-Quentin,soumont saint quentin,48.978323106796,-0.22801417475728
4990,14,14679,14400,Subles,subles,49.237466969697,-0.75317767676768
4991,14,14680,14400,Sully,sully,49.300038307692,-0.73933830769231
4992,14,14681,14710,Surrain,surrain,49.3275496,-0.85819413333333
4993,14,14682,14130,Surville,surville,49.301721777778,0.22900274074074
4994,14,14684,14250,Tessel,tessel,49.149571886792,-0.56827679245283
4995,14,14685,14610,Thaon,thaon,49.255264555556,-0.45322744444444
4996,14,14687,14130,Le Theil-en-Auge,le theil en auge,49.348038541667,0.25196729166667
4997,14,14689,14220,Le Hom,le hom,48.984467525424,-0.51260427118644
4998,14,14691,14540,Tilly-la-Campagne,tilly la campagne,49.109599285714,-0.30561642857143
