,,,,-LOT,,,
17242,46,46147,46220,Lagardelle,lagardelle,44.4854675,1.169484375
17243,46,46148,46230,Lalbenque,lalbenque,44.330625416667,1.55594859375
17244,46,46149,46090,Lamagdelaine,lamagdelaine,44.477930512821,1.5025291025641
17245,46,46151,46240,Lamothe-Cassel,lamothe cassel,44.610989055118,1.5149677165354
17246,46,46152,46350,Lamothe-Fénelon,lamothe fenelon,44.826922429379,1.4274468361582
17247,46,46153,46200,Lanzac,lanzac,44.8693925,1.4687928
17248,46,46154,46260,Laramière,laramiere,44.359898363636,1.8783513636364
17249,46,46155,46160,Larnagol,larnagol,44.486774040404,1.7773412626263
17250,46,46156,46090,Bellefont-La Rauze,bellefont la rauze,44.515362233333,1.5093412333333
17251,46,46157,46160,Larroque-Toirac,larroque toirac,44.52337923913,1.9306941304348
17252,46,46159,46400,Latouille-Lentillac,latouille lentillac,44.84790048583,1.9841370040486
17253,46,46160,46210,Latronquière,latronquiere,44.805983056769,2.0724319213974
17254,46,46161,46210,Lauresses,lauresses,44.785851512915,2.1104631734317
17255,46,46162,46360,Lauzès,lauzes,44.565433908046,1.5766829885058
17256,46,46163,46130,Laval-de-Cère,laval de cere,44.948068669951,1.9290035960591
17257,46,46164,46340,Lavercantière,lavercantiere,44.628276903226,1.3158630322581
17258,46,46165,46500,Lavergne,lavergne,44.80118815126,1.7669597478992
17259,46,46167,46330,Lentillac-du-Causse,lentillac du causse,44.547800709677,1.6372855483871
17260,46,46168,46100,Lentillac-Saint-Blaise,lentillac saint blaise,44.587774188034,2.1188741880342
17261,46,46169,46300,Léobard,leobard,44.716941774194,1.3088572580645
17262,46,46170,46120,Leyme,leyme,44.781519712644,1.8955216091954
17263,46,46171,46150,Lherm,lherm,44.573399925373,1.2374710447761
17264,46,46172,46170,Lhospitalet,lhospitalet,44.355422647059,1.4242203529412
17265,46,46173,46260,Limogne-en-Quercy,limogne en quercy,44.402254292929,1.7747504545455
17266,46,46174,46270,Linac,linac,44.677354626168,2.1186271028037
17267,46,46175,46100,Lissac-et-Mouret,lissac et mouret,44.620154107143,1.9691117857143
17268,46,46176,46320,Livernon,livernon,44.648741716418,1.8474809701492
17269,46,46177,46130,Loubressac,loubressac,44.866889853659,1.7977498048781
17270,46,46178,46350,Loupiac,loupiac,44.825139489051,1.4722162043796
17271,46,46179,46260,Lugagnac,lugagnac,44.412286763285,1.7185146376812
17272,46,46180,46100,Lunan,lunan,44.610599882353,2.0852219411765
17273,46,46181,46240,Lunegarde,lunegarde,44.6888428,1.695802
17274,46,46182,46140,Luzech,luzech,44.486474648649,1.2706141081081
17275,46,46183,46160,Marcilhac-sur-Célé,marcilhac sur cele,44.549857878788,1.7675780808081
17276,46,46184,46250,Marminiac,marminiac,44.655697128205,1.1793477948718
17277,46,46185,46600,Martel,martel,44.939948681319,1.6072520512821
17278,46,46186,46350,Masclat,masclat,44.832511010101,1.3828556565657
17279,46,46187,46700,Mauroux,mauroux,44.450311590909,1.0453442424242
17280,46,46188,46090,Maxou,maxou,44.542961690141,1.4474652112676
17281,46,46189,46500,Mayrinhac-Lentour,mayrinhac lentour,44.810573472222,1.8060413194444
17282,46,46190,46150,Mechmont,mechmont,44.583246933333,1.4611584
17283,46,46191,46090,Mercuès,mercues,44.498726129032,1.3898259139785
17284,46,46192,46200,Meyronne,meyronne,44.867500298507,1.5881635820896
17285,46,46193,46500,Miers,miers,44.852778707865,1.7045902247191
17286,46,46194,46300,Milhac,milhac,44.793587848101,1.3492558227848
17287,46,46195,46120,Molières,molieres,44.792336118721,1.9381784931507
17288,46,46196,46310,Montamel,montamel,44.609695748032,1.4653851181102
17289,46,46197,46090,Le Montat,le montat,44.380804790419,1.4531499401198
17290,46,46198,46160,Montbrun,montbrun,44.510505670103,1.9055192783505
17291,46,46199,46700,Montcabrier,montcabrier,44.550749069767,1.0814981395349
17292,46,46200,46250,Montcléra,montclera,44.621612663551,1.1963625700935
17293,46,46201,46800,Montcuq-en-Quercy-Blanc,montcuq en quercy blanc,44.341270368421,1.1746839210526
17294,46,46202,46230,Montdoumerc,montdoumerc,44.289098654971,1.5013643859649
