,,,,-MAYENNE,,,
19800,53,53142,53250,Madré,madre,48.471250632911,-0.37859689873418
19801,53,53143,53170,Maisoncelles-du-Maine,maisoncelles du maine,47.971019166667,-0.66189739583333
19802,53,53144,53440,Marcillé-la-Ville,marcille la ville,48.319823487544,-0.47257256227758
19803,53,53145,53200,Marigné-Peuton,marigne peuton,47.853878963731,-0.80384440414508
19804,53,53146,53470,Martigné-sur-Mayenne,martigne sur mayenne,48.19954525641,-0.6627085042735
19805,53,53147,53100,Mayenne,mayenne,48.309149162304,-0.61315319371728
19806,53,53148,53400,Mée,mee,47.802466699507,-0.87492399014778
19807,53,53150,53200,Ménil,menil,47.76406003663,-0.6934106959707
19808,53,53151,53230,Méral,meral,47.959946763285,-1.0256775845411
19809,53,53152,53170,Meslay-du-Maine,meslay du maine,47.947017297297,-0.55406067567568
19810,53,53153,53600,Mézangers,mezangers,48.195659458128,-0.44960699507389
19811,53,53154,53220,Montaudin,montaudin,48.3835504,-0.97882627692308
19812,53,53155,53500,Montenay,montenay,48.277861689189,-0.88789594594595
19813,53,53156,53240,Montflours,montflours,48.171182815534,-0.7218332038835
19814,53,53157,53970,Montigné-le-Brillant,montigne le brillant,48.011964404145,-0.81979637305699
19815,53,53158,53320,Montjean,montjean,48.008012362637,-0.93511747252747
19816,53,53159,53150,Montourtier,montourtier,48.209232237762,-0.54545468531469
19817,53,53160,53640,Montreuil-Poulay,montreuil poulay,48.38516511236,-0.53738134831461
19818,53,53161,53150,Montsûrs-Saint-Céneré,montsurs saint cenere,48.124717018634,-0.56860953416149
19819,53,53162,53100,Moulay,moulay,48.262378316832,-0.61683297029703
19820,53,53163,53150,Neau,neau,48.167963085714,-0.47068451428571
19821,53,53164,53250,Neuilly-le-Vendin,neuilly le vendin,48.491940454545,-0.32666513636364
19822,53,53165,53400,Niafles,niafles,47.846854814815,-1.0038981481482
19823,53,53168,53970,Nuillé-sur-Vicoin,nuille sur vicoin,47.982622242991,-0.78329742990654
19824,53,53169,53410,Olivet,olivet,48.115207222222,-0.93551150793651
19825,53,53170,53300,Oisseau,oisseau,48.370849122807,-0.67256855263158
19826,53,53172,53360,Origné,origne,47.950181504425,-0.73114088495575
19827,53,53173,53140,La Pallu,la pallu,48.502303629032,-0.29737774193548
19828,53,53174,53100,Parigné-sur-Braye,parigne sur braye,48.318409152542,-0.65041618644068
19829,53,53175,53260,Parné-sur-Roc,parne sur roc,48.008865629921,-0.6693512992126
19830,53,53176,53300,Le Pas,le pas,48.42246044898,-0.69971857142857
19831,53,53177,53220,La Pellerine,la pellerine,48.324146477273,-1.0296686363636
19832,53,53178,53360,Peuton,peuton,47.889947658228,-0.81475050632911
19833,53,53179,53240,Placé,place,48.257994945848,-0.76022310469314
19834,53,53180,53400,Pommerieux,pommerieux,47.829312037037,-0.89261677777778
19835,53,53181,53220,Pontmain,pontmain,48.432573615819,-1.0643905084746
19836,53,53182,53410,Port-Brillet,port brillet,48.12215951049,-0.9688593006993
19837,53,53184,53340,Préaux,preaux,47.932972777778,-0.46944175925926
19838,53,53185,53140,Pré-en-Pail-Saint-Samson,pre en pail saint samson,48.455563578275,-0.2000231629393
19839,53,53186,53360,Quelaines-Saint-Gault,quelaines saint gault,47.926328931034,-0.80036482758621
19840,53,53187,53370,Ravigny,ravigny,48.444914273504,-0.06046555555556
19841,53,53188,53800,Renazé,renaze,47.786312791667,-1.032694375
19842,53,53189,53110,Rennes-en-Grenouilles,rennes en grenouilles,48.491447784091,-0.50819664772727
19843,53,53190,53640,Le Ribay,le ribay,48.385341569767,-0.41820872093023
19844,53,53191,53350,La Roë,la roe,47.892476202532,-1.1012311392405
19845,53,53192,53390,La Rouaudière,la rouaudiere,47.83997033557,-1.1951010067114
19846,53,53193,53170,Ruillé-Froid-Fonds,ruille froid fonds,47.901347513513,-0.62575005405405
19847,53,53195,53470,Sacé,sace,48.180035294118,-0.69894647058824
19848,53,53196,53250,Saint-Aignan-de-Couptrain,saint aignan de couptrain,48.45822943662,-0.30161591549296
19849,53,53197,53390,Saint-Aignan-sur-Roë,saint aignan sur roe,47.850048766234,-1.1499632467532
19850,53,53198,53700,Saint-Aubin-du-Désert,saint aubin du desert,48.311664621212,-0.19033204545455
19851,53,53199,53120,Saint-Aubin-Fosse-Louvain,saint aubin fosse louvain,48.450917617021,-0.83301391489362
19852,53,53200,53100,Saint-Baudelle,saint baudelle,48.286649354839,-0.65345817204301
19853,53,53201,53940,Saint-Berthevin,saint berthevin,48.073910483271,-0.85489925650558
19854,53,53202,53220,Saint-Berthevin-la-Tannière,saint berthevin la tanniere,48.405058695652,-0.95295365942029
19855,53,53203,53290,Saint-Brice,saint brice,47.859534931507,-0.43825799086758
19856,53,53204,53140,Saint-Calais-du-Désert,saint calais du desert,48.488461435185,-0.25564361111111
19857,53,53206,53170,Saint-Charles-la-Forêt,saint charles la foret,47.921635197368,-0.57402960526316
19858,53,53207,53150,Saint-Christophe-du-Luat,saint christophe du luat,48.136538731884,-0.47392836956522
19859,53,53208,53140,Saint-Cyr-en-Pail,saint cyr en pail,48.4334265,-0.2547611875
19860,53,53209,53320,Saint-Cyr-le-Gravelais,saint cyr le gravelais,48.036852515723,-1.0026510062893
19861,53,53210,53290,Saint-Denis-d'Anjou,saint denis d anjou,47.791916151316,-0.44423476973684
19862,53,53211,53500,Saint-Denis-de-Gastines,saint denis de gastines,48.34592892562,-0.87654380165289
19863,53,53212,53170,Saint-Denis-du-Maine,saint denis du maine,47.975411674877,-0.51803935960591
19864,53,53213,53220,Saint-Ellier-du-Maine,saint ellier du maine,48.410044679666,-1.0441837325905
19865,53,53214,53390,Saint-Erblon,saint erblon,47.786998222222,-1.1579788888889
19866,53,53215,53200,Saint-Fort,saint fort,47.795933235294,-0.70674455882353
19867,53,53216,53300,Saint-Fraimbault-de-Prières,saint fraimbault de prieres,48.351601419355,-0.58000522580645
19868,53,53218,53600,Sainte-Gemmes-le-Robert,sainte gemmes le robert,48.206364572864,-0.37863572864322
19869,53,53219,53100,Saint-Georges-Buttavent,saint georges buttavent,48.297345555556,-0.71150953405018
19870,53,53220,53480,Saint-Georges-le-Fléchard,saint georges le flechard,48.034428450704,-0.51548971830986
19871,53,53221,53600,Saint-Georges-sur-Erve,saint georges sur erve,48.176101788991,-0.29367353211009
19872,53,53222,53240,Saint-Germain-d'Anxure,saint germain d anxure,48.222093067227,-0.73295201680672
19873,53,53223,53700,Saint-Germain-de-Coulamer,saint germain de coulamer,48.268626596859,-0.1878045026178
19874,53,53224,53240,Saint-Germain-le-Fouilloux,saint germain le fouilloux,48.138703647799,-0.81062194968553
19875,53,53225,53240,Saint-Germain-le-Guillaume,saint germain le guillaume,48.205157088608,-0.82947778481013
19876,53,53226,53380,Saint-Hilaire-du-Maine,saint hilaire du maine,48.227479188192,-0.92516996309963
19877,53,53228,53270,Blandouet-Saint Jean,blandouet saint jean,48.049976833856,-0.36401470219436
19878,53,53229,53240,Saint-Jean-sur-Mayenne,saint jean sur mayenne,48.142061050228,-0.75452173515982
19879,53,53230,53110,Saint-Julien-du-Terroux,saint julien du terroux,48.484487184874,-0.40999894957983
19880,53,53231,53290,Saint-Laurent-des-Mortiers,saint laurent des mortiers,47.771328659794,-0.54245762886598
19881,53,53232,53480,Saint-Léger,saint leger,48.083975581395,-0.45544341085271
19882,53,53233,53290,Saint-Loup-du-Dorat,saint loup du dorat,47.886380849673,-0.42369091503268
19883,53,53234,53300,Saint-Loup-du-Gast,saint loup du gast,48.387682890625,-0.5887315625
19884,53,53235,53110,Sainte-Marie-du-Bois,sainte marie du bois,48.468904453125,-0.483296640625
19885,53,53236,53700,Saint-Mars-du-Désert,saint mars du desert,48.292643612903,-0.17918580645161
19886,53,53237,53300,Saint-Mars-sur-Colmont,saint mars sur colmont,48.384650418848,-0.71131963350785
19887,53,53238,53220,Saint-Mars-sur-la-Futaie,saint mars sur la futaie,48.427956612903,-1.0137887096774
