,,,,-MARNE,,,
18812,51,51203,51400,Cuperly,cuperly,49.0664915625,4.4468011458333
18813,51,51204,51480,Damery,damery,49.079209289941,3.8813094674556
18814,51,51205,51400,Dampierre-au-Temple,dampierre au temple,49.040354745763,4.3948744067797
18815,51,51206,51330,Dampierre-le-Château,dampierre le chateau,49.007821948052,4.7989493506493
18816,51,51208,51240,Dampierre-sur-Moivre,dampierre sur moivre,48.883925,4.5720638297872
18817,51,51210,51530,Dizy,dizy,49.070592295082,3.9714927868852
18818,51,51211,51800,Dommartin-Dampierre,dommartin dampierre,49.068033894737,4.8231062105263
18819,51,51212,51320,Dommartin-Lettrée,dommartin lettree,48.769328666667,4.2928371666667
18820,51,51213,51800,Dommartin-sous-Hans,dommartin sous hans,49.129849230769,4.7959389230769
18821,51,51214,51330,Dommartin-Varimont,dommartin varimont,48.980961428571,4.7768804761905
18822,51,51215,51300,Dompremy,dompremy,48.732332285714,4.7342178095238
18823,51,51216,51490,Dontrien,dontrien,49.24089816092,4.4148401149425
18824,51,51217,51700,Dormans,dormans,49.0636111,3.6512715
18825,51,51218,51340,Val-de-Vière,val de viere,48.814556244344,4.7512049773756
18826,51,51219,51290,Drosnay,drosnay,48.572143333333,4.6180886538461
18827,51,51220,51300,Drouilly,drouilly,48.770850192308,4.5169738461539
18828,51,51222,51800,Éclaires,eclaires,48.99107779661,4.9938358474576
18829,51,51223,51290,Écollemont,ecollemont,48.616891,4.741808
18830,51,51224,51300,Écriennes,ecriennes,48.689521263158,4.6834961052632
18831,51,51225,51500,Écueil,ecueil,49.177385125,3.947458
18832,51,51226,51230,Écury-le-Repos,ecury le repos,48.806752777778,4.0274755555556
18833,51,51227,51240,Écury-sur-Coole,ecury sur coole,48.897949911504,4.3352168141593
18834,51,51228,51800,Élise-Daucourt,elise daucourt,49.043612727273,4.877865
18835,51,51229,51330,Épense,epense,48.974779875,4.8404795
18836,51,51230,51200,Épernay,epernay,49.035965338645,3.930588685259
18837,51,51231,51460,L'Épine,l epine,48.994454189189,4.4450545945946
18838,51,51232,51490,Époye,epoye,49.284193636364,4.2310653030303
18839,51,51233,51310,Escardes,escardes,48.693355535714,3.5329326785714
18840,51,51234,51260,Esclavolles-Lurey,esclavolles lurey,48.549761061947,3.6508342477876
18841,51,51235,51120,Les Essarts-lès-Sézanne,les essarts les sezanne,48.76267969697,3.638141969697
18842,51,51236,51310,Les Essarts-le-Vicomte,les essarts le vicomte,48.664994626866,3.5522465671642
18843,51,51237,51310,Esternay,esternay,48.718891813953,3.5838157209302
18844,51,51238,51270,Étoges,etoges,48.895813170732,3.8500335365854
18845,51,51239,51130,Étréchy,etrechy,48.88484575,3.95130025
18846,51,51240,51340,Étrepy,etrepy,48.764756944444,4.809962962963
18847,51,51241,51230,Euvy,euvy,48.714013636364,4.0109233333333
18848,51,51242,51510,Fagnières,fagnieres,48.957703095238,4.3131322619048
