id,department_code,insee_code,zip_code,-ARDENNES,slug,gps_lat,gps_lng
2712,8,8332,8240,Oches,oches,49.50681114094,4.9268632214765
2713,8,8333,8250,Olizy-Primat,olizy primat,49.355552806324,4.7753972727273
2714,8,8334,8450,Omicourt,omicourt,49.630559722222,4.8305798611111
2715,8,8335,8430,Omont,omont,49.597296442953,4.7319018120805
2716,8,8336,8110,Osnes,osnes,49.656798762887,5.1551813402062
2717,8,8338,8310,Pauvres,pauvres,49.412163768116,4.4956646376812
2718,8,8339,8300,Perthes,perthes,49.448215960265,4.3597521854305
2719,8,8340,8190,Poilcourt-Sydney,poilcourt sydney,49.4241621875,4.09264
2720,8,8341,8430,Poix-Terron,poix terron,49.645043203883,4.6545108737864
2721,8,8342,8140,Pouru-aux-Bois,pouru aux bois,49.714874,5.1027933684211
2722,8,8343,8140,Pouru-Saint-Remy,pouru saint remy,49.6766086,5.0883587
2723,8,8344,8290,Prez,prez,49.804519375,4.3637059821429
2724,8,8346,8000,Prix-lès-Mézières,prix les mezieres,49.748683648649,4.6854463513514
2725,8,8347,8370,Puilly-et-Charbeaux,puilly et charbeaux,49.6362244,5.27170555
2726,8,8348,8270,Puiseux,puiseux,49.595139340659,4.5358643956044
2727,8,8349,8110,Pure,pure,49.681944691358,5.1758601234568
2728,8,8350,8400,Quatre-Champs,quatre champs,49.447086634615,4.7784727884615
2729,8,8351,8400,Quilly,quilly,49.40888037037,4.5907414814815
2730,8,8352,8430,Raillicourt,raillicourt,49.651513865031,4.5893236809816
2731,8,8353,8600,Rancennes,rancennes,50.121063855422,4.8279563855422
2732,8,8354,8450,Raucourt-et-Flaba,raucourt et flaba,49.596131370968,4.9589945967742
2733,8,8355,8230,Regniowez,regniowez,49.925429708738,4.4120345145631
2734,8,8356,8220,Remaucourt,remaucourt,49.606389705882,4.2326080882353
2735,8,8357,8450,Remilly-Aillicourt,remilly aillicourt,49.64969625,4.9920963095238
2736,8,8358,8150,Remilly-les-Pothées,remilly les pothees,49.788550457516,4.547988496732
2737,8,8360,8220,Renneville,renneville,49.655439102564,4.1359175641026
2738,8,8361,8150,Renwez,renwez,49.84980004329,4.603521038961
2739,8,8362,8300,Rethel,rethel,49.513720195122,4.3827577560976
2740,8,8363,8500,Revin,revin,49.933985578512,4.700815
2741,8,8364,8130,Rilly-sur-Aisne,rilly sur aisne,49.484955692308,4.6322698461539
2742,8,8365,8150,Rimogne,rimogne,49.842357662338,4.5325136363636
2743,8,8366,8220,Rocquigny,rocquigny,49.704109924433,4.2420410075567
2744,8,8367,8230,Rocroi,rocroi,49.926406893939,4.5575023106061
2745,8,8368,8190,Roizy,roizy,49.431899230769,4.1831401282051
2746,8,8369,8220,La Romagne,la romagne,49.683489847328,4.3012520610687
2747,8,8370,8150,Rouvroy-sur-Audry,rouvroy sur audry,49.78595147651,4.502435704698
2748,8,8372,8220,Rubigny,rubigny,49.684198444444,4.2019654074074
2749,8,8373,8290,Rumigny,rumigny,49.801217371795,4.2660342948718
2750,8,8374,8130,La Sabotterie,la sabotterie,49.543817169811,4.6722147169811
2751,8,8375,8110,Sachy,sachy,49.669855392157,5.128638627451
2752,8,8376,8110,Sailly,sailly,49.602690729927,5.1753700729927
2753,8,8377,8350,Saint-Aignan,saint aignan,49.658090892857,4.8517801785714
2754,8,8378,8310,Saint-Clément-à-Arnes,saint clement a arnes,49.303715696203,4.4333970886076
