id,department_code,insee_code,zip_code,-CHARENTE,slug,gps_lat,gps_lng
5573,16,16295,16330,Saint-Amant-de-Boixe,saint amant de boixe,45.799364201183,0.1406126035503
5574,16,16297,16120,Graves-Saint-Amant,graves saint amant,45.640330686275,-0.10585225490196
5575,16,16298,16170,Saint-Amant-de-Nouère,saint amant de nouere,45.738989927007,-0.00292824817518
5576,16,16300,16230,Val-de-Bonnieure,val de bonnieure,45.841045806452,0.291486359447
5577,16,16301,16300,Saint-Aulais-la-Chapelle,saint aulais la chapelle,45.44707047619,-0.04626464285714
5578,16,16302,16210,Saint-Avit,saint avit,45.241997241379,0.03986189655172
5579,16,16303,16300,Saint-Bonnet,saint bonnet,45.473080669145,-0.08828408921933
5580,16,16304,16100,Saint-Brice,saint brice,45.693754732824,-0.26807183206107
5581,16,16306,16420,Saint-Christophe,saint christophe,46.008575754386,0.85231473684211
5582,16,16307,16230,Saint-Ciers-sur-Bonnieure,saint ciers sur bonnieure,45.861692328767,0.24278089041096
5583,16,16308,16450,Saint-Claud,saint claud,45.905312985782,0.48161056872038
5584,16,16310,16350,Saint-Coutant,saint coutant,45.995382514286,0.46300497142857
5585,16,16312,16170,Saint-Cybardeaux,saint cybardeaux,45.77562442953,-0.02600979865772
5586,16,16315,16480,Saint-Félix,saint felix,45.372278875,0.010687875
5587,16,16316,16130,Saint-Fort-sur-le-Né,saint fort sur le ne,45.583932734375,-0.307169921875
5588,16,16317,16140,Saint-Fraigne,saint fraigne,45.958370718563,-0.0089774251497
5589,16,16318,16460,Saint-Front,saint front,45.898309562044,0.27992532846715
5590,16,16320,16570,Saint-Genis-d'Hiersac,saint genis d hiersac,45.752128410256,0.03833071794872
5591,16,16321,16700,Saint-Georges,saint georges,45.974585178571,0.27096607142857
5592,16,16323,16380,Saint-Germain-de-Montbron,saint germain de montbron,45.633046124031,0.41456635658915
5593,16,16325,16700,Saint-Gourson,saint gourson,45.951403058824,0.31429211764706
5594,16,16326,16230,Saint-Groux,saint groux,45.890696666667,0.15689416666667
5595,16,16329,16450,Saint-Laurent-de-Céris,saint laurent de ceris,45.946856132813,0.5024780078125
5596,16,16330,16100,Saint-Laurent-de-Cognac,saint laurent de cognac,45.695178224299,-0.39519803738318
5597,16,16331,16480,Saint-Laurent-des-Combes,saint laurent des combes,45.353839577465,0.03387253521127
5598,16,16332,16250,Saint-Léger,saint leger,45.456960625,0.04252296875
5599,16,16334,16190,Saint-Martial,saint martial,45.36855,0.06730428571429
5600,16,16335,16700,Saint-Martin-du-Clocher,saint martin du clocher,46.067888041237,0.15227257731959
5601,16,16336,16260,Saint-Mary,saint mary,45.840648641304,0.36213380434783
5602,16,16337,16500,Saint-Maurice-des-Lions,saint maurice des lions,45.97072105919,0.71116236760125
5603,16,16338,16300,Saint-Médard,saint medard,45.511054659091,-0.13285079545455
5604,16,16339,16170,Auge-Saint-Médard,auge saint medard,45.849477931034,-0.08546793103448
5605,16,16340,16720,Saint-Même-les-Carrières,saint meme les carrieres,45.645796697248,-0.13723779816514
5606,16,16341,16470,Saint-Michel,saint michel,45.640305652174,0.11012275362319
5607,16,16342,16300,Saint-Palais-du-Né,saint palais du ne,45.543795031847,-0.28190242038217
5608,16,16343,16130,Saint-Preuil,saint preuil,45.595962786885,-0.17330745901639
5609,16,16344,16110,Saint-Projet-Saint-Constant,saint projet saint constant,45.724707768595,0.35648628099174
5610,16,16345,16150,Saint-Quentin-sur-Charente,saint quentin sur charente,45.837914806202,0.67529558139535
5611,16,16346,16210,Saint-Quentin-de-Chalais,saint quentin de chalais,45.243740729167,0.07501385416667
5612,16,16347,16210,Saint-Romain,saint romain,45.284623137255,0.13283210784314
5613,16,16348,16290,Saint-Saturnin,saint saturnin,45.671042134146,0.04229329268293
5614,16,16349,16200,Sainte-Sévère,sainte severe,45.768500583333,-0.24447375
5615,16,16350,16390,Saint-Séverin,saint severin,45.307569372385,0.24284719665272
5616,16,16351,16120,Saint-Simeux,saint simeux,45.633279396552,-0.03613612068966
5617,16,16352,16120,Saint-Simon,saint simon,45.655212022472,-0.07863752808989
5618,16,16353,16220,Saint-Sornin,saint sornin,45.692091868132,0.44761373626374
5619,16,16354,16480,Sainte-Souline,sainte souline,45.376121927711,-0.02279686746988
5620,16,16355,16370,Saint-Sulpice-de-Cognac,saint sulpice de cognac,45.765225968992,-0.39912666666667
5621,16,16356,16460,Saint-Sulpice-de-Ruffec,saint sulpice de ruffec,45.938025555556,0.31669761904762
5622,16,16357,16480,Saint-Vallier,saint vallier,45.283272484076,-0.08493544585987
5623,16,16358,16710,Saint-Yrieix-sur-Charente,saint yrieix sur charente,45.678825405405,0.12710162162162
5624,16,16359,16130,Salles-d'Angles,salles d angles,45.611611265823,-0.34587544303797
5625,16,16360,16300,Salles-de-Barbezieux,salles de barbezieux,45.456565381166,-0.11652188340807
5626,16,16361,16700,Salles-de-Villefagnan,salles de villefagnan,45.957730412371,0.16047907216495
5627,16,16362,16190,Salles-Lavalette,salles lavalette,45.382845588235,0.23546182352941
5628,16,16363,16420,Saulgond,saulgond,45.950073372093,0.78918972868217
5629,16,16364,16310,Sauvagnac,sauvagnac,45.747383357143,0.647303
5630,16,16365,16480,Sauvignac,sauvignac,45.266297289157,-0.08137771084337
5631,16,16366,16130,Segonzac,segonzac,45.610662460317,-0.2167253968254
5632,16,16368,16410,Sers,sers,45.583505466667,0.31818566666667
5633,16,16369,16200,Sigogne,sigogne,45.732701473684,-0.16531578947368
5634,16,16370,16440,Sireuil,sireuil,45.619913589744,0.02083153846154
5635,16,16372,16380,Souffrignac,souffrignac,45.589410869565,0.49740817391304
5636,16,16373,16240,Souvigné,souvigne,45.969837826087,0.04911884057971
5637,16,16374,16800,Soyaux,soyaux,45.640812803738,0.20419373831776
5638,16,16375,16260,Suaux,suaux,45.842656626506,0.51615210843373
5639,16,16376,16270,Suris,suris,45.849971503268,0.62543078431373
5640,16,16377,16260,La Tâche,la tache,45.871818765432,0.35990419753086
5641,16,16378,16700,Taizé-Aizie,taize aizie,46.064560657895,0.24822072368421
5642,16,16379,16110,Taponnat-Fleurignac,taponnat fleurignac,45.767252211538,0.41200778846154
5643,16,16380,16360,Le Tâtre,le tatre,45.398482048193,-0.20291506024096
5644,16,16381,16240,Theil-Rabier,theil rabier,46.053126857143,0.042499
5645,16,16382,16410,Torsac,torsac,45.5651205625,0.2135303125
5646,16,16383,16560,Tourriers,tourriers,45.790785652174,0.19332057971014
5647,16,16384,16360,Touvérac,touverac,45.369707854077,-0.19921939914163
5648,16,16385,16600,Touvre,touvre,45.657342650602,0.26657024096386
5649,16,16387,16200,Triac-Lautrait,triac lautrait,45.681189878049,-0.12387951219512
5650,16,16388,16730,Trois-Palis,trois palis,45.639497288136,0.04450033898305
5651,16,16389,16350,Turgon,turgon,45.950952804878,0.40739024390244
5652,16,16390,16140,Tusson,tusson,45.936095326087,0.07907010869565
5653,16,16391,16700,Tuzie,tuzie,45.972022156863,0.1479831372549
5654,16,16392,16460,Valence,valence,45.885659368421,0.31674757894737
5655,16,16393,16330,Vars,vars,45.755310336538,0.12734456730769
5656,16,16394,16320,Vaux-Lavalette,vaux lavalette,45.418097979798,0.24815828282828
5657,16,16395,16170,Vaux-Rouillac,vaux rouillac,45.743212389381,-0.09303610619469
5658,16,16396,16460,Ventouse,ventouse,45.90787203125,0.325739609375
5659,16,16397,16140,Verdille,verdille,45.883947843137,-0.0968362745098
5660,16,16398,16310,Verneuil,verneuil,45.784001171875,0.701647734375
5661,16,16399,16130,Verrières,verrieres,45.560820895522,-0.26404111940298
5662,16,16400,16510,Verteuil-sur-Charente,verteuil sur charente,45.976564536082,0.23028216494845
5663,16,16401,16330,Vervant,vervant,45.828966363636,0.12610945454545
5664,16,16402,16120,Vibrac,vibrac,45.640411764706,-0.05944117647059
5665,16,16403,16350,Le Vieux-Cérier,le vieux cerier,45.976703101266,0.44433626582278
5666,16,16404,16350,Vieux-Ruffec,vieux ruffec,46.011656803279,0.37706295081967
5667,16,16405,16300,Vignolles,vignolles,45.509828427673,-0.09730955974843
5668,16,16406,16220,Vilhonneur,vilhonneur,45.676560246914,0.4155187654321
5669,16,16408,16320,Villebois-Lavalette,villebois lavalette,45.478296161616,0.28390303030303
5670,16,16409,16240,Villefagnan,villefagnan,46.012784649123,0.09145429824561
5671,16,16410,16700,Villegats,villegats,45.991757843137,0.18432803921569
5672,16,16411,16140,Villejésus,villejesus,45.903419145299,0.0247764957265
5673,16,16412,16560,Villejoubert,villejoubert,45.807671685393,0.16999179775281
5674,16,16413,16240,Villiers-le-Roux,villiers le roux,46.049584166667,0.10902958333333
5675,16,16414,16230,Villognon,villognon,45.863873020833,0.10507885416667
5676,16,16415,16430,Vindelle,vindelle,45.722207731959,0.10689288659794
5677,16,16416,16310,Vitrac-Saint-Vincent,vitrac saint vincent,45.802155086705,0.49640520231214
5678,16,16418,16400,Vœuil-et-Giget,voeuil et giget,45.592662131148,0.15977295081967
5679,16,16419,16330,Vouharte,vouharte,45.807005806452,0.07534748387097
5680,16,16420,16250,Voulgézac,voulgezac,45.515108023256,0.12904034883721
5681,16,16421,16220,Vouthon,vouthon,45.659221454545,0.44989118181818
5682,16,16422,16410,Vouzan,vouzan,45.602232882883,0.36288351351351
5683,16,16423,16330,Xambes,xambes,45.823755747126,0.1059016091954
5684,16,16424,16210,Yviers,yviers,45.277363333333,-0.02635624113475
5685,16,16425,16110,Yvrac-et-Malleyrand,yvrac et malleyrand,45.732719385475,0.4655394972067
