,,,,-HAUTE-GARONNE,,,
11696,31,31180,31540,Falga,falga,43.480248901099,1.8418949450549
11697,31,31181,31410,Le Fauga,le fauga,43.396042758621,1.2913362068965
11698,31,31182,31150,Fenouillet,fenouillet,43.684433972603,1.3895302739726
11699,31,31183,31260,Figarol,figarol,43.079128421053,0.90321339181287
11700,31,31184,31130,Flourens,flourens,43.596650892857,1.5512198214286
11701,31,31185,31290,Folcarde,folcarde,43.405378163265,1.7957781632653
11702,31,31186,31140,Fonbeauzard,fonbeauzard,43.680145641026,1.4366474358974
11703,31,31187,31470,Fonsorbes,fonsorbes,43.526651284404,1.2395129357798
11704,31,31188,31470,Fontenilles,fontenilles,43.555506910569,1.2046006504065
11705,31,31189,31370,Forgues,forgues,43.430745934066,1.0438392307692
11706,31,31190,31440,Fos,fos,42.861813979592,0.7487237755102
11707,31,31191,31160,Fougaron,fougaron,42.987461976744,0.9341038372093
11708,31,31192,31450,Fourquevaux,fourquevaux,43.501321919192,1.6254448484849
11709,31,31193,31430,Le Fousseret,le fousseret,43.283820242915,1.0658138461538
11710,31,31194,31460,Francarville,francarville,43.589644907407,1.7514763888889
11711,31,31195,31260,Francazal,francazal,43.010644098361,1.0042154098361
11712,31,31196,31420,Francon,francon,43.262749068323,0.99214198757764
11713,31,31197,31210,Franquevielle,franquevielle,43.137152,0.541038
11714,31,31198,31360,Le Fréchet,le frechet,43.190425897436,0.93480564102564
11715,31,31199,31440,Fronsac,fronsac,42.95466125,0.65431541666667
11716,31,31200,31510,Frontignan-de-Comminges,frontignan de comminges,42.968195,0.6595055
11717,31,31201,31230,Frontignan-Savès,frontignan saves,43.399882954545,0.91267818181818
11718,31,31202,31620,Fronton,fronton,43.854390526316,1.3748030592105
11719,31,31203,31270,Frouzins,frouzins,43.521977333333,1.316002
11720,31,31204,31430,Fustignac,fustignac,43.300440422535,0.98383
11721,31,31205,31150,Gagnac-sur-Garonne,gagnac sur garonne,43.706836129032,1.3638546774194
11722,31,31206,31550,Gaillac-Toulza,gaillac toulza,43.260089569378,1.4589073205742
11723,31,31207,31510,Galié,galie,42.991821304348,0.63293826086957
11724,31,31208,31160,Ganties,ganties,43.06494552795,0.83610403726708
11725,31,31209,31480,Garac,garac,43.68745925,1.0924285
11726,31,31210,31290,Gardouch,gardouch,43.384688709677,1.678286344086
11727,31,31211,31620,Gargas,gargas,43.757096764706,1.4579404901961
11728,31,31212,31380,Garidech,garidech,43.714638412698,1.5555793650794
11729,31,31213,31110,Garin,garin,42.806424880952,0.49379988095238
11730,31,31215,31590,Gauré,gaure,43.616805481482,1.6437248148148
11731,31,31216,31380,Gémil,gemil,43.738735,1.5966701724138
11732,31,31217,31510,Génos,genos,42.999305789474,0.67190263157895
11733,31,31218,31350,Gensac-de-Boulogne,gensac de boulogne,43.257835373134,0.60659746268657
11734,31,31219,31310,Gensac-sur-Garonne,gensac sur garonne,43.213730875912,1.1443779562044
11735,31,31220,31560,Gibel,gibel,43.301603381295,1.6744915107914
11736,31,31221,31110,Gouaux-de-Larboust,gouaux de larboust,42.780760588235,0.47436705882353
11737,31,31222,31110,Gouaux-de-Luchon,gouaux de luchon,42.849168051948,0.64150090909091
11738,31,31223,31230,Goudex,goudex,43.380057608696,0.95644304347826
11739,31,31224,31210,Gourdan-Polignan,gourdan polignan,43.070756415094,0.57290943396226
11740,31,31225,31310,Goutevernisse,goutevernisse,43.212260566038,1.1755383647799
11741,31,31226,31310,Gouzens,gouzens,43.180340833333,1.1846434375
11742,31,31227,31120,Goyrans,goyrans,43.48257119403,1.4263691044776
11743,31,31228,31380,Gragnague,gragnague,43.68366266055,1.5808581651376
11744,31,31229,31430,Gratens,gratens,43.322892269504,1.1304543971631
11745,31,31230,31150,Gratentour,gratentour,43.719979583333,1.4325991666667
11746,31,31231,31190,Grazac,grazac,43.310723333333,1.447347826087
11747,31,31232,31330,Grenade,grenade,43.76788921466,1.2706297382199
11748,31,31233,31190,Grépiac,grepiac,43.404530434783,1.4499847826087
11749,31,31234,31480,Le Grès,le gres,43.721914805195,1.0945283116883
11750,31,31235,31440,Guran,guran,42.885785671642,0.60390462686567
11751,31,31236,31160,Herran,herran,42.973435473684,0.88170715789474
11752,31,31237,31260,His,his,43.061706666667,0.96407444444444
11753,31,31238,31210,Huos,huos,43.066655227273,0.5995225
11754,31,31239,31230,L'Isle-en-Dodon,l isle en dodon,43.380594836601,0.8364054248366
11755,31,31240,31450,Issus,issus,43.421961594203,1.4966289855072
11756,31,31241,31160,Izaut-de-l'Hôtel,izaut de l hotel,43.01163,0.74740638297872
11757,31,31242,31110,Jurvielle,jurvielle,42.829797368421,0.47660736842105
11758,31,31243,31540,Juzes,juzes,43.447934769231,1.7932133846154
11759,31,31244,31110,Juzet-de-Luchon,juzet de luchon,42.8043258,0.632136
11760,31,31245,31160,Juzet-d'Izaut,juzet d izaut,42.973523113208,0.74710594339623
11761,31,31246,31800,Labarthe-Inard,labarthe inard,43.108420980392,0.83153539215686
11762,31,31247,31800,Labarthe-Rivière,labarthe riviere,43.085246206897,0.66834982758621
11763,31,31248,31860,Labarthe-sur-Lèze,labarthe sur leze,43.457322111111,1.4016412222222
11764,31,31249,31450,Labastide-Beauvoir,labastide beauvoir,43.482868080808,1.6648225252525
