,,,,-JURA,,,
14986,39,39149,39380,Chissey-sur-Loue,chissey sur loue,47.04296516129,5.7437850322581
14987,39,39150,39100,Choisey,choisey,47.060453896104,5.451624025974
14988,39,39151,39370,Choux,choux,46.301794347826,5.7698569565217
14989,39,39153,39300,Cize,cize,46.723377704918,5.9186501639344
14990,39,39154,39130,Clairvaux-les-Lacs,clairvaux les lacs,46.567952313726,5.7597914509804
14991,39,39155,39110,Clucy,clucy,46.944236732673,5.9131942574257
14992,39,39156,39130,Cogna,cogna,46.582774405594,5.7763923776224
14993,39,39157,39200,Coiserette,coiserette,46.334945087719,5.8292314912281
14994,39,39159,39800,Colonne,colonne,46.878544957983,5.5700538655462
14995,39,39160,39140,Commenailles,commenailles,46.806327398374,5.4389455691057
14996,39,39162,39570,Condamine,condamine,46.649178235294,5.4385058823529
14997,39,39163,39240,Condes,condes,46.331404313725,5.6150808823529
14998,39,39164,39570,Conliège,conliege,46.651538275862,5.6087689655172
14999,39,39165,39300,Conte,conte,46.750205762712,6.0070476271186
15000,39,39166,39240,Cornod,cornod,46.30996234375,5.5481925
15001,39,39167,39140,Cosges,cosges,46.752248740157,5.3914520472441
15002,39,39168,39570,Courbette,courbette,46.599201551724,5.570089137931
15003,39,39169,39570,Courbouzon,courbouzon,46.650352083333,5.5283390277778
15004,39,39170,39570,Courlans,courlans,46.675335483871,5.4846855645161
15005,39,39171,39570,Courlaoux,courlaoux,46.662999527559,5.4555174015748
15006,39,39172,39700,Courtefontaine,courtefontaine,47.131147692308,5.7996417948718
15007,39,39173,39190,Cousance,cousance,46.531999243697,5.3810132773109
15008,39,39174,39200,Coyrière,coyriere,46.33923426087,5.8444604347826
15009,39,39175,39260,Coyron,coyron,46.511996339286,5.6982309821429
15010,39,39176,39600,Cramans,cramans,47.007321044776,5.7918158208955
15011,39,39177,39210,Hauteroche,hauteroche,46.7465527,5.6022096
15012,39,39177,39570,Hauteroche,hauteroche,46.6886029,5.6594311
15013,39,39178,39300,Crans,crans,46.695880245902,5.9814792622951
15014,39,39179,39260,Crenans,crenans,46.469709387755,5.7373078571429
15015,39,39180,39270,Cressia,cressia,46.5277105,5.487971
15016,39,39182,39100,Crissey,crissey,47.052028636364,5.4786970454545
15017,39,39183,39300,Crotenay,crotenay,46.749875714286,5.8120178021978
15018,39,39184,39260,Les Crozets,les crozets,46.465489016393,5.8120970491803
15019,39,39185,39190,Cuisia,cuisia,46.549134142857,5.4001422380952
15020,39,39187,39250,Cuvier,cuvier,46.8401225,6.0680389705882
15021,39,39188,39290,Dammartin-Marpain,dammartin marpain,47.253858496241,5.553277593985
15022,39,39189,39500,Damparis,damparis,47.070618290598,5.3994228205128
15023,39,39190,39700,Dampierre,dampierre,47.164738596491,5.7417771929825
15024,39,39191,39230,Darbonnay,darbonnay,46.823427826087,5.6074946956522
15025,39,39192,39130,Denezières,denezieres,46.623955714286,5.8014975
15026,39,39193,39120,Le Deschaux,le deschaux,46.951527272727,5.5044962337662
