id,department_code,insee_code,zip_code,-AISNE,slug,gps_lat,gps_lng
600,2,2193,2130,Cierges,cierges,49.162653636364,3.5980371212121
601,2,2194,2250,Cilly,cilly,49.743008703704,3.8327174074074
602,2,2195,2220,Ciry-Salsogne,ciry salsogne,49.380997610063,3.4780583647799
603,2,2196,2000,Clacy-et-Thierret,clacy et thierret,49.552395263158,3.5654677192983
604,2,2197,2260,Clairfontaine,clairfontaine,49.964072268908,3.9798764705882
605,2,2198,2880,Clamecy,clamecy,49.427977073171,3.3688212195122
606,2,2199,2440,Clastres,clastres,49.750332857143,3.225424
607,2,2200,2340,Clermont-les-Fermes,clermont les fermes,49.661137209302,3.9427330232558
608,2,2201,2600,Cœuvres-et-Valsery,coeuvres et valsery,49.325733076923,3.1517497115385
609,2,2203,2210,Coincy,coincy,49.155148695652,3.4461209782609
610,2,2204,2360,Coingt,coingt,49.789859354839,4.0890562903226
611,2,2205,2860,Colligis-Crandelain,colligis crandelain,49.470786506024,3.6318854216867
612,2,2206,2120,Colonfay,colonfay,49.857219574468,3.7112717021277
613,2,2207,2300,Commenchon,commenchon,49.641421428571,3.1518716071429
614,2,2208,2160,Concevreux,concevreux,49.379649370629,3.781756013986
615,2,2209,2330,Condé-en-Brie,conde en brie,48.999891818182,3.5634207272727
616,2,2210,2370,Condé-sur-Aisne,conde sur aisne,49.394937532468,3.4709675324675
617,2,2211,2190,Condé-sur-Suippe,conde sur suippe,49.415318,3.9411524
618,2,2212,2700,Condren,condren,49.628747444444,3.2786424444445
619,2,2213,2330,Connigis,connigis,49.036101206897,3.5296894827586
620,2,2214,2680,Contescourt,contescourt,49.790248518519,3.233424691358
621,2,2215,2820,Corbeny,corbeny,49.463493369565,3.8155698913043
622,2,2216,2600,Corcy,corcy,49.253456888889,3.2043091111111
623,2,2217,2380,Coucy-le-Château-Auffrique,coucy le chateau auffrique,49.516903033708,3.3240505617977
624,2,2218,2840,Coucy-lès-Eppes,coucy les eppes,49.554472702703,3.7754366216216
625,2,2219,2380,Coucy-la-Ville,coucy la ville,49.53954173913,3.3385358695652
626,2,2220,2130,Coulonges-Cohan,coulonges cohan,49.206018707483,3.6262873469388
627,2,2221,2310,Coupru,coupru,49.029293513514,3.2740537837838
628,2,2222,2800,Courbes,courbes,49.683904047619,3.4575311904762
629,2,2223,2330,Courboin,courboin,48.995327169811,3.50561
630,2,2224,2220,Courcelles-sur-Vesle,courcelles sur vesle,49.340224095238,3.570926952381
631,2,2225,2810,Courchamps,courchamps,49.114193478261,3.2604113043478
632,2,2226,2200,Courmelles,courmelles,49.343921578947,3.309492368421
633,2,2227,2130,Courmont,courmont,49.142367647059,3.5741469607843
634,2,2228,2850,Courtemont-Varennes,courtemont varennes,49.068570909091,3.5417279545455
635,2,2229,2820,Courtrizy-et-Fussigny,courtrizy et fussigny,49.517183137255,3.7958433333333
636,2,2230,2220,Couvrelles,couvrelles,49.336844262295,3.4881647540984
637,2,2231,2270,Couvron-et-Aumencourt,couvron et aumencourt,49.6451866,3.516422
638,2,2232,2600,Coyolles,coyolles,49.211532037671,3.0124088013699
