,,,,-SOMME,,,
31884,80,80186,80320,Chaulnes,chaulnes,49.815471803279,2.7986698360656
31885,80,80187,80310,La Chaussée-Tirancourt,la chaussee tirancourt,49.960092554745,2.1763082481752
31886,80,80188,80250,Chaussoy-Epagny,chaussoy epagny,49.722902179487,2.3323738461539
31887,80,80189,80700,La Chavatte,la chavatte,49.756165,2.7644804166667
31888,80,80190,80210,Chépy,chepy,50.069266049383,1.6466996296296
31889,80,80191,80170,Chilly,chilly,49.79793925,2.77271675
31890,80,80192,80800,Chipilly,chipilly,49.917620105263,2.6515937894737
31891,80,80193,80250,Chirmont,chirmont,49.716479677419,2.3687748387097
31892,80,80194,80340,Chuignes,chuignes,49.897654615385,2.747983956044
31893,80,80195,80340,Chuignolles,chuignolles,49.903368765432,2.7308277777778
31894,80,80196,80490,Citerne,citerne,49.981365689655,1.8186101724138
31895,80,80197,80200,Cizancourt,cizancourt,49.838529666667,2.9211733333333
31896,80,80198,80540,Clairy-Saulchoix,clairy saulchoix,49.853543818182,2.1669456363636
31897,80,80199,80200,Cléry-sur-Somme,clery sur somme,49.963534782609,2.8886539855073
31898,80,80200,80510,Cocquerel,cocquerel,50.055073684211,1.9603035789474
31899,80,80201,80560,Coigneux,coigneux,50.129044901961,2.5577939215686
31900,80,80202,80260,Coisy,coisy,49.96474775,2.3295035
31901,80,80203,80560,Colincamps,colincamps,50.100727183099,2.6036684507042
31902,80,80204,80360,Combles,combles,50.008264537037,2.8737290740741
31903,80,80205,80890,Condé-Folie,conde folie,50.002182835821,2.0218289552239
31904,80,80206,80300,Contalmaison,contalmaison,50.0299336,2.733384
31905,80,80207,80560,Contay,contay,50.0103431,2.468255
31906,80,80208,80370,Conteville,conteville,50.180899285714,2.0709616666667
31907,80,80209,80500,Contoire,contoire,49.724334,2.5536112631579
31908,80,80210,80160,Contre,contre,49.746761129032,2.0927281451613
31909,80,80211,80160,Conty,conty,49.752390920245,2.1457487116564
31910,80,80212,80800,Corbie,corbie,49.924223152174,2.5005568478261
31911,80,80213,80440,Cottenchy,cottenchy,49.808775769231,2.3695327692308
31912,80,80214,80250,Coullemelle,coullemelle,49.6670932,2.4262845333333
31913,80,80215,80135,Coulonvillers,coulonvillers,50.155304736842,2.0179630526316
