,,,,-MAINE-ET-LOIRE,,,
18022,49,49218,49600,Montrevault-sur-Èvre,montrevault sur evre,47.190386,-0.9984404
18023,49,49219,49730,Montsoreau,montsoreau,47.214903246753,0.05573337662338
18024,49,49220,49640,Morannes sur Sarthe-Daumeray,morannes sur sarthe daumeray,47.713684886076,-0.38161579746835
18025,49,49221,49390,Mouliherne,mouliherne,47.448699787234,0.01762068085106
18026,49,49222,49610,Mozé-sur-Louet,moze sur louet,47.363952155172,-0.57439495689655
18027,49,49223,49610,Mûrs-Erigné,murs erigne,47.392983710692,-0.55590830188679
18028,49,49224,49680,Neuillé,neuille,47.334330970874,-0.02356689320388
18029,49,49228,49390,Noyant-Villages,noyant villages,47.512893,0.114414
18030,49,49228,49490,Noyant-Villages,noyant villages,47.512893,0.114414
18031,49,49231,49340,Nuaillé,nuaille,47.086634895833,-0.781113125
18032,49,49235,49730,Parnay,parnay,47.215693658537,0.00023707317073
18033,49,49236,49560,Passavant-sur-Layon,passavant sur layon,47.1011886,-0.3846649
18034,49,49237,49490,La Pellerine,la pellerine,47.455435985915,0.12869711267606
18035,49,49240,49360,La Plaine,la plaine,47.063837161017,-0.62952533898305
18036,49,49241,49124,Le Plessis-Grammoire,le plessis grammoire,47.492362702703,-0.43297425675676
18037,49,49244,49110,Mauges-sur-Loire,mauges sur loire,47.286822,-0.984018
18038,49,49244,49290,Mauges-sur-Loire,mauges sur loire,47.310799,-0.835701
18039,49,49244,49410,Mauges-sur-Loire,mauges sur loire,47.310799,-0.835701
18040,49,49244,49570,Mauges-sur-Loire,mauges sur loire,47.387918,-0.859788
18041,49,49244,49620,Mauges-sur-Loire,mauges sur loire,47.361971,-0.85579
18042,49,49246,49130,Les Ponts-de-Cé,les ponts de ce,47.4254281875,-0.51069725
18043,49,49247,49170,La Possonnière,la possonniere,47.38455872093,-0.71238709302326
18044,49,49248,49420,Ombrée d'Anjou,ombree d anjou,47.7453419,-1.1663661
18045,49,49248,49520,Ombrée d'Anjou,ombree d anjou,47.7001155,-1.0164327
18046,49,49253,49260,Le Puy-Notre-Dame,le puy notre dame,47.110659395973,-0.23032268456376
18047,49,49257,49430,Les Rairies,les rairies,47.654443561644,-0.21192178082192
18048,49,49259,49190,Rochefort-sur-Loire,rochefort sur loire,47.344515045045,-0.65179635135135
18049,49,49260,49740,La Romagne,la romagne,47.053649955752,-1.0002218141593
18050,49,49261,49160,Gennes-Val-de-Loire,gennes val de loire,47.339678,-0.233325
18051,49,49261,49320,Gennes-Val-de-Loire,gennes val de loire,47.339678,-0.233325
18052,49,49261,49350,Gennes-Val-de-Loire,gennes val de loire,47.339678,-0.233325
18053,49,49262,49400,Rou-Marson,rou marson,47.243311271186,-0.15545644067797
18054,49,49266,49170,Saint-Augustin-des-Bois,saint augustin des bois,47.459659851852,-0.80661088888889
18055,49,49267,49124,Saint-Barthélemy-d'Anjou,saint barthelemy d anjou,47.472456727273,-0.48064845454545
18056,49,49269,49280,Saint-Christophe-du-Bois,saint christophe du bois,47.033683188073,-0.96572520642202
18057,49,49271,49370,Saint-Clément-de-la-Place,saint clement de la place,47.517355802048,-0.71917423208191
18058,49,49272,49350,Saint-Clément-des-Levées,saint clement des levees,47.350393814433,-0.18535319587629
18059,49,49274,49260,Saint-Cyr-en-Bourg,saint cyr en bourg,47.19527031746,-0.0466326984127
18060,49,49278,49130,Sainte-Gemmes-sur-Loire,sainte gemmes sur loire,47.427956352941,-0.57482152941176
18061,49,49283,49170,Saint-Georges-sur-Loire,saint georges sur loire,47.406525406977,-0.75413372093023
18062,49,49284,49170,Saint-Germain-des-Prés,saint germain des pres,47.416296076923,-0.80660246153846
18063,49,49288,49130,Saint-Jean-de-la-Croix,saint jean de la croix,47.409386226415,-0.58474150943396
18064,49,49289,49070,Saint-Jean-de-Linières,saint jean de linieres,47.455767619048,-0.67282849206349
18065,49,49291,49260,Saint-Just-sur-Dive,saint just sur dive,47.169772962963,-0.10690074074074
18066,49,49292,49190,Val-du-Layon,val du layon,47.301692,-0.634216
18067,49,49292,49750,Val-du-Layon,val du layon,47.301692,-0.634216
18068,49,49294,49070,Saint-Lambert-la-Potherie,saint lambert la potherie,47.487916323529,-0.68710669117647
18069,49,49298,49170,Saint-Léger-des-Bois,saint leger des bois,47.467048543046,-0.73101132450331
18070,49,49299,49280,Saint-Léger-sous-Cholet,saint leger sous cholet,47.102353834586,-0.89713541353383
18071,49,49301,49230,Sèvremoine,sevremoine,47.1112724,-1.1192313
18072,49,49301,49450,Sèvremoine,sevremoine,47.1120454,-1.0368513
18073,49,49301,49660,Sèvremoine,sevremoine,47.0434408,-1.0857288
18074,49,49301,49710,Sèvremoine,sevremoine,47.0243727,-1.0439355
18075,49,49302,49260,Saint-Macaire-du-Bois,saint macaire du bois,47.113749238095,-0.2901599047619
18076,49,49306,49170,Saint-Martin-du-Fouilloux,saint martin du fouilloux,47.437413385827,-0.70600417322835
18077,49,49307,49140,Loire-Authion,loire authion,47.470827,-0.350232
18078,49,49307,49250,Loire-Authion,loire authion,47.470827,-0.350232
18079,49,49307,49630,Loire-Authion,loire authion,47.4584114,-0.3162208
18080,49,49307,49800,Loire-Authion,loire authion,47.470827,-0.350232
18081,49,49308,49610,Saint-Melaine-sur-Aubance,saint melaine sur aubance,47.377627019868,-0.49768655629139
18082,49,49310,49310,Saint-Paul-du-Bois,saint paul du bois,47.091204414894,-0.54397473404255
18083,49,49311,49160,Saint-Philbert-du-Peuple,saint philbert du peuple,47.390390535714,-0.03836077380952
18084,49,49321,49123,Saint-Sigismond,saint sigismond,47.454698201439,-0.94189539568345
18085,49,49323,49112,Verrières-en-Anjou,verrieres en anjou,47.5340147,-0.4533086
18086,49,49323,49480,Verrières-en-Anjou,verrieres en anjou,47.5167158,-0.4813499
18087,49,49326,49800,Sarrigné,sarrigne,47.50400728972,-0.38994037383178
18088,49,49328,49400,Saumur,saumur,47.260211845638,-0.08185201342282
18089,49,49329,49170,Savennières,savennieres,47.41027203125,-0.665712421875
18090,49,49330,49330,Sceaux-d'Anjou,sceaux d anjou,47.628030814815,-0.60561177777778
18091,49,49331,49500,Segré-en-Anjou Bleu,segre en anjou bleu,47.689224,-0.868363
18092,49,49331,49520,Segré-en-Anjou Bleu,segre en anjou bleu,47.689224,-0.868363
18093,49,49332,49280,La Séguinière,la seguiniere,47.074127183908,-0.95770327586207
18094,49,49333,49140,Seiches-sur-le-Loir,seiches sur le loir,47.596734145078,-0.34595056994819
18095,49,49334,49140,Sermaise,sermaise,47.523642983871,-0.2145864516129
18096,49,49336,49360,Somloire,somloire,47.035556793651,-0.59629974603175
18097,49,49337,49140,Soucelles,soucelles,47.581009512195,-0.42566158536585
18098,49,49338,49610,Soulaines-sur-Aubance,soulaines sur aubance,47.357565675676,-0.51971873873874
18099,49,49339,49460,Soulaire-et-Bourg,soulaire et bourg,47.580358529412,-0.54442529411765
18100,49,49341,49400,Souzay-Champigny,souzay champigny,47.216449480519,-0.02370246753247
18101,49,49343,49280,La Tessoualle,la tessoualle,47.011802312925,-0.83175153061225
18102,49,49344,49220,Thorigné-d'Anjou,thorigne d anjou,47.63213877551,-0.66577173469388
18103,49,49345,49380,Bellevigne-en-Layon,bellevigne en layon,47.2717193,-0.5078841
18104,49,49345,49750,Bellevigne-en-Layon,bellevigne en layon,47.2808264,-0.6411527
18105,49,49347,49125,Tiercé,tierce,47.632898449198,-0.43930625668449
18106,49,49352,49360,Toutlemonde,toutlemonde,47.057739666667,-0.76210611111111
18107,49,49353,49800,Trélazé,trelaze,47.451262790698,-0.47899007751938
18108,49,49355,49340,Trémentines,trementines,47.119843398058,-0.80791378640777
18109,49,49358,49730,Turquant,turquant,47.209376567164,0.02119492537313
18110,49,49359,49700,Les Ulmes,les ulmes,47.226041894737,-0.18062852631579
18111,49,49361,49730,Varennes-sur-Loire,varennes sur loire,47.252218230769,0.04996453846154
18112,49,49362,49400,Varrains,varrains,47.229475833333,-0.06819238095238
18113,49,49364,49260,Vaudelnay,vaudelnay,47.138510992366,-0.21160381679389
18114,49,49367,49220,Erdre-en-Anjou,erdre en anjou,47.600665,-0.834591
18115,49,49367,49370,Erdre-en-Anjou,erdre en anjou,47.600665,-0.834591
18116,49,49368,49390,Vernantes,vernantes,47.40091004329,0.0175896969697
18117,49,49369,49390,Vernoil-le-Fourrier,vernoil le fourrier,47.406732296296,0.09323762962963
18118,49,49370,49400,Verrie,verrie,47.2697125,-0.18767048611111
18119,49,49371,49340,Vezins,vezins,47.114456694915,-0.72010783898305
18120,49,49373,49310,Lys-Haut-Layon,lys haut layon,47.1452623,-0.5354608
18121,49,49373,49540,Lys-Haut-Layon,lys haut layon,47.2231779,-0.4356667
18122,49,49373,49560,Lys-Haut-Layon,lys haut layon,47.1160843,-0.3833334
18123,49,49374,49400,Villebernier,villebernier,47.267051,-0.02236166666667
18124,49,49377,49140,Villevêque,villeveque,47.540536125654,-0.44739795811518
18125,49,49378,49680,Vivy,vivy,47.324469735099,-0.06447695364238
18126,49,49381,49360,Yzernay,yzernay,47.030801889535,-0.68528959302326
