,,,,-HAUTE-SAVOIE,,,
29825,74,74234,74210,Saint-Ferréol,saint ferreol,45.780069357143,6.3094329285714
29826,74,74235,74910,Saint-Germain-sur-Rhône,saint germain sur rhone,46.069679568966,5.8280202586207
29827,74,74236,74170,Saint-Gervais-les-Bains,saint gervais les bains,45.848881335616,6.7173830136986
29828,74,74237,74500,Saint-Gingolph,saint gingolph,46.388993913043,6.7821673913043
29829,74,74238,74430,Saint-Jean-d'Aulps,saint jean d aulps,46.223920261194,6.6680082462687
29830,74,74239,74450,Saint-Jean-de-Sixt,saint jean de sixt,45.9259078125,6.4063652083333
29831,74,74240,74250,Saint-Jean-de-Tholome,saint jean de tholome,46.109299933775,6.4085038410596
29832,74,74241,74490,Saint-Jeoire,saint jeoire,46.146448888889,6.4677819607843
29833,74,74242,74410,Saint-Jorioz,saint jorioz,45.814143853211,6.151649266055
29834,74,74243,74160,Saint-Julien-en-Genevois,saint julien en genevois,46.134372333333,6.0821502
29835,74,74244,74800,Saint-Laurent,saint laurent,46.038875862069,6.3559544827586
29836,74,74249,74500,Saint-Paul-en-Chablais,saint paul en chablais,46.364032666667,6.64053725
29837,74,74250,74800,Saint-Pierre-en-Faucigny,saint pierre en faucigny,46.064122467532,6.3630717532468
29838,74,74252,74300,Saint-Sigismond,saint sigismond,46.074935294118,6.6150930882353
29839,74,74253,74800,Saint-Sixt,saint sixt,46.043766285714,6.3204904761905
29840,74,74254,74540,Saint-Sylvestre,saint sylvestre,45.840061015625,6.011317265625
29841,74,74255,74150,Sales,sales,45.880345633803,5.9630427464789
29842,74,74256,74700,Sallanches,sallanches,45.93628211329,6.611342745098
29843,74,74257,74270,Sallenôves,sallenoves,46.002996179775,5.9918748314607
29844,74,74258,74340,Samoëns,samoens,46.086085119048,6.7454029285714
29845,74,74259,74350,Le Sappey,le sappey,46.086437176471,6.1654701764706
29846,74,74260,74520,Savigny,savigny,46.065816210526,5.9645995789474
29847,74,74261,74420,Saxel,saxel,46.245887297297,6.4004106756757
29848,74,74262,74930,Scientrier,scientrier,46.118113670886,6.3148374683544
29849,74,74263,74140,Sciez,sciez,46.33020148,6.37121308
29850,74,74264,74950,Scionzier,scionzier,46.050360243902,6.5486286585366
29851,74,74265,74230,Serraval,serraval,45.806242108434,6.3371060843373
29852,74,74266,74310,Servoz,servoz,45.941168653846,6.7816565384615
29853,74,74267,74320,Sevrier,sevrier,45.854492191781,6.1257819178082
29854,74,74269,74910,Seyssel,seyssel,45.965664,5.8514257
