id,department_code,insee_code,zip_code,-YVELINES,slug,gps_lat,gps_lng
31369,78,78564,78660,Saint-Martin-de-Bréthencourt,saint martin de brethencourt,48.516775982143,1.925223125
31370,78,78565,78790,Saint-Martin-des-Champs,saint martin des champs,48.874710151515,1.7159751515152
31371,78,78567,78520,Saint-Martin-la-Garenne,saint martin la garenne,49.033325809524,1.6745236190476
31372,78,78569,78730,Sainte-Mesme,sainte mesme,48.536256962025,1.9465373417721
31373,78,78571,78860,Saint-Nom-la-Bretèche,saint nom la breteche,48.858702539683,2.0160290476191
31374,78,78575,78470,Saint-Rémy-lès-Chevreuse,saint remy les chevreuse,48.702201346154,2.0755536538462
31375,78,78576,78690,Saint-Rémy-l'Honoré,saint remy l honore,48.752252166667,1.878101
31376,78,78586,78500,Sartrouville,sartrouville,48.938317419355,2.1809101612903
31377,78,78588,78650,Saulx-Marchais,saulx marchais,48.84383375,1.83523
31378,78,78590,78720,Senlisse,senlisse,48.682311730769,1.97339875
31379,78,78591,78790,Septeuil,septeuil,48.8892471,1.679007
31380,78,78597,78200,Soindres,soindres,48.953048285714,1.6697832857143
31381,78,78601,78120,Sonchamp,sonchamp,48.585017051282,1.8739957051282
31382,78,78605,78910,Tacoignières,tacoignieres,48.831350444444,1.6645284444444
31383,78,78606,78113,Le Tartre-Gaudran,le tartre gaudran,48.697707407407,1.6057233333333
31384,78,78608,78980,Le Tertre-Saint-Denis,le tertre saint denis,48.944080555556,1.6089658333333
31385,78,78609,78250,Tessancourt-sur-Aubette,tessancourt sur aubette,49.02213,1.9211284782609
31386,78,78615,78850,Thiverval-Grignon,thiverval grignon,48.84167487395,1.9288083193277
31387,78,78616,78770,Thoiry,thoiry,48.868866964286,1.7991346428571
31388,78,78618,78790,Tilly,tilly,48.879672705882,1.5704707058824
31389,78,78620,78117,Toussus-le-Noble,toussus le noble,48.746367758621,2.1165967241379
31390,78,78621,78190,Trappes,trappes,48.773049565217,1.990810326087
31391,78,78623,78490,Le Tremblay-sur-Mauldre,le tremblay sur mauldre,48.779923230769,1.8783203076923
31392,78,78624,78510,Triel-sur-Seine,triel sur seine,48.978040884956,2.0090362831858
31393,78,78638,78740,Vaux-sur-Seine,vaux sur seine,49.010757123288,1.9672126027397
31394,78,78640,78140,Vélizy-Villacoublay,velizy villacoublay,48.783071449275,2.2012073913043
31395,78,78642,78480,Verneuil-sur-Seine,verneuil sur seine,48.98127825,1.9659305
31396,78,78643,78540,Vernouillet,vernouillet,48.9655,1.97599
31397,78,78644,78320,La Verrière,la verriere,48.754302653061,1.9549183673469
31398,78,78646,78000,Versailles,versailles,48.801945371901,2.1305385950413
31399,78,78647,78930,Vert,vert,48.93929627907,1.6856334883721
31400,78,78650,78110,Le Vésinet,le vesinet,48.895408181818,2.1290418181818
31401,78,78653,78490,Vicq,vicq,48.818440140845,1.8280626760563
31402,78,78655,78125,Vieille-Église-en-Yvelines,vieille eglise en yvelines,48.669137246377,1.8758605797101
31403,78,78668,78270,La Villeneuve-en-Chevrie,la villeneuve en chevrie,49.013168211382,1.5378956097561
31404,78,78672,78670,Villennes-sur-Seine,villennes sur seine,48.938278142857,1.9965468571429
31405,78,78674,78450,Villepreux,villepreux,48.831099333333,2.0168157333333
31406,78,78677,78930,Villette,villette,48.926232278481,1.6945398734177
31407,78,78681,78770,Villiers-le-Mahieu,villiers le mahieu,48.855245443038,1.771593164557
31408,78,78683,78640,Villiers-Saint-Frédéric,villiers saint frederic,48.819721627907,1.8795055813954
31409,78,78686,78220,Viroflay,viroflay,48.802024385965,2.1701368421053
31410,78,78688,78960,Voisins-le-Bretonneux,voisins le bretonneux,48.758413559322,2.04384
