,,,,-EURE-ET-LOIRE,,,
10255,28,28139,28120,Épeautrolles,epeautrolles,48.31280527027,1.33131
10256,28,28140,28230,Épernon,epernon,48.601979160839,1.6809802097902
10257,28,28141,28120,Ermenonville-la-Grande,ermenonville la grande,48.333903650794,1.3818080952381
10258,28,28142,28120,Ermenonville-la-Petite,ermenonville la petite,48.290689016393,1.3480801639344
10259,28,28143,28270,Escorpain,escorpain,48.723036111111,1.2130666666667
10260,28,28144,28330,Les Étilleux,les etilleux,48.247516058394,0.81627299270073
10261,28,28146,28210,Faverolles,faverolles,48.679019705882,1.5857483823529
10262,28,28147,28170,Favières,favieres,48.533880337079,1.2248501123596
10263,28,28148,28190,Le Favril,le favril,48.457216923077,1.1165944230769
10264,28,28149,28340,La Ferté-Vidame,la ferte vidame,48.60368,0.89000494208494
10265,28,28151,28270,Fessanvilliers-Mattanvilliers,fessanvilliers mattanvilliers,48.70425625,1.0348601666667
10266,28,28153,28800,Flacey,flacey,48.152869268293,1.3319241463415
10267,28,28154,28190,Fontaine-la-Guyon,fontaine la guyon,48.476878113208,1.2955404716981
10268,28,28155,28170,Fontaine-les-Ribouts,fontaine les ribouts,48.652574571429,1.2507378571429
10269,28,28156,28240,Fontaine-Simon,fontaine simon,48.508199953917,0.99587599078341
10270,28,28157,28140,Fontenay-sur-Conie,fontenay sur conie,48.164858072289,1.6808246987952
10271,28,28158,28630,Fontenay-sur-Eure,fontenay sur eure,48.403023589744,1.4167092307692
10272,28,28159,28250,La Framboisière,la framboisiere,48.5964602,1.0154824
10273,28,28160,28700,Francourville,francourville,48.403209148936,1.6711936170213
10274,28,28161,28160,Frazé,fraze,48.25988539267,1.0990212041885
10275,28,28162,28360,Fresnay-le-Comte,fresnay le comte,48.304422592593,1.4812250617284
10276,28,28163,28300,Fresnay-le-Gilmert,fresnay le gilmert,48.516658301887,1.4165071698113
10277,28,28164,28310,Fresnay-l'Évêque,fresnay l eveque,48.259673119266,1.8250133027523
10278,28,28165,28480,Frétigny,fretigny,48.363246378601,1.0057162139918
10279,28,28166,28240,Friaize,friaize,48.431114083333,1.1168344166667
10280,28,28167,28190,Fruncé,frunce,48.407554594595,1.1980304504504
10281,28,28168,28320,Gallardon,gallardon,48.529013958333,1.6883321875
10282,28,28169,28700,Garancières-en-Beauce,garancieres en beauce,48.434492891566,1.918791686747
10283,28,28170,28500,Garancières-en-Drouais,garancieres en drouais,48.701061964286,1.2857633928571
10284,28,28171,28500,Garnay,garnay,48.697917403846,1.3378518269231
10285,28,28172,28320,Gas,gas,48.563134660194,1.6592581553398
10286,28,28173,28300,Gasville-Oisème,gasville oiseme,48.47138377551,1.5508119387755
10287,28,28175,28400,La Gaudaine,la gaudaine,48.297573565217,0.9494712173913
10288,28,28176,28800,Le Gault-Saint-Denis,le gault saint denis,48.250793061224,1.472241122449
10289,28,28177,28630,Gellainville,gellainville,48.414221234568,1.5391619753086
10290,28,28178,28500,Germainville,germainville,48.744607636364,1.4741065454545
10291,28,28180,28260,Gilles,gilles,48.910732372881,1.5224111864407
10292,28,28182,28160,Gohory,gohory,48.164679393939,1.2139261616162
10293,28,28183,28310,Gommerville,gommerville,48.345841,1.944657
10294,28,28183,28700,Gommerville,gommerville,48.345841,1.944657
10295,28,28184,28310,Gouillons,gouillons,48.343404054054,1.8417794594595
10296,28,28185,28410,Goussainville,goussainville,48.784052396694,1.5639452892562
10297,28,28187,28260,Guainville,guainville,48.920167126437,1.4814374712644
10298,28,28188,28700,Le Gué-de-Longroi,le gue de longroi,48.492457865169,1.7126793258427
10299,28,28189,28310,Guilleville,guilleville,48.22612,1.8036744642857
10300,28,28190,28140,Guillonville,guillonville,48.086210366972,1.6467546788991
10301,28,28191,28130,Hanches,hanches,48.601210780142,1.6502685815603
10302,28,28192,28480,Happonvilliers,happonvilliers,48.333007437186,1.1004568844221
10303,28,28193,28410,Havelu,havelu,48.786349047619,1.5362140476191
10304,28,28194,28700,Houville-la-Branche,houville la branche,48.442553918919,1.6363764864865
10305,28,28195,28130,Houx,houx,48.565025342466,1.6203406849315
10306,28,28196,28120,Illiers-Combray,illiers combray,48.305437849057,1.2175160754717
10307,28,28197,28310,Intréville,intreville,48.300361627907,1.9391030232558
10308,28,28198,28200,Jallans,jallans,48.077005925926,1.3841064814815
10309,28,28199,28310,Janville,janville,48.20145295082,1.8879416393443
10310,28,28200,28250,Jaudrais,jaudrais,48.573127349398,1.122984939759
10311,28,28201,28300,Jouy,jouy,48.516077058824,1.5509950588235
10312,28,28202,28340,Lamblore,lamblore,48.624452839506,0.91478135802469
10313,28,28203,28190,Landelles,landelles,48.463224954128,1.1953639449541
10314,28,28205,28200,Lanneray,lanneray,48.083118502674,1.2240411229946
10315,28,28206,28270,Laons,laons,48.703780752688,1.1837804301075
10316,28,28207,28700,Léthuin,lethuin,48.374196451613,1.858125483871
10317,28,28208,28700,Levainville,levainville,48.488645694444,1.7425581944444
10318,28,28209,28300,Lèves,leves,48.476011358025,1.4743298765432
10319,28,28210,28310,Levesville-la-Chenard,levesville la chenard,48.301442916667,1.829186875
10320,28,28211,28200,Logron,logron,48.13947975,1.2542325
10321,28,28212,28140,Loigny-la-Bataille,loigny la bataille,48.129907472527,1.723580989011
10322,28,28213,28210,Lormaye,lormaye,48.638742077922,1.5433071428571
10323,28,28214,28240,La Loupe,la loupe,48.473920413223,1.0205701652893
10324,28,28215,28150,Louville-la-Chenard,louville la chenard,48.328404150943,1.7991864150943
10325,28,28216,28500,Louvilliers-en-Drouais,louvilliers en drouais,48.7329215625,1.2842259375
10326,28,28217,28250,Louvilliers-lès-Perche,louvilliers les perche,48.616463368421,1.0668311578947
10327,28,28218,28110,Lucé,luce,48.436171875,1.4516483333333
10328,28,28219,28480,Luigny,luigny,48.234523571429,1.0273125714286
10329,28,28220,28600,Luisant,luisant,48.425116216216,1.4747762162162
10330,28,28221,28140,Lumeau,lumeau,48.103665227273,1.7874163636364
10331,28,28222,28360,Luplanté,luplante,48.297155113636,1.3835635227273
10332,28,28223,28500,Luray,luray,48.717713584906,1.3979194339623
10333,28,28225,28120,Magny,magny,48.342702842105,1.2685667368421
10334,28,28226,28170,Maillebois,maillebois,48.631748125,1.1576507589286
10335,28,28227,28130,Maintenon,maintenon,48.580406724138,1.5798052586207
10336,28,28229,28300,Mainvilliers,mainvilliers,48.463362473118,1.4471837634409
10337,28,28230,28700,Maisons,maisons,48.408034444444,1.8370498148148
10338,28,28231,28270,La Mancelière,la manceliere,48.640965142857,0.98774385714286
10339,28,28232,28240,Manou,manou,48.533386901408,0.96182169014084
10340,28,28233,28200,Marboué,marboue,48.121209555556,1.3045877037037
10341,28,28234,28120,Marchéville,marcheville,48.363377454545,1.2356257272727
10342,28,28235,28410,Marchezais,marchezais,48.7756052,1.5128224
10343,28,28236,28400,Margon,margon,48.339289589744,0.84932764102564
10344,28,28237,28400,Marolles-les-Buis,marolles les buis,48.36647611399,0.93795730569948
10345,28,28239,28500,Marville-Moutiers-Brûlé,marville moutiers brule,48.677806363636,1.3796268181818
10346,28,28240,28240,Meaucé,meauce,48.483625153374,0.98500036809816
10347,28,28242,28120,Méréglise,mereglise,48.292624893617,1.1868374468085
10348,28,28243,28310,Mérouville,merouville,48.30175787234,1.9013185106383
10349,28,28245,28120,Meslay-le-Grenet,meslay le grenet,48.372859365079,1.390206984127
10350,28,28246,28360,Meslay-le-Vidame,meslay le vidame,48.277321020408,1.4825167346939
10351,28,28247,28260,Le Mesnil-Simon,le mesnil simon,48.890838780488,1.5407701219512
10352,28,28248,28250,Le Mesnil-Thomas,le mesnil thomas,48.589805840708,1.0882938938053
10353,28,28249,28130,Mévoisins,mevoisins,48.554455,1.5969258928571
10354,28,28251,28500,Mézières-en-Drouais,mezieres en drouais,48.725203037975,1.4391572151899
10355,28,28252,28480,Miermaigne,miermaigne,48.245310909091,0.99781247933884
10356,28,28253,28630,Mignières,mignieres,48.365485147059,1.4279388235294
10357,28,28254,28190,Mittainvilliers-Vérigny,mittainvilliers verigny,48.508645065789,1.3226028947368
10358,28,28255,28700,Moinville-la-Jeulin,moinville la jeulin,48.378809722222,1.6977038888889
10359,28,28256,28200,Moléans,moleans,48.118725779817,1.3957335779816
10360,28,28257,28700,Mondonville-Saint-Jean,mondonville saint jean,48.363080434783,1.8237882608696
10361,28,28259,28800,Montboissier,montboissier,48.225757304348,1.4084223478261
10362,28,28260,28800,Montharville,montharville,48.177283968254,1.3270373015873
