,,,,-MEUSE,,,
20675,55,55183,55150,Étraye,etraye,49.326916575342,5.3579108219178
20676,55,55184,55200,Euville,euville,48.742289736842,5.6450688421053
20677,55,55185,55250,Èvres,evres,48.980792075472,5.1262477358491
20678,55,55186,55000,Fains-Véel,fains veel,48.782943932039,5.1138619417476
20679,55,55188,55600,Flassigny,flassigny,49.478351363636,5.4432993939394
20680,55,55189,55100,Fleury-devant-Douaumont,fleury devant douaumont,49.191215873016,5.443290952381
20681,55,55191,55400,Foameix-Ornel,foameix ornel,49.237755874126,5.6155896503496
20682,55,55192,55110,Fontaines-Saint-Clair,fontaines saint clair,49.369015555556,5.2422525925926
20683,55,55193,55110,Forges-sur-Meuse,forges sur meuse,49.258241538462,5.272549
20684,55,55194,55250,Foucaucourt-sur-Thabas,foucaucourt sur thabas,49.008200887097,5.0916969354839
20685,55,55195,55500,Fouchères-aux-Bois,foucheres aux bois,48.630353382353,5.2486318382353
20686,55,55196,55200,Frémeréville-sous-les-Côtes,fremereville sous les cotes,48.807212531646,5.6595188607595
20687,55,55197,55260,Fresnes-au-Mont,fresnes au mont,48.901945809524,5.4261362857143
20688,55,55198,55160,Fresnes-en-Woëvre,fresnes en woevre,49.102936074766,5.6351134579439
20689,55,55199,55120,Froidos,froidos,49.062818073395,5.1195705504587
20690,55,55200,55100,Fromeréville-les-Vallons,fromereville les vallons,49.169326631016,5.2879478074866
20691,55,55201,55400,Fromezey,fromezey,49.208389571429,5.5839547142857
20692,55,55202,55120,Futeau,futeau,49.074442424242,5.0101776767677
20693,55,55204,55320,Génicourt-sur-Meuse,genicourt sur meuse,49.041743265306,5.4419983673469
20694,55,55206,55110,Gercourt-et-Drillancourt,gercourt et drillancourt,49.28277,5.2357463265306
20695,55,55207,55000,Géry,gery,48.786813571429,5.3003396428571
20696,55,55208,55110,Gesnes-en-Argonne,gesnes en argonne,49.305427570093,5.057293364486
20697,55,55210,55260,Gimécourt,gimecourt,48.848389431818,5.3717268181818
20698,55,55211,55400,Gincrey,gincrey,49.261271653543,5.5629134645669
20699,55,55212,55200,Girauvoisin,girauvoisin,48.807558472222,5.6336391666667
20700,55,55214,55500,Givrauval,givrauval,48.657183636364,5.3163743356643
20701,55,55215,55130,Gondrecourt-le-Château,gondrecourt le chateau,48.489601891026,5.4793676923077
20702,55,55216,55230,Gouraincourt,gouraincourt,49.298422527473,5.6717584615385
20703,55,55217,55140,Goussaincourt,goussaincourt,48.481061851852,5.6724441975309
20704,55,55218,55150,Gremilly,gremilly,49.278193546099,5.5110455319149
20705,55,55219,55400,Grimaucourt-en-Woëvre,grimaucourt en woevre,49.163638125,5.56546425
20706,55,55220,55500,Grimaucourt-près-Sampigny,grimaucourt pres sampigny,48.78416962963,5.4617702469136
20707,55,55221,55000,Guerpont,guerpont,48.721555046729,5.2552999065421
20708,55,55222,55400,Gussainville,gussainville,49.165488461538,5.6639082307692
20709,55,55224,55000,Haironville,haironville,48.689264421769,5.0913362585034
20710,55,55225,55700,Halles-sous-les-Côtes,halles sous les cotes,49.448547846154,5.1332124615385
20711,55,55226,55600,Han-lès-Juvigny,han les juvigny,49.48042472973,5.3329067567568
20712,55,55228,55210,Hannonville-sous-les-Côtes,hannonville sous les cotes,49.036963453237,5.6616713669065
20713,55,55229,55300,Han-sur-Meuse,han sur meuse,48.857011503759,5.5396696240602
20714,55,55232,55160,Harville,harville,49.096242886598,5.7254986597938
20715,55,55236,55100,Haudainville,haudainville,49.125890309278,5.4234801030928
20716,55,55237,55160,Haudiomont,haudiomont,49.114068058252,5.5463810679612
20717,55,55239,55100,Haumont-près-Samogneux,haumont pres samogneux,49.278160576923,5.3674310576923
20718,55,55241,55220,Heippes,heippes,48.998019344262,5.2771132786885
20719,55,55242,55160,Hennemont,hennemont,49.1431336,5.66306808
20720,55,55243,55210,Herbeuville,herbeuville,49.049667746479,5.6419298591549
20721,55,55244,55400,Herméville-en-Woëvre,hermeville en woevre,49.179185045045,5.6007793693694
20722,55,55245,55210,Heudicourt-sous-les-Côtes,heudicourt sous les cotes,48.9325278,5.6961776
20723,55,55246,55290,Hévilliers,hevilliers,48.601282321429,5.3267808035714
20724,55,55247,55130,Horville-en-Ornois,horville en ornois,48.486733367347,5.4658331632653
20725,55,55248,55130,Houdelaincourt,houdelaincourt,48.550086710526,5.4666689473684
20726,55,55250,55700,Inor,inor,49.553257142857,5.1616641428571
20727,55,55251,55220,Ippécourt,ippecourt,49.039326752137,5.2138404273504
20728,55,55252,55600,Iré-le-Sec,ire le sec,49.47288702381,5.3948567857143
20729,55,55253,55120,Les Islettes,les islettes,49.112692564103,5.0098708547008
20730,55,55254,55220,Les Trois-Domaines,les trois domaines,48.969917058824,5.2821558235294
20731,55,55255,55600,Jametz,jametz,49.430219,5.3836897272727
20732,55,55256,55160,Jonville-en-Woëvre,jonville en woevre,49.06009624,5.79407456
20733,55,55257,55120,Jouy-en-Argonne,jouy en argonne,49.137017752809,5.222337752809
20734,55,55258,55200,Geville,geville,48.784542869565,5.7037392173913
20735,55,55260,55120,Julvécourt,julvecourt,49.05984625,5.186459296875
20736,55,55261,55170,Juvigny-en-Perthois,juvigny en perthois,48.595825164835,5.1687942857143
20737,55,55262,55600,Juvigny-sur-Loison,juvigny sur loison,49.464302153846,5.3379204615385
20738,55,55263,55300,Kœur-la-Grande,koeur la grande,48.865062647059,5.4670921568628
20739,55,55264,55300,Kœur-la-Petite,koeur la petite,48.853456111111,5.4764655
20740,55,55265,55160,Labeuville,labeuville,49.094193564356,5.7799893069307
20741,55,55266,55120,Lachalade,lachalade,49.170369865471,4.9838491479821
20742,55,55267,55210,Lachaussée,lachaussee,49.029335755102,5.8064709387755
20743,55,55268,55300,Lacroix-sur-Meuse,lacroix sur meuse,48.981918231707,5.5222204878049
20744,55,55269,55260,Lahaymeix,lahaymeix,48.934700097087,5.4150729126214
20745,55,55270,55300,Lahayville,lahayville,48.892158095238,5.7710064285714
20746,55,55271,55800,Laheycourt,laheycourt,48.908403745174,5.0371362548263
20747,55,55272,55800,Laimont,laimont,48.842776444444,5.0411413333333
20748,55,55274,55300,Lamorville,lamorville,48.962177125749,5.5936737125748
20749,55,55275,55700,Lamouilly,lamouilly,49.54898483871,5.2415879569892
20750,55,55276,55100,Landrecourt-Lempire,landrecourt lempire,49.099549634146,5.3325892682927
20751,55,55278,55190,Laneuville-au-Rupt,laneuville au rupt,48.704530305344,5.5829999236641
20752,55,55279,55700,Laneuville-sur-Meuse,laneuville sur meuse,49.495576057441,5.1018664490862
20753,55,55280,55400,Lanhères,lanheres,49.209892788462,5.7126204807692
20754,55,55281,55160,Latour-en-Woëvre,latour en woevre,49.090510224719,5.8035513483146
20755,55,55282,55260,Lavallée,lavallee,48.807239307692,5.3308036153846
20756,55,55284,55170,Lavincourt,lavincourt,48.655692162162,5.1477503603604
20757,55,55285,55120,Lavoye,lavoye,49.048804233577,5.1351437226277
20758,55,55286,55220,Lemmes,lemmes,49.069618235294,5.2923852941176
20759,55,55288,55200,Lérouville,lerouville,48.781397956989,5.5398405376344
20760,55,55289,55260,Levoncourt,levoncourt,48.8270419,5.3487253
20761,55,55290,55260,Lignières-sur-Aire,lignieres sur aire,48.812483571429,5.388455
20762,55,55291,55500,Ligny-en-Barrois,ligny en barrois,48.65427271137,5.2861658600583
20763,55,55292,55110,Liny-devant-Dun,liny devant dun,49.3546667,5.2060107
20764,55,55293,55110,Lion-devant-Dun,lion devant dun,49.423927575758,5.2669015151515
20765,55,55295,55250,Lisle-en-Barrois,lisle en barrois,48.923735229759,5.0570715317287
20766,55,55296,55000,L'Isle-en-Rigault,l isle en rigault,48.713147731959,5.041258556701
20767,55,55297,55150,Lissey,lissey,49.377915049505,5.3699932673267
20768,55,55298,55000,Loisey,loisey,48.775392424242,5.2994923636364
20769,55,55299,55230,Loison,loison,49.302820306748,5.5919284662577
20770,55,55300,55500,Longeaux,longeaux,48.643328115942,5.3282563768116
20771,55,55301,55260,Longchamps-sur-Aire,longchamps sur aire,48.915158689956,5.3109238864629
20772,55,55302,55000,Longeville-en-Barrois,longeville en barrois,48.740514784946,5.2018219892473
20773,55,55303,55300,Loupmont,loupmont,48.868435932203,5.6797272881356
20774,55,55304,55800,Louppy-le-Château,louppy le chateau,48.866612213115,5.0757563934426
20775,55,55306,55600,Louppy-sur-Loison,louppy sur loison,49.442072727273,5.3430109090909
20776,55,55307,55100,Louvemont-Côte-du-Poivre,louvemont cote du poivre,49.238243222222,5.4028616666667
20777,55,55310,55700,Luzy-Saint-Martin,luzy saint martin,49.525532,5.1473976842105
20778,55,55311,55160,Maizeray,maizeray,49.104454166667,5.705571875
20779,55,55312,55300,Maizey,maizey,48.926945202703,5.5325663513513
20780,55,55313,55270,Malancourt,malancourt,49.237194923077,5.1758633846154
20781,55,55315,55290,Mandres-en-Barrois,mandres en barrois,48.49691147651,5.3934095973154
20782,55,55316,55150,Mangiennes,mangiennes,49.346096629214,5.5339485955056
20783,55,55317,55160,Manheulles,manheulles,49.119616111111,5.5956742222222
20784,55,55320,55160,Marchéville-en-Woëvre,marcheville en woevre,49.085921929825,5.6848196491228
20785,55,55321,55100,Marre,marre,49.198344695652,5.2951733913043
20786,55,55322,55190,Marson-sur-Barboure,marson sur barboure,48.634402380952,5.4434579047619
20787,55,55323,55700,Martincourt-sur-Meuse,martincourt sur meuse,49.532532685185,5.1770717592593
20788,55,55324,55600,Marville,marville,49.447733757962,5.4482375159236
20789,55,55325,55400,Maucourt-sur-Orne,maucourt sur orne,49.252768837209,5.51516
20790,55,55326,55500,Maulan,maulan,48.664808252427,5.2530574757282
20791,55,55327,55190,Mauvages,mauvages,48.597889357143,5.5500962857143
20792,55,55328,55140,Maxey-sur-Vaise,maxey sur vaise,48.5386964,5.6637964
20793,55,55329,55300,Mécrin,mecrin,48.826722056075,5.5458618691589
20794,55,55330,55190,Méligny-le-Grand,meligny le grand,48.678682767857,5.4925353571429
20795,55,55331,55190,Méligny-le-Petit,meligny le petit,48.655318117647,5.4741797647059
20796,55,55332,55500,Menaucourt,menaucourt,48.65372,5.3570634567901
20797,55,55333,55260,Ménil-aux-Bois,menil aux bois,48.80048,5.4377218518519
20798,55,55334,55190,Ménil-la-Horgne,menil la horgne,48.696102654867,5.5364554867257
20799,55,55335,55500,Ménil-sur-Saulx,menil sur saulx,48.618044507042,5.2075434507042
20800,55,55336,55150,Merles-sur-Loison,merles sur loison,49.367048534483,5.4757568103448
20801,55,55338,55110,Milly-sur-Bradon,milly sur bradon,49.398648316832,5.2123142574257
20802,55,55339,55400,Mogeville,mogeville,49.24354745098,5.542167254902
20803,55,55340,55800,Mognéville,mogneville,48.774710869565,4.9958190217391
20804,55,55341,55150,Moirey-Flabas-Crépion,moirey flabas crepion,49.298326929825,5.3853070175439
20805,55,55343,55270,Montblainville,montblainville,49.244413064516,4.9963016129032
20806,55,55344,55140,Montbras,montbras,48.515738101266,5.6995321518987
20807,55,55345,55110,Mont-devant-Sassey,mont devant sassey,49.41257019802,5.1631911881188
20808,55,55346,55270,Montfaucon-d'Argonne,montfaucon d argonne,49.254683963415,5.1374496341463
20809,55,55347,55320,Les Monthairons,les monthairons,49.042451181818,5.3929646363636
20810,55,55348,55290,Montiers-sur-Saulx,montiers sur saulx,48.542834131737,5.2649150898204
20811,55,55349,55110,Montigny-devant-Sassey,montigny devant sassey,49.428673150685,5.1342239726027
20812,55,55350,55140,Montigny-lès-Vaucouleurs,montigny les vaucouleurs,48.583246574074,5.609532037037
20813,55,55351,55600,Montmédy,montmedy,49.514370521739,5.3741306086957
20814,55,55352,55000,Montplonne,montplonne,48.700071256039,5.1702703864734
20815,55,55353,55300,Montsec,montsec,48.889022235294,5.7211411764706
20816,55,55355,55100,Montzéville,montzeville,49.18754919708,5.2066056204379
20817,55,55356,55400,Moranville,moranville,49.182491595745,5.5426188297872
20818,55,55357,55400,Morgemoulin,morgemoulin,49.229111014493,5.5684368115942
20819,55,55358,55500,Chanteraine,chanteraine,48.671618175676,5.3988514189189
20820,55,55359,55290,Morley,morley,48.576340564972,5.2269279096045
20821,55,55360,55320,Mouilly,mouilly,49.055320327869,5.5345042622951
20822,55,55361,55400,Moulainville,moulainville,49.159767894737,5.4883595614035
20823,55,55362,55700,Moulins-Saint-Hubert,moulins saint hubert,49.575690945946,5.1243160810811
20824,55,55363,55160,Moulotte,moulotte,49.106275373134,5.7540532835821
20825,55,55364,55700,Mouzay,mouzay,49.443683429487,5.2421826282051
20826,55,55365,55110,Murvaux,murvaux,49.401781132075,5.2799772641509
