,,,,-HAUTE-LOIRE,,,
16457,43,43155,43300,Prades,prades,45.024756038961,3.5963988961039
16458,43,43156,43150,Présailles,presailles,44.891763864542,4.0438837848606
16459,43,43157,43000,Le Puy-en-Velay,le puy en velay,45.03290048,3.8931146
16460,43,43158,43260,Queyrières,queyrieres,45.073098431373,4.0982547058823
16461,43,43159,43290,Raucoules,raucoules,45.194818362069,4.2813825862069
16462,43,43160,43340,Rauret,rauret,44.803877424893,3.8010657081545
16463,43,43162,43130,Retournac,retournac,45.221693294118,4.0290545588235
16464,43,43163,43220,Riotord,riotord,45.231138138801,4.4129501577287
16465,43,43164,43810,Roche-en-Régnier,roche en regnier,45.232563662791,3.9441709883721
16466,43,43165,43800,Rosières,rosieres,45.130459609929,4.0052127659574
16467,43,43166,43130,Saint-André-de-Chalencon,saint andre de chalencon,45.277421477273,3.95800375
16468,43,43167,43300,Saint-Arcons-d'Allier,saint arcons d allier,45.084750091743,3.564092706422
16469,43,43168,43420,Saint-Arcons-de-Barges,saint arcons de barges,44.834421270492,3.9196584016393
16470,43,43169,43380,Saint-Austremoine,saint austremoine,45.119182684564,3.3517223825503
16471,43,43170,43100,Saint-Beauzire,saint beauzire,45.274280971223,3.2777662589928
16472,43,43171,43300,Saint-Bérain,saint berain,45.030117120419,3.6225890575916
16473,43,43172,43290,Saint-Bonnet-le-Froid,saint bonnet le froid,45.137960108108,4.4338703783784
16474,43,43173,43340,Saint-Christophe-d'Allier,saint christophe d allier,44.846886868687,3.6983112121212
16475,43,43174,43370,Saint-Christophe-sur-Dolaison,saint christophe sur dolaison,44.992778931624,3.829518034188
16476,43,43175,43380,Saint-Cirgues,saint cirgues,45.132992818182,3.3810592272727
16477,43,43177,43140,Saint-Didier-en-Velay,saint didier en velay,45.305948436364,4.2814585454545
16478,43,43178,43440,Saint-Didier-sur-Doulon,saint didier sur doulon,45.303642833876,3.5437424429967
16479,43,43180,43420,Saint-Étienne-du-Vigan,saint etienne du vigan,44.788646330935,3.8341617985612
16480,43,43181,43260,Saint-Étienne-Lardeyrol,saint etienne lardeyrol,45.085879545455,4.0066192424242
16481,43,43182,43450,Saint-Étienne-sur-Blesle,saint etienne sur blesle,45.305557018868,3.1235556603774
16482,43,43183,43230,Sainte-Eugénie-de-Villeneuve,sainte eugenie de villeneuve,45.140847515924,3.626748089172
16483,43,43184,43330,Saint-Ferréol-d'Auroure,saint ferreol d auroure,45.361190935961,4.2557796551724
16484,43,43185,43250,Sainte-Florine,sainte florine,45.400926581197,3.3125488888889
16485,43,43186,43550,Saint-Front,saint front,44.975313941606,4.1331688807786
16486,43,43187,43350,Saint-Geneys-près-Saint-Paulien,saint geneys pres saint paulien,45.178399296482,3.8331663819096
16487,43,43188,43230,Saint-Georges-d'Aurac,saint georges d aurac,45.152479613734,3.5642141630901
16488,43,43189,43500,Saint-Georges-Lagricol,saint georges lagricol,45.30165897561,3.8929398536585
16489,43,43190,43700,Saint-Germain-Laprade,saint germain laprade,45.0354890625,3.9723979166667
16490,43,43191,43360,Saint-Géron,saint geron,45.332347687075,3.2963387755102
16491,43,43192,43340,Saint-Haon,saint haon,44.862021149425,3.752651637931
16492,43,43193,43390,Saint-Hilaire,saint hilaire,45.381564933333,3.4440604
16493,43,43194,43260,Saint-Hostien,saint hostien,45.077470952381,4.0458732539683
16494,43,43195,43380,Saint-Ilpize,saint ilpize,45.199144324324,3.4102310810811
16495,43,43196,43500,Saint-Jean-d'Aubrigoux,saint jean d aubrigoux,45.359669098039,3.8176675294118
16496,43,43197,43320,Saint-Jean-de-Nay,saint jean de nay,45.06457475,3.6917638571429
16497,43,43198,43510,Saint-Jean-Lachalm,saint jean lachalm,44.943341330472,3.7128484978541
16498,43,43199,43200,Saint-Jeures,saint jeures,45.114547822878,4.2096225461255
