id,department_code,insee_code,zip_code,-CHARENTE-MARITIME,slug,gps_lat,gps_lng
5686,17,17002,17500,Agudelle,agudelle,45.384095810811,-0.46477472972973
5687,17,17003,17290,Aigrefeuille-d'Aunis,aigrefeuille d aunis,46.119108645833,-0.9372190625
5688,17,17004,17123,Île-d'Aix,ile d aix,46.015937850467,-1.1726771028037
5689,17,17005,17150,Allas-Bocage,allas bocage,45.384684214876,-0.50199900826446
5690,17,17006,17500,Allas-Champagne,allas champagne,45.46954260274,-0.34131068493151
5691,17,17007,17540,Anais,anais,46.174482692308,-0.90129192307692
5692,17,17008,17230,Andilly,andilly,46.2601815,-1.0312316
5693,17,17009,17540,Angliers,angliers,46.206202564103,-0.94774551282051
5694,17,17010,17690,Angoulins,angoulins,46.106226388889,-1.1106456481482
5695,17,17011,17350,Annepont,annepont,45.843710208333,-0.60821020833333
5696,17,17012,17380,Annezay,annezay,46.012191411765,-0.69546152941176
5697,17,17013,17400,Antezant-la-Chapelle,antezant la chapelle,45.998783125,-0.480456375
5698,17,17015,17120,Arces,arces,45.56016922619,-0.87646404761905
5699,17,17016,17520,Archiac,archiac,45.522711568627,-0.29808745098039
5700,17,17017,17380,Archingeay,archingeay,45.929377865169,-0.71400449438202
5701,17,17018,17290,Ardillières,ardillieres,46.048010752688,-0.88673258064516
5702,17,17019,17590,Ars-en-Ré,ars en re,46.211761375465,-1.5044493680297
5703,17,17020,17520,Arthenac,arthenac,45.501716666667,-0.32694366666667
5704,17,17021,17530,Arvert,arvert,45.74906,-1.1110856886228
5705,17,17022,17400,Asnières-la-Giraud,asnieres la giraud,45.892672403101,-0.50204302325581
5706,17,17023,17770,Aujac,aujac,45.84426345679,-0.39426283950617
5707,17,17024,17470,Aulnay,aulnay,46.018304456522,-0.34865195652174
5708,17,17025,17770,Aumagne,aumagne,45.872085463918,-0.40320680412371
5709,17,17026,17770,Authon-Ébéon,authon ebeon,45.84257673913,-0.42509536231884
5710,17,17027,17800,Avy,avy,45.549968411215,-0.50911607476636
5711,17,17028,17440,Aytré,aytre,46.132631376147,-1.1181030275229
5712,17,17029,17160,Bagnizeau,bagnizeau,45.900912765957,-0.31096031914894
5713,17,17030,17600,Balanzac,balanzac,45.75059258427,-0.8432291011236
5714,17,17031,17160,Ballans,ballans,45.805880232558,-0.22679302325581
5715,17,17032,17290,Ballon,ballon,46.052657377049,-0.97437983606557
5716,17,17033,17360,La Barde,la barde,45.131456,-0.06974869387755
5717,17,17034,17120,Barzan,barzan,45.529508039216,-0.87103039215686
5718,17,17035,17490,Bazauges,bazauges,45.917562631579,-0.15873210526316
5719,17,17036,17620,Beaugeay,beaugeay,45.869031968504,-1.0132162204724
5720,17,17037,17490,Beauvais-sur-Matha,beauvais sur matha,45.892436041667,-0.17428677083333
5721,17,17038,17210,Bedenac,bedenac,45.178460114943,-0.31494624521073
5722,17,17039,17800,Belluire,belluire,45.53025304878,-0.55347902439024
5723,17,17041,17170,Benon,benon,46.199973772894,-0.78422366300366
5724,17,17042,17770,Bercloux,bercloux,45.839437526882,-0.45403838709677
5725,17,17043,17330,Bernay-Saint-Martin,bernay saint martin,46.06622393617,-0.62545787234043
5726,17,17044,17460,Berneuil,berneuil,45.669045190476,-0.59014680952381
5727,17,17045,17250,Beurlay,beurlay,45.861758363636,-0.84347445454545
5728,17,17046,17400,Bignay,bignay,45.916286133333,-0.6017288
5729,17,17047,17800,Biron,biron,45.568518571429,-0.48694920634921
5730,17,17048,17160,Blanzac-lès-Matha,blanzac les matha,45.870111443299,-0.35937195876289
5731,17,17049,17470,Blanzay-sur-Boutonne,blanzay sur boutonne,46.054156574074,-0.42684092592593
5732,17,17050,17240,Bois,bois,45.481084180328,-0.61164770491803
5733,17,17051,17580,Le Bois-Plage-en-Ré,le bois plage en re,46.181136989247,-1.3711117204301
5734,17,17052,17150,Boisredon,boisredon,45.315658956522,-0.54421043478261
5735,17,17053,17430,Bords,bords,45.899074952381,-0.78105304761905
5736,17,17054,17270,Boresse-et-Martron,boresse et martron,45.273627297297,-0.12068155405405
5737,17,17055,17360,Boscamnant,boscamnant,45.192643347826,-0.05701991304348
5738,17,17056,17800,Bougneau,bougneau,45.603190982143,-0.51278714285714
5739,17,17057,17540,Bouhet,bouhet,46.163500862069,-0.85008370689655
5740,17,17058,17560,Bourcefranc-le-Chapus,bourcefranc le chapus,45.852341652542,-1.1341020338983
5741,17,17059,17220,Bourgneuf,bourgneuf,46.167695957447,-1.0214387234043
5742,17,17060,17120,Boutenac-Touvent,boutenac touvent,45.49981254902,-0.76163019607843
5743,17,17061,17210,Bran,bran,45.348614193548,-0.26145306451613
5744,17,17062,17490,Bresdon,bresdon,45.867788394161,-0.14750788321168
5745,17,17063,17700,Breuil-la-Réorte,breuil la reorte,46.064153557692,-0.69678375
5746,17,17064,17920,Breuillet,breuillet,45.705440260417,-1.0521795833333
5747,17,17065,17870,Breuil-Magné,breuil magne,45.995555985401,-0.96071919708029
5748,17,17066,17520,Brie-sous-Archiac,brie sous archiac,45.469330823529,-0.29680258823529
5749,17,17067,17160,Brie-sous-Matha,brie sous matha,45.815861403509,-0.25662754385965
5750,17,17068,17120,Brie-sous-Mortagne,brie sous mortagne,45.499358157895,-0.74111026315789
5751,17,17069,17800,Brives-sur-Charente,brives sur charente,45.666888103448,-0.45511810344828
5752,17,17070,17770,Brizambourg,brizambourg,45.802606470588,-0.47925333333333
5753,17,17071,17160,La Brousse,la brousse,45.901415,-0.368027125
