id,department_code,insee_code,zip_code,-ALPES-MARITIMES,slug,gps_lat,gps_lng
2004,6,6096,6260,Pierlas,pierlas,44.031839928571,7.0166646428571
2005,6,6097,6910,Pierrefeu,pierrefeu,43.88444556701,7.0745770103093
2006,6,6098,6260,Puget-Rostang,puget rostang,43.999654935065,6.9300307359307
2007,6,6099,6260,Puget-Théniers,puget theniers,43.95252827027,6.9052951891892
2008,6,6100,6830,Revest-les-Roches,revest les roches,43.879737545455,7.1654077272727
2009,6,6101,6260,Rigaud,rigaud,43.995500508475,6.9752658757062
2010,6,6102,6420,Rimplas,rimplas,44.098113333333,7.1441283974359
2011,6,6103,6450,Roquebillière,roquebilliere,44.02499057971,7.2937094927536
2012,6,6104,6190,Roquebrune-Cap-Martin,roquebrune cap martin,43.761037871287,7.4663111881188
2013,6,6105,6330,Roquefort-les-Pins,roquefort les pins,43.67672239521,7.0563005389222
2014,6,6106,6910,Roquestéron,roquesteron,43.870051818182,7.0202432954546
2015,6,6107,6910,La Roque-en-Provence,la roque en provence,43.855071386861,6.9929005109489
2016,6,6108,6550,La Roquette-sur-Siagne,la roquette sur siagne,43.583836438356,6.9532732876712
2017,6,6109,6670,La Roquette-sur-Var,la roquette sur var,43.827908588235,7.2079778823529
2018,6,6110,6420,Roubion,roubion,44.113210612245,7.0271323469388
2019,6,6111,6420,Roure,roure,44.118026355932,7.0663465254237
2020,6,6112,6650,Le Rouret,le rouret,43.679686634615,7.0097969230769
2021,6,6113,6500,Sainte-Agnès,sainte agnes,43.806298914729,7.462749379845
2022,6,6114,6730,Saint-André-de-la-Roche,saint andre de la roche,43.746501,7.287284875
2023,6,6115,6260,Saint-Antonin,saint antonin,43.908448166667,6.9769496666667
2024,6,6116,6850,Saint-Auban,saint auban,43.831807086957,6.7460017826087
2025,6,6117,6670,Saint-Blaise,saint blaise,43.815364885496,7.2317969465649
2026,6,6118,6530,Saint-Cézaire-sur-Siagne,saint cezaire sur siagne,43.659042182741,6.8003128426396
2027,6,6119,6660,Saint-Dalmas-le-Selvage,saint dalmas le selvage,44.287775515695,6.8455339461883
2028,6,6120,6660,Saint-Étienne-de-Tinée,saint etienne de tinee,44.259288931298,6.9280109923664
2029,6,6121,6230,Saint-Jean-Cap-Ferrat,saint jean cap ferrat,43.688141004367,7.3325967248908
2030,6,6122,6640,Saint-Jeannet,saint jeannet,43.758726300578,7.1386579768786
2031,6,6123,6700,Saint-Laurent-du-Var,saint laurent du var,43.67840609589,7.1789015068493
2032,6,6124,6260,Saint-Léger,saint leger,44.000408666667,6.8237092
2033,6,6125,6470,Saint-Martin-d'Entraunes,saint martin d entraunes,44.149977163121,6.7434031205674
2034,6,6126,6670,Saint-Martin-du-Var,saint martin du var,43.820233164557,7.2014486075949
2035,6,6127,6450,Saint-Martin-Vésubie,saint martin vesubie,44.100055789474,7.3030748830409
2036,6,6128,6570,Saint-Paul-de-Vence,saint paul de vence,43.69457675,7.12328775
2037,6,6129,6420,Saint-Sauveur-sur-Tinée,saint sauveur sur tinee,44.11175643617,7.1139463297872
2038,6,6130,6460,Saint-Vallier-de-Thiey,saint vallier de thiey,43.695702317597,6.8536031330472
2039,6,6131,6910,Sallagriffon,sallagriffon,43.878262952381,6.9128138095238
2040,6,6132,6540,Saorge,saorge,43.993798561321,7.5523038915094
2041,6,6133,6470,Sauze,sauze,44.081346573427,6.8068644055944
2042,6,6134,6750,Séranon,seranon,43.767303756906,6.6810616574586
2043,6,6135,6910,Sigale,sigale,43.874682653061,6.9645652040816
2044,6,6136,6380,Sospel,sospel,43.888546732283,7.4425249212598
2045,6,6137,6530,Spéracèdes,speracedes,43.652393166667,6.8613741666667
2046,6,6138,6590,Théoule-sur-Mer,theoule sur mer,43.495296095238,6.9389602857143
2047,6,6139,6710,Thiéry,thiery,43.973340687831,7.0389619047619
2048,6,6140,6530,Le Tignet,le tignet,43.621796257669,6.8527729447853
