,,,,-LOIRE,,,
16123,42,42155,42510,Nervieux,nervieux,45.812577783784,4.137168972973
16124,42,42156,42590,Neulise,neulise,45.900267924528,4.1705644339623
16125,42,42157,42640,Noailly,noailly,46.142156388889,3.9971254166667
16126,42,42158,42370,Les Noës,les noes,46.036058645161,3.8357801935484
16127,42,42159,42440,Noirétable,noiretable,45.812915104167,3.742773125
16128,42,42160,42260,Nollieux,nollieux,45.818184468085,3.9887060638298
16129,42,42161,42120,Notre-Dame-de-Boisset,notre dame de boisset,45.987688990826,4.1339137614679
16130,42,42162,42155,Ouches,ouches,46.013338,3.990672
16131,42,42163,42310,La Pacaudière,la pacaudiere,46.18366136646,3.8758513043478
16132,42,42164,42990,Palogneux,palogneux,45.743007983871,3.9241535483871
16133,42,42165,42360,Panissières,panissieres,45.794384025974,4.3469453246753
16134,42,42166,42120,Parigny,parigny,45.986958558559,4.094486036036
16135,42,42167,42410,Pavezin,pavezin,45.472678556701,4.6623206185567
16136,42,42168,42410,Pélussin,pelussin,45.41804595092,4.6645139877301
16137,42,42169,42380,Périgneux,perigneux,45.447803656958,4.1406695145631
16138,42,42170,42120,Perreux,perreux,46.044220210526,4.1447155087719
16139,42,42171,42590,Pinay,pinay,45.871116287879,4.1338090151515
16140,42,42172,42660,Planfoy,planfoy,45.389233438914,4.4293642081448
16141,42,42173,42260,Pommiers,pommiers,45.827202679426,4.080445645933
16142,42,42174,42110,Poncins,poncins,45.728163867403,4.1558793370166
16143,42,42175,42110,Pouilly-lès-Feurs,pouilly les feurs,45.796748145161,4.2358377419355
16144,42,42176,42155,Pouilly-les-Nonains,pouilly les nonains,46.045479375,3.98189875
16145,42,42177,42720,Pouilly-sous-Charlieu,pouilly sous charlieu,46.142312924528,4.1293891509434
16146,42,42178,42630,Pradines,pradines,45.996616296296,4.1706734074074
16147,42,42179,42600,Pralong,pralong,45.65948704918,4.0100360655738
16148,42,42180,42600,Précieux,precieux,45.58586755814,4.1572539534884
16149,42,42181,42630,Régny,regny,45.995290057803,4.2125823699422
16150,42,42182,42370,Renaison,renaison,46.0438965,3.8967051875
16151,42,42183,42150,La Ricamarie,la ricamarie,45.402230240964,4.3701774698795
16152,42,42184,42153,Riorges,riorges,46.041420551181,4.0414132283465
16153,42,42185,42340,Rivas,rivas,45.586770227273,4.2523172727273
16154,42,42186,42800,Rive-de-Gier,rive de gier,45.521407554348,4.6101530434783
16155,42,42187,42300,Roanne,roanne,46.042828739496,4.0816433613445
16156,42,42188,42600,Roche,roche,45.619686549708,3.9327866081871
16157,42,42189,42230,Roche-la-Molière,roche la moliere,45.424246752137,4.3241672649573
16158,42,42191,42520,Roisey,roisey,45.390948442623,4.6600389344262
16159,42,42192,42380,Rozier-Côtes-d'Aurec,rozier cotes d aurec,45.374547577093,4.1095296035242
16160,42,42193,42810,Rozier-en-Donzy,rozier en donzy,45.803506490066,4.2760593377483
16161,42,42194,42310,Sail-les-Bains,sail les bains,46.232654924242,3.8446850757576
16162,42,42195,42890,Sail-sous-Couzan,sail sous couzan,45.735383571429,3.960033125
16163,42,42196,42510,Sainte-Agathe-en-Donzy,sainte agathe en donzy,45.836215121951,4.3059336585366
16164,42,42197,42130,Sainte-Agathe-la-Bouteresse,sainte agathe la bouteresse,45.741021384615,4.0506246923077
16165,42,42198,42370,Saint-Alban-les-Eaux,saint alban les eaux,46.0047396,3.9287615
16166,42,42199,42370,Saint-André-d'Apchon,saint andre d apchon,46.02299443038,3.9237002531646
16167,42,42200,42210,Saint-André-le-Puy,saint andre le puy,45.646621304348,4.2630569565217
16168,42,42201,42520,Saint-Appolinard,saint appolinard,45.346178842105,4.6463038947368
16169,42,42202,42110,Saint-Barthélemy-Lestra,saint barthelemy lestra,45.72127987013,4.3270121428571
16170,42,42203,42310,Saint-Bonnet-des-Quarts,saint bonnet des quarts,46.127088,3.82593115
16171,42,42204,42380,Saint-Bonnet-le-Château,saint bonnet le chateau,45.424706388889,4.0664191666667
16172,42,42205,42940,Saint-Bonnet-le-Courreau,saint bonnet le courreau,45.653817214485,3.9216852924791
16173,42,42206,42330,Saint-Bonnet-les-Oules,saint bonnet les oules,45.54274398374,4.3328316260163
16174,42,42207,42400,Saint-Chamond,saint chamond,45.469960638298,4.5007040070922
16175,42,42208,42320,Saint-Christo-en-Jarez,saint christo en jarez,45.53996969697,4.4700604242424
16176,42,42209,42540,Sainte-Colombe-sur-Gand,sainte colombe sur gand,45.866372253521,4.2784207746479
16177,42,42210,42800,Sainte-Croix-en-Jarez,sainte croix en jarez,45.475538076923,4.6399020192308
16178,42,42211,42160,Saint-Cyprien,saint cyprien,45.540741692308,4.2311549230769
16179,42,42212,42123,Saint-Cyr-de-Favières,saint cyr de favieres,45.963517062937,4.103843006993
16180,42,42213,42114,Saint-Cyr-de-Valorges,saint cyr de valorges,45.889063882353,4.3101968235294
16181,42,42214,42210,Saint-Cyr-les-Vignes,saint cyr les vignes,45.676199666667,4.2930440555555
16182,42,42215,42750,Saint-Denis-de-Cabanne,saint denis de cabanne,46.176755949367,4.2029540506329
16183,42,42216,42140,Saint-Denis-sur-Coise,saint denis sur coise,45.611800289017,4.4274155491329
16184,42,42217,42111,Saint-Didier-sur-Rochefort,saint didier sur rochefort,45.787223879599,3.8654309364549
16185,42,42218,42000,Saint-Étienne,saint etienne,45.450626,4.3859432
16186,42,42218,42100,Saint-Étienne,saint etienne,45.430262,4.4248877
16187,42,42218,42230,Saint-Étienne,saint etienne,45.4350431,4.2995223
16188,42,42219,42130,Saint-Étienne-le-Molard,saint etienne le molard,45.733634407895,4.0972093421053
16189,42,42220,42640,Saint-Forgeux-Lespinasse,saint forgeux lespinasse,46.135907647059,3.9516003676471
16190,42,42221,42110,Sainte-Foy-Saint-Sulpice,sainte foy saint sulpice,45.783352043478,4.1036683478261
16191,42,42222,42330,Saint-Galmier,saint galmier,45.601823175676,4.3147773648649
16192,42,42223,42530,Saint-Genest-Lerpt,saint genest lerpt,45.454750612245,4.3333245578231
16193,42,42224,42660,Saint-Genest-Malifaux,saint genest malifaux,45.352491394799,4.422326501182
16194,42,42225,42800,Genilac,genilac,45.534298433735,4.5724978313253
16195,42,42226,42510,Saint-Georges-de-Baroille,saint georges de baroille,45.853316956522,4.1036811801242
16196,42,42227,42990,Saint-Georges-en-Couzan,saint georges en couzan,45.706607786561,3.9308671146245
16197,42,42228,42610,Saint-Georges-Haute-Ville,saint georges haute ville,45.543032807018,4.0904520175439
16198,42,42229,42670,Saint-Germain-la-Montagne,saint germain la montagne,46.196331111111,4.388573037037
16199,42,42230,42260,Saint-Germain-Laval,saint germain laval,45.831261535088,4.012451622807
16200,42,42231,42640,Saint-Germain-Lespinasse,saint germain lespinasse,46.117412160494,3.9651527160494
16201,42,42232,42370,Saint-Haon-le-Châtel,saint haon le chatel,46.066214871795,3.9173912820513
16202,42,42233,42370,Saint-Haon-le-Vieux,saint haon le vieux,46.075562064516,3.9051007741936
16203,42,42234,42570,Saint-Héand,saint heand,45.529337095238,4.3888967142857
16204,42,42235,42380,Saint-Hilaire-Cusson-la-Valmitte,saint hilaire cusson la valmitte,45.368137567568,4.0654458783784
16205,42,42236,42190,Saint-Hilaire-sous-Charlieu,saint hilaire sous charlieu,46.120895894737,4.1840636842105
16206,42,42237,42650,Saint-Jean-Bonnefonds,saint jean bonnefonds,45.455438141593,4.4488917699115
16207,42,42238,42440,Saint-Jean-la-Vêtre,saint jean la vetre,45.77983923913,3.7926966847826
16208,42,42239,42155,Saint-Jean-Saint-Maurice-sur-Loire,saint jean saint maurice sur loire,45.957175527638,3.9895170351759
16209,42,42240,42560,Saint-Jean-Soleymieux,saint jean soleymieux,45.498509631902,4.016022392638
16210,42,42241,42590,Saint-Jodard,saint jodard,45.887363047619,4.1271661904762
16211,42,42242,42800,Saint-Joseph,saint joseph,45.558666831683,4.6183662376238
16212,42,42243,42260,Saint-Julien-d'Oddes,saint julien d oddes,45.851549090909,3.9921017575758
16213,42,42245,42440,Saint-Julien-la-Vêtre,saint julien la vetre,45.820344723618,3.8212252763819
16214,42,42246,42220,Saint-Julien-Molin-Molette,saint julien molin molette,45.316333040541,4.6144137837838
16215,42,42247,42990,Saint-Just-en-Bas,saint just en bas,45.73548104712,3.876900052356
16216,42,42248,42430,Saint-Just-en-Chevalet,saint just en chevalet,45.921795,3.8448554310345
16217,42,42249,42540,Saint-Just-la-Pendue,saint just la pendue,45.885977150838,4.2381326815642
16218,42,42251,42210,Saint-Laurent-la-Conche,saint laurent la conche,45.685508207547,4.2319645283019
16219,42,42252,42130,Saint-Laurent-Rochefort,saint laurent rochefort,45.775617222222,3.9048222222222
16220,42,42253,42155,Saint-Léger-sur-Roanne,saint leger sur roanne,46.039615833333,4.0030545833333
16221,42,42254,42122,Saint-Marcel-de-Félines,saint marcel de felines,45.86165220339,4.18599
16222,42,42255,42430,Saint-Marcel-d'Urfé,saint marcel d urfe,45.872031164021,3.8812121164021
16223,42,42256,42680,Saint-Marcellin-en-Forez,saint marcellin en forez,45.486761453744,4.1664388546256
16224,42,42257,42620,Saint-Martin-d'Estréaux,saint martin d estreaux,46.20936247191,3.8275078277154
16225,42,42259,42800,Saint-Martin-la-Plaine,saint martin la plaine,45.550867751938,4.5941459689922
16226,42,42260,42260,Saint-Martin-la-Sauveté,saint martin la sauvete,45.838721390977,3.9166193609023
16227,42,42261,42110,Saint-Martin-Lestra,saint martin lestra,45.726168797468,4.3703341772152
16228,42,42262,42240,Saint-Maurice-en-Gourgois,saint maurice en gourgois,45.409462878788,4.1814812878788
16229,42,42264,42330,Saint-Médard-en-Forez,saint medard en forez,45.591204444444,4.3620800740741
16230,42,42265,42410,Saint-Michel-sur-Rhône,saint michel sur rhone,45.447483294118,4.7355694117647
16231,42,42266,42380,Saint-Nizier-de-Fornas,saint nizier de fornas,45.40862244373,4.084084244373
16232,42,42267,42190,Saint-Nizier-sous-Charlieu,saint nizier sous charlieu,46.159947109375,4.126485703125
16233,42,42268,42590,Saint-Paul-de-Vézelin,saint paul de vezelin,45.886313458647,4.0791344360902
16234,42,42269,42600,Saint-Paul-d'Uzore,saint paul d uzore,45.676361101695,4.0932358474576
16235,42,42270,42240,Saint-Paul-en-Cornillon,saint paul en cornillon,45.3962925,4.2412460294118
16236,42,42271,42740,Saint-Paul-en-Jarez,saint paul en jarez,45.467318265896,4.5787732947977
