,,,,-TARN,,,
32587,81,81105,81300,Graulhet,graulhet,43.756775245399,1.9963221165644
32588,81,81106,81800,Grazac,grazac,43.843926553398,1.6489398058252
32589,81,81108,81170,Itzac,itzac,44.054422026144,1.8414662745098
32590,81,81109,81440,Jonquières,jonquieres,43.653442882883,2.138184054054
32591,81,81110,81190,Jouqueviel,jouqueviel,44.180042113821,2.1354378861789
32592,81,81111,81170,Labarthe-Bleys,labarthe bleys,44.086165406977,1.8930304651163
32593,81,81112,81150,Labastide-de-Lévis,labastide de levis,43.932338095238,1.9985606666667
32594,81,81114,81400,Labastide-Gabausse,labastide gabausse,44.03203825,2.09717425
32595,81,81115,81270,Labastide-Rouairoux,labastide rouairoux,43.471804084507,2.6339485915493
32596,81,81116,81500,Labastide-Saint-Georges,labastide saint georges,43.701002,1.8487566666667
32597,81,81117,81300,Labessière-Candeil,labessiere candeil,43.800650555556,2.0174626767677
32598,81,81118,81100,Laboulbène,laboulbene,43.664780289855,2.2029188405797
32599,81,81119,81120,Laboutarie,laboutarie,43.78770983871,2.1122279032258
32600,81,81120,81290,Labruguière,labruguiere,43.509863154362,2.2668901342282
32601,81,81121,81240,Lacabarède,lacabarede,43.446668513514,2.5972827702703
32602,81,81122,81340,Lacapelle-Pinet,lacapelle pinet,44.064304868421,2.3610335526316
32603,81,81123,81170,Lacapelle-Ségalar,lacapelle segalar,44.121754054054,1.9917314414414
32604,81,81124,81230,Lacaune,lacaune,43.70753019802,2.6795271617162
32605,81,81125,81330,Lacaze,lacaze,43.742017886598,2.5041229381443
32606,81,81126,81500,Lacougotte-Cadoul,lacougotte cadoul,43.643725638298,1.820724787234
32607,81,81127,81470,Lacroisille,lacroisille,43.58200989011,1.9267169230769
32608,81,81128,81210,Lacrouzette,lacrouzette,43.66212519084,2.3622789694656
32609,81,81129,81110,Lagardiolle,lagardiolle,43.498788671875,2.0899796875
32610,81,81130,81090,Lagarrigue,lagarrigue,43.57758025641,2.28757
32611,81,81131,81150,Lagrave,lagrave,43.892421772152,1.9905426582279
32612,81,81132,81220,Guitalens-L'Albarède,guitalens l albarede,43.635285,2.0415694852941
32613,81,81133,81120,Lamillarié,lamillarie,43.859139210526,2.1603411403509
32614,81,81134,81260,Lamontélarié,lamontelarie,43.623445814978,2.6056103964758
32615,81,81135,81640,Laparrouquial,laparrouquial,44.122747320261,2.0301112418301
32616,81,81136,81140,Larroque,larroque,44.012138988764,1.6907150561798
32617,81,81137,81260,Lasfaillades,lasfaillades,43.565360973451,2.5047450442478
32618,81,81138,81300,Lasgraisses,lasgraisses,43.827070723684,2.0342036184211
32619,81,81139,81440,Lautrec,lautrec,43.706291936759,2.1214298023715
32620,81,81140,81500,Lavaur,lavaur,43.686441105398,1.8157338046272
32621,81,81141,81340,Lédas-et-Penthiès,ledas et penthies,44.076731043956,2.3845953846154
32622,81,81142,81700,Lempaut,lempaut,43.522086280992,2.0664445454546
32623,81,81143,81110,Lescout,lescout,43.532654042553,2.107764893617
32624,81,81144,81380,Lescure-d'Albigeois,lescure d albigeois,43.970145403727,2.1824190062112
32625,81,81145,81310,Lisle-sur-Tarn,lisle sur tarn,43.898414485597,1.7700013580247
32626,81,81146,81170,Livers-Cazelles,livers cazelles,44.050203467742,2.0007580645161
