,,,,-CHER,,,
6318,18,18165,18330,Neuvy-sur-Barangeon,neuvy sur barangeon,47.323518082192,2.2591567808219
6319,18,18166,18390,Nohant-en-Goût,nohant en gout,47.083403058824,2.5814003529412
6320,18,18167,18310,Nohant-en-Graçay,nohant en gracay,47.128786853933,1.907727752809
6321,18,18168,18260,Le Noyer,le noyer,47.373405955882,2.66162875
6322,18,18169,18200,Nozières,nozieres,46.735872296296,2.4257451111111
6323,18,18170,18700,Oizon,oizon,47.453662764228,2.5080467479675
6324,18,18171,18200,Orcenais,orcenais,46.712431538462,2.4186500854701
6325,18,18172,18200,Orval,orval,46.721028352941,2.4661628235294
6326,18,18173,18130,Osmery,osmery,46.936409270833,2.6561492708333
6327,18,18174,18390,Osmoy,osmoy,47.06912462963,2.5131491975309
6328,18,18175,18350,Ourouer-les-Bourdelins,ourouer les bourdelins,46.918359576271,2.792713220339
6329,18,18176,18220,Parassy,parassy,47.250292622951,2.5451136885246
6330,18,18177,18130,Parnay,parnay,46.851982635659,2.5613475193798
6331,18,18178,18200,La Perche,la perche,46.635354507042,2.5732112676056
6332,18,18179,18110,Pigny,pigny,47.163998933333,2.4417422666667
6333,18,18180,18340,Plaimpied-Givaudins,plaimpied givaudins,47.015104013158,2.4297390131579
6334,18,18181,18290,Plou,plou,47.037026298343,2.1546380662983
6335,18,18182,18290,Poisieux,poisieux,47.031237628866,2.0792215463918
6336,18,18183,18210,Le Pondy,le pondy,46.802941978022,2.6400204395604
6337,18,18184,18140,Précy,precy,47.088194776119,2.9291815671642
6338,18,18185,18380,Presly,presly,47.384682375,2.3328533125
6339,18,18186,18120,Preuilly,preuilly,47.093886643357,2.1636711888112
6340,18,18187,18370,Préveranges,preveranges,46.45136511236,2.2502757865169
6341,18,18188,18400,Primelles,primelles,46.910921221374,2.2023772519084
6342,18,18189,18110,Quantilly,quantilly,47.23295127451,2.4462554901961
6343,18,18190,18120,Quincy,quincy,47.124917327586,2.1585931034483
6344,18,18191,18130,Raymond,raymond,46.970464642857,2.6904807142857
6345,18,18192,18270,Reigny,reigny,46.589210601504,2.3504633082707
6346,18,18193,18170,Rezay,rezay,46.674577988506,2.1623303448276
6347,18,18194,18220,Rians,rians,47.191007282609,2.613875326087
6348,18,18195,18600,Sagonne,sagonne,46.863249464286,2.8248327678571
6349,18,18196,18600,Saint-Aignan-des-Noyers,saint aignan des noyers,46.753036823529,2.8259891764706
6350,18,18197,18200,Saint-Amand-Montrond,saint amand montrond,46.727687474227,2.5159342268041
6351,18,18198,18290,Saint-Ambroix,saint ambroix,46.935187580645,2.1460646774194
6352,18,18199,18160,Saint-Baudel,saint baudel,46.849807625,2.20530425
6353,18,18200,18300,Saint-Bouize,saint bouize,47.265856565657,2.8915282828283
6354,18,18201,18400,Saint-Caprais,saint caprais,46.970966931818,2.2926448863636
6355,18,18202,18220,Saint-Céols,saint ceols,47.218255652174,2.632432173913
6356,18,18203,18270,Saint-Christophe-le-Chaudry,saint christophe le chaudry,46.588788356164,2.3784357990868
6357,18,18204,18130,Saint-Denis-de-Palin,saint denis de palin,46.938385454545,2.5193900606061
6358,18,18205,18230,Saint-Doulchard,saint doulchard,47.100218971963,2.3544337850467
6359,18,18206,18110,Saint-Éloy-de-Gy,saint eloy de gy,47.168030215827,2.3293531654676
6360,18,18207,18400,Saint-Florent-sur-Cher,saint florent sur cher,46.989549340659,2.2579757142857
6361,18,18208,18240,Sainte-Gemme-en-Sancerrois,sainte gemme en sancerrois,47.399575061728,2.8169001234568
6362,18,18209,18200,Saint-Georges-de-Poisieux,saint georges de poisieux,46.684714923077,2.4802787692308
6363,18,18210,18100,Saint-Georges-sur-la-Prée,saint georges sur la pree,47.222128125,1.957145625
6364,18,18211,18110,Saint-Georges-sur-Moulon,saint georges sur moulon,47.18164503876,2.4180924031008
6365,18,18212,18340,Saint-Germain-des-Bois,saint germain des bois,46.890015465839,2.4375090062112
6366,18,18213,18390,Saint-Germain-du-Puy,saint germain du puy,47.106108014184,2.4827560283688
6367,18,18214,18100,Saint-Hilaire-de-Court,saint hilaire de court,47.20631293578,2.0049418348624
6368,18,18215,18320,Saint-Hilaire-de-Gondilly,saint hilaire de gondilly,47.049296,2.885497
6369,18,18215,18350,Saint-Hilaire-de-Gondilly,saint hilaire de gondilly,47.049296,2.885497
6370,18,18216,18160,Saint-Hilaire-en-Lignières,saint hilaire en lignieres,46.741440959752,2.1258223529412
6371,18,18217,18370,Saint-Jeanvrin,saint jeanvrin,46.596462450331,2.2438535761589
6372,18,18218,18340,Saint-Just,saint just,46.981092916667,2.4975819444444
6373,18,18219,18330,Saint-Laurent,saint laurent,47.233675962733,2.2100501242236
6374,18,18220,18140,Saint-Léger-le-Petit,saint leger le petit,47.113710517241,2.9964113793103
6375,18,18221,18190,Saint-Loup-des-Chaumes,saint loup des chaumes,46.824961764706,2.3595611764706
6376,18,18222,18340,Sainte-Lunaise,sainte lunaise,46.914702183099,2.3519038028169
6377,18,18223,18110,Saint-Martin-d'Auxigny,saint martin d auxigny,47.204943884297,2.3909205785124
6378,18,18224,18140,Saint-Martin-des-Champs,saint martin des champs,47.169245030675,2.9282595705522
6379,18,18225,18270,Saint-Maur,saint maur,46.577219802956,2.2833891625616
6380,18,18226,18390,Saint-Michel-de-Volangis,saint michel de volangis,47.137852465753,2.4770557534247
6381,18,18227,18700,Sainte-Montaine,sainte montaine,47.5076568,2.32135245
6382,18,18228,18310,Saint-Outrille,saint outrille,47.144348928571,1.8143269047619
6383,18,18229,18110,Saint-Palais,saint palais,47.242730714286,2.412708877551
6384,18,18230,18170,Saint-Pierre-les-Bois,saint pierre les bois,46.674028686131,2.2844443065693
6385,18,18231,18210,Saint-Pierre-les-Étieux,saint pierre les etieux,46.731831914894,2.5943939007092
6386,18,18232,18370,Saint-Priest-la-Marche,saint priest la marche,46.449193781513,2.1833123529412
6387,18,18233,18300,Saint-Satur,saint satur,47.349280526316,2.8494763157895
6388,18,18234,18370,Saint-Saturnin,saint saturnin,46.505466558442,2.2390064935065
6389,18,18235,18220,Sainte-Solange,sainte solange,47.141802179487,2.5474076923077
6390,18,18236,18190,Saint-Symphorien,saint symphorien,46.809522826087,2.2983276086956
6391,18,18237,18500,Sainte-Thorette,sainte thorette,47.075002678571,2.1917020833333
6392,18,18238,18360,Saint-Vitte,saint vitte,46.536685180723,2.532368253012
6393,18,18239,18800,Saligny-le-Vif,saligny le vif,47.040668301887,2.7659094339623
6394,18,18240,18140,Sancergues,sancergues,47.164513655914,2.9056162903226
6395,18,18241,18300,Sancerre,sancerre,47.326762321429,2.8255197321429
6396,18,18242,18600,Sancoins,sancoins,46.821297360595,2.9145363568773
6397,18,18243,18240,Santranges,santranges,47.504286227545,2.7556017964072
