,,,,-DORDOGNE,,,
8205,24,24180,24450,Firbeix,firbeix,45.597818318966,0.9404025862069
8206,24,24181,24240,Flaugeac,flaugeac,44.758484744526,0.43588153284672
8207,24,24182,24130,Le Fleix,le fleix,44.882794561404,0.27457742690058
8208,24,24183,24580,Fleurac,fleurac,44.996146751592,0.99859649681529
8209,24,24184,24250,Florimont-Gaumier,florimont gaumier,44.710276377953,1.2426258267717
8210,24,24186,24500,Fonroque,fonroque,44.706031311475,0.41043295081967
8211,24,24188,24210,Fossemagne,fossemagne,45.119411614907,0.98881937888199
8212,24,24189,33220,Fougueyrolles,fougueyrolles,44.865862781955,0.18422661654135
8213,24,24190,24380,Fouleix,fouleix,44.972755120482,0.67553686746988
8214,24,24191,24130,Fraisse,fraisse,44.93445484375,0.30138317708333
8215,24,24192,24210,Gabillou,gabillou,45.20436744898,1.0309978571429
8216,24,24193,24240,Gageac-et-Rouillac,gageac et rouillac,44.80369005291,0.35687772486772
8217,24,24194,24680,Gardonne,gardonne,44.828062550336,0.34167697986577
8218,24,24195,24540,Gaugeac,gaugeac,44.663655794392,0.87640271028037
8219,24,24196,24160,Génis,genis,45.322515140562,1.1673365461847
8220,24,24197,24130,Ginestet,ginestet,44.9026915625,0.4430723125
8221,24,24198,24310,La Gonterie-Boulouneix,la gonterie boulouneix,45.380028032787,0.58047710382514
8222,24,24199,24320,Gout-Rossignol,gout rossignol,45.411445287356,0.40849137931034
8223,24,24200,24350,Grand-Brassac,grand brassac,45.297061213389,0.48621493723849
8224,24,24202,24390,Granges-d'Ans,granges d ans,45.211872242991,1.1161194392523
8225,24,24205,24110,Grignols,grignols,45.078348817734,0.53314108374384
8226,24,24206,24170,Grives,grives,44.765329285714,1.0805767346939
8227,24,24207,24250,Groléjac,grolejac,44.811210235294,1.2928918823529
8228,24,24208,24380,Grun-Bordas,grun bordas,45.045474537037,0.6377062037037
8229,24,24209,24300,Hautefaye,hautefaye,45.537021949153,0.51081677966102
8230,24,24210,24390,Hautefort,hautefort,45.259093252595,1.1401637370242
8231,24,24211,24400,Issac,issac,45.017547179487,0.44878743589744
8232,24,24212,24560,Issigeac,issigeac,44.726417297297,0.60406452702703
8233,24,24213,24140,Jaure,jaure,45.056985194805,0.55163246753247
8234,24,24214,24300,Javerlhac-et-la-Chapelle-Saint-Robert,javerlhac et la chapelle saint robert,45.560870233463,0.56108638132296
8235,24,24215,24590,Jayac,jayac,45.031364140127,1.3517650318471
8236,24,24216,24410,La Jemaye-Ponteyraud,la jemaye ponteyraud,45.169627064677,0.25945047263682
8237,24,24217,24260,Journiac,journiac,44.964205153374,0.89028865030675
8238,24,24218,24630,Jumilhac-le-Grand,jumilhac le grand,45.503978177215,1.0693930886076
8239,24,24220,24380,Lacropte,lacropte,45.045894414894,0.83258063829787
8240,24,24221,24340,Rudeau-Ladosse,rudeau ladosse,45.49064704142,0.53441603550296
8241,24,24222,24130,La Force,la force,44.886112747253,0.35884879120879
8242,24,24223,24150,Lalinde,lalinde,44.86075059322,0.73680694915254
8243,24,24224,24520,Lamonzie-Montastruc,lamonzie montastruc,44.900392914286,0.59381108571429
8244,24,24225,24680,Lamonzie-Saint-Martin,lamonzie saint martin,44.830953888889,0.38049736111111
8245,24,24226,24230,Lamothe-Montravel,lamothe montravel,44.853001842105,0.01589822368421
8246,24,24227,24270,Lanouaille,lanouaille,45.381971968085,1.1213408510638
8247,24,24228,24150,Lanquais,lanquais,44.811849854015,0.67245715328467
8248,24,24229,24570,Le Lardin-Saint-Lazare,le lardin saint lazare,45.140239615385,1.2295669230769
8249,24,24230,24170,Larzac,larzac,44.738814387755,1.0008132653061
8250,24,24231,24540,Lavalade,lavalade,44.6953753125,0.85862859375
8251,24,24232,24550,Lavaur,lavaur,44.62444392,1.03091904
8252,24,24233,24130,Laveyssière,laveyssiere,44.935385714286,0.44090857142857
8253,24,24234,24400,Les Lèches,les leches,44.98252747619,0.385655
8254,24,24236,24110,Léguillac-de-l'Auche,leguillac de l auche,45.187523208955,0.5533302238806
8255,24,24237,24100,Lembras,lembras,44.888591043478,0.52465165217391
8256,24,24238,24800,Lempzours,lempzours,45.356123804348,0.82675032608696
8257,24,24240,24510,Limeuil,limeuil,44.895008295455,0.89282659090909
