,,,,-MORBIHAN,,,
21128,56,56115,56390,Locmaria-Grand-Champ,locmaria grand champ,47.764980917874,-2.7917690338164
21129,56,56116,56740,Locmariaquer,locmariaquer,47.569760824742,-2.9587636340206
21130,56,56117,56500,Locminé,locmine,47.879187,-2.8394107857143
21131,56,56118,56570,Locmiquélic,locmiquelic,47.73028257732,-3.3353683505155
21132,56,56119,56550,Locoal-Mendon,locoal mendon,47.695241993127,-3.0986379381443
21133,56,56120,56390,Locqueltas,locqueltas,47.772515,-2.7612552222222
21134,56,56121,56100,Lorient,lorient,47.746627566138,-3.3783221164021
21135,56,56122,56800,Loyat,loyat,47.995612307692,-2.3931889632107
21136,56,56123,56220,Malansac,malansac,47.695861548117,-2.3068119246862
21137,56,56124,56140,Malestroit,malestroit,47.808494716981,-2.3873467924528
21138,56,56125,56300,Malguénac,malguenac,48.068144324324,-3.0625572481572
21139,56,56126,56130,Marzan,marzan,47.551264274194,-2.3670972983871
21140,56,56127,56430,Mauron,mauron,48.083065386364,-2.3118963409091
21141,56,56128,56310,Melrand,melrand,47.979010790123,-3.0937821481481
21142,56,56129,56490,Ménéac,meneac,48.138511984733,-2.4575417938931
21143,56,56130,56700,Merlevenez,merlevenez,47.734665720524,-3.2437527947598
21144,56,56131,56320,Meslan,meslan,47.986671310345,-3.4389654827586
21145,56,56132,56890,Meucon,meucon,47.722326710526,-2.7771935526316
21146,56,56133,56140,Missiriac,missiriac,47.819428175182,-2.3556667153285
21147,56,56134,56490,Mohon,mohon,48.056816233062,-2.4995020054201
21148,56,56135,56230,Molac,molac,47.729943142857,-2.4436494285714
21149,56,56136,56380,Monteneuf,monteneuf,47.883806329114,-2.1974089873418
21150,56,56137,56250,Monterblanc,monterblanc,47.73283991453,-2.6936221367521
21151,56,56138,56800,Monterrein,monterrein,47.885373009709,-2.357416407767
21152,56,56139,56800,Montertelot,montertelot,47.886876666667,-2.4111473913043
21153,56,56140,56500,Moréac,moreac,47.941755950226,-2.7987780090498
21154,56,56141,56500,Moustoir-Ac,moustoir ac,47.850105758621,-2.8551216551724
21155,56,56143,56190,Muzillac,muzillac,47.553419083333,-2.4726896041667
21156,56,56144,56500,Évellys,evellys,47.972339512605,-2.8776320504202
21157,56,56145,56430,Néant-sur-Yvel,neant sur yvel,48.02249811828,-2.3333561827957
21158,56,56146,56300,Neulliac,neulliac,48.124195647482,-2.9677216546763
21159,56,56147,56130,Nivillac,nivillac,47.533427561983,-2.2521830165289
21160,56,56148,56690,Nostang,nostang,47.760447724868,-3.1759888359788
21161,56,56149,56190,Noyal-Muzillac,noyal muzillac,47.602178134328,-2.4573763432836
21162,56,56151,56920,Noyal-Pontivy,noyal pontivy,48.060238460265,-2.8909948675497
21163,56,56152,56360,Le Palais,le palais,47.3437756,-3.1650012363636
21164,56,56153,56130,Péaule,peaule,47.588358475073,-2.3402846334311
21165,56,56154,56220,Peillac,peillac,47.711428181818,-2.2173352941177
21166,56,56155,56760,Pénestin,penestin,47.467676029412,-2.4714688235294
21167,56,56156,56160,Persquen,persquen,48.015435036765,-3.2201566911765
21168,56,56157,56420,Plaudren,plaudren,47.784186051282,-2.6875117179487
21169,56,56158,56890,Plescop,plescop,47.702477416667,-2.8210115
21170,56,56159,56140,Pleucadeuc,pleucadeuc,47.773976190476,-2.3926918518519
21171,56,56160,56120,Pleugriffet,pleugriffet,47.986520118577,-2.6797188142293
21172,56,56161,56400,Ploemel,ploemel,47.6585052,-3.07355135
21173,56,56162,56270,Ploemeur,ploemeur,47.722858228883,-3.4459515531335
21174,56,56163,56160,Ploërdut,ploerdut,48.088678508431,-3.2836028534371
21175,56,56164,56880,Ploeren,ploeren,47.657206,-2.8506922580645
21176,56,56165,56800,Ploërmel,ploermel,47.920534773414,-2.3765477039275
21177,56,56166,56240,Plouay,plouay,47.921760998081,-3.3328017082534
21178,56,56167,56400,Plougoumelen,plougoumelen,47.661469253731,-2.8984332338309
21179,56,56168,56340,Plouharnel,plouharnel,47.596073091787,-3.1205597101449
21180,56,56169,56680,Plouhinec,plouhinec,47.705192663755,-3.2367865938865
21181,56,56170,56770,Plouray,plouray,48.139344333333,-3.3806456666667
21182,56,56171,56220,Pluherlin,pluherlin,47.708877431193,-2.372535412844
21183,56,56172,56420,Plumelec,plumelec,47.828615496829,-2.6200523678647
21184,56,56173,56930,Pluméliau,plumeliau,47.960296548324,-2.9688927218935
21185,56,56174,56500,Plumelin,plumelin,47.875293604651,-2.8861351453488
21186,56,56175,56400,Plumergat,plumergat,47.732354542254,-2.9218842605634
21187,56,56176,56400,Pluneret,pluneret,47.6809104947,-2.9477625088339
21188,56,56177,56330,Pluvigner,pluvigner,47.783761488764,-3.0197595646067
21189,56,56178,56300,Pontivy,pontivy,48.070504891641,-2.9704981114551
21190,56,56179,56620,Pont-Scorff,pont scorff,47.840764739337,-3.4206262085308
21191,56,56180,56380,Porcaro,porcaro,47.914010108696,-2.1896575543478
21192,56,56181,56290,Port-Louis,port louis,47.708852822581,-3.3548658064516
21193,56,56182,56320,Priziac,priziac,48.054244578005,-3.4258091304348
21194,56,56184,56230,Questembert,questembert,47.653410948617,-2.440707173913
21195,56,56185,56530,Quéven,queven,47.78701399061,-3.4216835680751
21196,56,56186,56170,Quiberon,quiberon,47.482924822695,-3.1154048699764
21197,56,56188,56310,Quistinic,quistinic,47.918126357388,-3.1320046735395
21198,56,56189,56500,Radenac,radenac,47.953611333333,-2.7137895833333
